isReIntervention,interventionType,resolution,app,timezone,interventionDuration,timestamp,timeIntervalUntilReIntervention
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751105507.276252,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751123883.809431,240.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751124237.6922421,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751124245.743239,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751124378.471057,360.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751130682.872463,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751150317.1193938,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751150357.075043,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751150487.4041739,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751151310.865118,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751175664.4322839,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751179605.5287561,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751180379.093878,360.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751183609.0643911,480.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751184483.3004851,840.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751190267.423342,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751190415.613758,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751190430.006857,780.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751193553.59992,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751193594.696459,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751193881.557214,720.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751197747.43827,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751197802.793848,660.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751204020.075698,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751205001.5073981,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751213104.1639981,360.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751223082.999629,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751226417.376099,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751227453.1281261,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751227949.2677488,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751227975.166006,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751228038.45019,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751228955.586946,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751229291.934061,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751272277.321001,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751279953.747857,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751281764.176338,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751285892.363981,480.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751323316.86657,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751323320.8260489,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751323354.102375,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751323463.339489,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751351808.553753,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751352113.722822,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751353027.80006,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751353935.842217,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751354620.799885,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751354633.64607,600.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751401423.691567,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751410899.9274569,300.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751411212.40844,720.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751435131.8755422,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751436049.92452,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751436943.777669,600.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751450544.696652,540.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751456906.0965981,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751463196.595892,480.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751467113.580591,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751476918.522758,480.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751477109.404901,480.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751481308.600527,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751481741.027065,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751481809.87679,420.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751482154.671212,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751486053.330137,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751487197.353846,420.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751489980.206194,540.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751490173.190295,660.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751524756.6179051,300.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751525170.794925,300.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751525485.9269428,60.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751570587.2717562,480.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751577212.130938,240.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751577559.667439,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751577569.2287369,540.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751626484.2560039,600.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751632335.136393,180.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751635565.663547,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751635904.067134,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751635931.149253,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751711252.2318559,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751711780.3244681,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751711984.6972919,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751713082.787372,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751744945.021923,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,1.5,1751750407.376915,
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751750514.6033711,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751751548.026596,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751810125.730391,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751871387.041091,180.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751891048.696912,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751920655.914186,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751923936.5063028,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751924940.090944,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751925670.424329,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,1.5,1751926584.2958379,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1751999441.269455,720.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1751999658.741997,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752064571.544467,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752064620.91202,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752089403.156118,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752090099.2543159,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752090177.2129622,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752092566.556309,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752096961.658195,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752144561.356443,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752144566.2735991,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752173486.48715,360.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752173869.07133,360.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752173983.9621449,420.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752179997.758934,360.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752319800.8698668,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752320726.739896,420.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752321164.861583,180.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752387713.158334,540.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752432132.824275,420.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752432154.161756,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752499378.212749,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752501329.883152,300.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752593548.527096,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752593571.618552,540.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752603680.5889912,540.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752604121.38058,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752648481.789355,480.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752674285.1064281,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752694611.022408,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752783956.8952131,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752784357.671541,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752785335.899016,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752824802.498035,480.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752827080.045734,480.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752827587.1357799,360.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752867969.6821089,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752881814.916754,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752946245.976459,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752946546.934012,840.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752946630.780283,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752946830.205864,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752946851.642262,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752947007.4487062,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752964541.413352,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752964762.213295,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752965985.03976,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752967213.667582,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1752968139.5019689,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1752998623.506069,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753011002.74667,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753011039.628718,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753011301.6662521,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753011875.377849,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753011880.532631,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753012034.206952,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753013575.167087,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753045579.06248,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753077303.414898,840.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753106387.910517,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753114944.215714,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753115880.7769442,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753124338.089062,540.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753127173.5384312,360.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753127545.834508,480.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753128298.2290869,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753128811.985218,180.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753129101.046974,120.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753129187.761753,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753131482.620315,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753133681.802515,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753171820.360065,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753177427.239172,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753189029.021388,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753189056.972427,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753189983.424753,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753190906.1021209,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753197411.92472,480.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753197703.969868,540.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753201662.2367802,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753201680.058391,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753201902.388907,840.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753209895.912076,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753209926.463748,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753209945.957251,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753223233.6595259,360.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753254122.416232,480.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753256494.79148,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753256580.0325131,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753256616.852963,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753256720.811686,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753256738.702269,360.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753271356.25604,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753274615.44085,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753276671.046682,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753277597.930293,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753304035.0136151,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753304100.79812,180.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753307097.833215,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753307567.991456,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753308495.996296,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753343253.736277,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753343362.92912,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753343427.602572,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753343583.0383902,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753344166.02181,840.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753350938.98181,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753363827.538367,840.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753364113.042727,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753364130.247919,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753375244.282724,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753375582.7532,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753385401.531664,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753385842.484613,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753386766.637722,540.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753393462.117609,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753394388.0368261,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753427111.027916,840.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753429052.194933,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753432004.0959148,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753432093.3866491,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753432157.131468,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753436463.9293962,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753443475.050888,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753460021.97186,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753460094.819075,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753461016.762734,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753464123.085938,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753467962.0751429,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753531553.496811,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753572275.674631,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753573217.634344,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753574302.674686,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753574311.7173982,
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753574351.3385592,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753574372.149396,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753607562.281341,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753607906.1050591,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753609418.998405,900.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753610344.695461,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753611088.269515,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753611221.4931412,840.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753614911.394054,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753706300.128428,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753716163.186446,360.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753716571.842659,300.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753717247.084031,360.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753717631.1617742,180.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753733497.78891,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753739483.6924748,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753740291.512113,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753740311.716624,300.0
True,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753740635.381974,300.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753784404.57324,
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753784431.110392,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753785327.207323,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753785383.943038,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753786103.477059,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753786174.7429771,900.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753786323.317006,840.0
False,breathingExercise,openedApp,instagram,Europe/Berlin,6.0,1753797011.670795,900.0
False,breathingExercise,dismissedAppOpening,instagram,Europe/Berlin,6.0,1753797452.159416,
