isReIntervention,timezone,app,timestamp,resolution,interventionType,interventionDuration,timeIntervalUntilReIntervention
False,America/New_York,instagram,1752502453.71824,openedApp,breathingExercise,1.5,600.0
False,America/New_York,instagram,1752518544.365364,openedApp,breathingExercise,1.5,480.0
False,America/New_York,instagram,1752518544.398538,openedApp,breathingExercise,1.5,480.0
False,America/New_York,instagram,1752519088.8098269,openedApp,breathingExercise,1.5,300.0
False,America/New_York,instagram,1752519089.375915,dismissedAppOpening,breathingExercise,1.5,
True,America/New_York,instagram,1752519103.669388,openedApp,breathingExercise,1.5,300.0
False,America/New_York,instagram,1752519209.4166222,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752519223.050432,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752519251.515966,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752521762.5607781,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752521897.863718,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752547597.994308,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752589114.042201,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752589428.629498,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752590119.275754,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752593662.6622028,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752593740.526702,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752593742.893797,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752594144.5657759,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752594320.3948832,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752599257.942797,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752602863.873705,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752602961.899483,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752603322.029881,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752604335.446924,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752605708.703323,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752616871.5385342,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752616924.652049,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752617532.777154,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752619102.293464,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752619164.924725,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752619332.088986,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752619880.785244,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752619937.1741328,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752622966.018023,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752674392.0985122,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752674486.981879,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752686604.6214972,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752686939.5132499,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752686942.611218,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752687225.333441,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752688713.5199552,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752688817.311925,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752703968.752116,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752704221.704005,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752704505.586635,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752704517.332135,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752705504.4366322,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752706001.499374,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752706074.596405,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752712546.082928,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752715168.7536259,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752718529.370676,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752718533.943022,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752720390.833303,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752720413.066632,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752760560.793323,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752760564.1197271,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752760857.835428,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752762437.8259249,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752767049.831491,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752777465.053411,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752777479.029968,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752787363.336361,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752792176.2563782,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752795891.181802,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752802496.523347,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752806202.883867,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752806671.266221,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752808360.480101,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752848428.384145,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752857351.890082,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752859297.263025,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752868304.1376472,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752868941.159054,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752872594.979083,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752893108.437904,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752927804.684455,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752927991.1157541,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752928144.635478,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752934371.233944,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752940923.614534,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752944629.948833,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752949559.746371,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752950472.280933,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752950512.987341,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752951208.478994,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1752951580.4594622,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752952144.871175,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752968600.219328,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752972623.3981361,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1752981336.517521,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753014150.7758589,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753018650.368513,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753021578.910533,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753024210.045393,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753024761.501093,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753026733.614304,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753030817.5107121,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753040238.7188911,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753040537.588842,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753040623.898044,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753040630.82977,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753040655.6526132,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753068043.910254,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753068385.160845,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753130261.2459369,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753160347.560488,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753160355.090872,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753195274.490004,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753195646.263695,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753195653.9141521,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753204053.1127229,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753206061.089499,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753208053.80059,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753209120.807919,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753210087.561197,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753210433.288727,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753210977.773133,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753220949.882803,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753223112.57162,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753223327.536998,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753223451.6008039,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753224705.914572,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753224725.502584,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753224983.497563,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753225069.2417998,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753237215.464364,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753237738.2584472,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753281068.926793,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753287036.7326999,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753303750.6043859,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753303897.832847,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753303997.0186949,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753305349.171835,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753305784.3643022,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753309625.702757,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753311541.257413,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753312439.312923,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753312867.309571,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753313066.196638,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753317858.938976,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753318570.990471,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753322738.88322,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753326673.687769,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753326802.009104,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753326852.133297,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753326853.14714,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753326855.308542,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753330804.741178,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753364194.642488,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753366450.8430629,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753366644.9812531,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753367966.153329,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753368018.0077481,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753374257.347989,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753377247.133172,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753378127.998488,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753379736.8332381,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753389897.3867412,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753389970.812366,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753395351.51714,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753415012.288423,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753415430.525481,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753416153.709357,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753462112.8405008,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753470172.645186,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753472508.103397,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753483529.602848,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753502517.950589,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753505913.547436,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753505944.3628259,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753531827.7453032,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753545526.758991,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753548639.706193,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753549120.308228,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753552394.982009,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753555023.9697762,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753555563.6847,dismissedAppOpening,breathingExercise,1.5,
False,America/New_York,instagram,1753556551.2122989,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753556923.0559769,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753557099.802631,openedApp,breathingExercise,1.5,
False,America/New_York,instagram,1753577066.8616219,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753578170.799199,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753582967.39225,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753617702.251573,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753618159.715919,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753621268.440897,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753621272.831853,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753629842.053557,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753656383.502017,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753657188.455409,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753657311.707514,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753669352.134965,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753710558.408334,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753713827.796791,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753721370.48318,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753721925.786624,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753723354.112616,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753729372.4790769,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753730163.692899,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753730312.647229,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753730479.056052,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753738099.965498,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753738114.246969,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753755075.772482,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753755314.507039,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753797208.914299,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753801068.1460881,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753806918.6896691,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753817495.713719,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753818591.45835,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753827435.205555,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753829460.196239,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753845061.721637,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753889089.444539,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753891403.3642,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753891740.574325,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753895472.380931,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753898417.786519,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1753925002.267685,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753991437.9729118,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1753998031.484597,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754004930.641714,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754008358.417674,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754060210.135503,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754075462.2195702,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754075765.38182,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754075955.457955,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754081554.143791,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754081700.147546,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754081716.713891,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754090025.794585,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754091901.63382,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754093325.786428,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754094048.023787,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754100331.311744,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754149898.082901,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754150032.042753,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754160407.043541,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754161362.67469,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754161366.520228,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754161370.1133761,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754161373.938375,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754164202.858072,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754164898.144841,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754166639.074259,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754168157.213239,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754174642.616699,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754176376.91768,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754181725.109962,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754196315.6485438,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754196343.422837,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754224574.5454478,openedApp,breathingExercise,6.0,
False,America/New_York,instagram,1754232863.391111,dismissedAppOpening,breathingExercise,6.0,
False,America/New_York,instagram,1754248522.620744,openedApp,breathingExercise,6.0,
