interventionType,app,resolution,isReIntervention,interventionDuration,timezone,timestamp,purpose,timeIntervalUntilReIntervention
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752441113.355875,Unterhaltung,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752447890.594851,Auf dem Laufenden bleiben,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1752448131.658465,,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752448140.3529701,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752448207.267074,,300.0
breathingExercise,youtube,dismissedAppOpening,False,1.5,Europe/Berlin,1752448520.264209,,
breathingExercise,youtube,openedApp,False,1.5,Europe/Berlin,1752448534.109236,Unterhaltung,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752448601.3081012,,300.0
askForTimeLimit,youtube,dismissedAppOpening,False,1.5,Europe/Berlin,1752448680.5296412,,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752489352.696111,Auf dem Laufenden bleiben,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1752489458.275741,,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752490443.731097,Auf dem Laufenden bleiben,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752491702.495801,,300.0
breathingExercise,youtube,dismissedAppOpening,False,1.5,Europe/Berlin,1752492026.187902,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752495033.9073691,Auf dem Laufenden bleiben,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752495093.529574,,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752495095.644273,,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752495444.6962562,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752495692.14461,,300.0
breathingExercise,youtube,dismissedAppOpening,True,1.5,Europe/Berlin,1752496007.761761,,
breathingExercise,youtube,openedApp,False,1.5,Europe/Berlin,1752496024.396714,Unterhaltung,300.0
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752497304.535925,Unterhaltung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752497965.86816,Unterhaltung,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752509174.8631191,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752510004.117384,Auf dem Laufenden bleiben,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1752511145.2192059,,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752511250.0255451,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752515525.10653,Unterhaltung,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752525145.477398,Auf dem Laufenden bleiben,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752534853.405894,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752566742.296589,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752567515.25984,Auf dem Laufenden bleiben,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752568569.871423,Auf dem Laufenden bleiben,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752568657.804926,Unterhaltung,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752568736.554106,,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752573752.2297,,300.0
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1752574920.5809631,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752574928.4849482,Auf dem Laufenden bleiben,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752575304.9230561,Entspannung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752575352.2525182,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752576976.396964,Unterhaltung,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752587357.964755,Nachricht / Schreiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752587639.695694,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752587715.094503,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752587822.748034,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752587954.568546,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752589903.9319758,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752596580.82252,Auf dem Laufenden bleiben,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752596620.045295,Auf dem Laufenden bleiben,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752596698.358424,Auf dem Laufenden bleiben,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752596805.3104172,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752609590.4359388,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752609748.190577,Ablenkung,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752609986.1513271,Infos suchen,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752610992.379571,,300.0
breathingExercise,youtube,openedApp,True,1.5,Europe/Berlin,1752611341.652636,Entspannung,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752611901.4066691,,60.0
breathingExercise,youtube,openedApp,True,1.5,Europe/Berlin,1752611980.745686,Entspannung,300.0
breathingExercise,youtube,openedApp,True,1.5,Europe/Berlin,1752612298.5359402,Klo,300.0
breathingExercise,youtube,openedApp,True,1.5,Europe/Berlin,1752612616.0499039,Unterhaltung,300.0
breathingExercise,youtube,openedApp,True,1.5,Europe/Berlin,1752612930.437397,Auf dem Laufenden bleiben,300.0
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752669892.975574,Auf dem Laufenden bleiben,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1752671183.608649,,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752674991.704025,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752678299.492362,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752679240.715069,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752683841.488453,Auf dem Laufenden bleiben,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752687019.298067,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752687398.3103619,Entspannung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752687474.2030659,Auf dem Laufenden bleiben,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752687611.518111,Auf dem Laufenden bleiben,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752687686.382721,Entspannung,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752687709.883033,Auf dem Laufenden bleiben,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752688419.5598478,Ablenkung,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752688599.150002,,300.0
breathingExercise,youtube,openedApp,True,1.5,Europe/Berlin,1752689626.391089,Infos suchen,300.0
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752694395.345467,Klo,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752695200.8573089,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752698384.761046,Entspannung,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752698718.781986,Klo,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1752698855.075103,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752781365.915481,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752783799.440547,Infos suchen,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752787108.177929,,300.0
breathingExercise,youtube,openedApp,False,1.5,Europe/Berlin,1752787857.142736,Infos suchen,300.0
breathingExercise,youtube,openedApp,False,1.5,Europe/Berlin,1752788208.767868,Infos suchen,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752788296.8921561,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752788379.732635,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752788398.029389,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752788460.7495809,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752788479.180402,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752788550.292022,,300.0
breathingExercise,youtube,openedApp,False,1.5,Europe/Berlin,1752788873.156252,Auf dem Laufenden bleiben,300.0
breathingExercise,youtube,openedApp,False,1.5,Europe/Berlin,1752789197.7578778,Auf dem Laufenden bleiben,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752789274.53981,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752789328.027296,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752789404.682901,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752789487.6648788,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752789614.672408,,300.0
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752828363.626905,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752828549.054745,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752829870.659446,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752830582.528235,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752873860.407779,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752875645.05471,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752875895.5842838,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752876032.105056,Infos suchen,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1752876143.566567,,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752876815.054278,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752876836.0708652,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752949790.613402,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1752949843.4287329,,300.0
askForTimeLimit,youtube,dismissedAppOpening,False,1.5,Europe/Berlin,1752949922.913116,,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752954233.985355,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752956050.992511,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752956417.08012,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752956559.050483,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752956683.9735498,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752956786.770344,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752956926.705245,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752957035.8132272,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1752959842.5119739,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1752965765.101728,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753006416.53249,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753007125.14168,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753007553.1439629,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753007646.103728,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753008644.335943,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753008803.1651258,Infos suchen,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1753009305.148421,,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753030196.293655,Infos suchen,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753040569.9087682,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753040662.1965718,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753042321.082269,,300.0
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1753045863.7813869,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753045873.760984,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753048811.3337111,Infos suchen,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753050766.505805,,300.0
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753086477.118614,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753086794.877921,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753086909.438764,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753087069.977504,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753087152.7312388,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753087245.652348,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753087325.431229,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753092588.954626,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753092782.687835,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753093293.257834,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753093383.53753,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753093464.0488129,Infos suchen,
breathingExercise,pinterest,dismissedAppOpening,False,1.5,Europe/Berlin,1753094298.5872211,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753094443.281923,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753095635.529841,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753095724.1878,Infos suchen,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1753096294.818147,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753100176.026938,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753100283.948102,Infos suchen,
breathingExercise,youtube,openedApp,False,1.5,Europe/Berlin,1753100753.8049278,Infos suchen,300.0
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753102652.130454,Infos suchen,
breathingExercise,youtube,openedApp,False,1.5,Europe/Berlin,1753105558.841335,Infos suchen,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753111258.76617,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753111486.0161939,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753111608.564046,,300.0
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753112550.163708,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753112598.524045,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753112716.6108751,Infos suchen,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1753113444.085497,,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753116630.3724508,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753121762.718871,Infos suchen,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1753126431.742559,,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753126440.747776,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753130325.896214,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753130386.677637,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753130764.181355,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753131082.6376219,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753132920.376501,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753133133.955539,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753133236.6552138,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753133316.6464071,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753133440.992732,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753133584.361563,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753133707.372586,Infos suchen,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753133897.363634,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753133924.889655,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753134131.312941,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753134207.579807,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753134315.081358,,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753134393.9489899,,300.0
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753136237.41918,Infos suchen,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1753136279.3672051,,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753136290.9106631,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753136316.430232,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753174512.020808,Infos suchen,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1753176227.798176,,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753203769.788106,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753203905.427794,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753207829.064141,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753208990.08875,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753210833.408836,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753211279.9721751,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753211791.375917,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753211843.178725,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753212721.7598538,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753212979.9953609,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753213076.010814,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753213193.1628242,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753220626.434867,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753221367.579309,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753223697.938243,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753224251.410099,Infos suchen,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753224285.783248,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753224795.9811091,Infos suchen,
breathingExercise,instagram,dismissedAppOpening,False,1.5,Europe/Berlin,1753260146.52349,,
breathingExercise,instagram,openedApp,False,1.5,Europe/Berlin,1753260160.277492,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753263310.750227,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753263387.256746,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753273548.597233,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753275538.687897,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753277533.4986339,Infos suchen,
breathingExercise,pinterest,openedApp,False,1.5,Europe/Berlin,1753277646.271456,Infos suchen,
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753304989.9181151,,300.0
breathingExercise,youtube,dismissedAppOpening,True,1.5,Europe/Berlin,1753305349.955336,,
breathingExercise,youtube,openedApp,False,1.5,Europe/Berlin,1753305364.9943938,Infos suchen,300.0
breathingExercise,youtube,openedApp,False,1.5,Europe/Berlin,1753305876.951921,Infos suchen,300.0
askForTimeLimit,youtube,openedApp,False,1.5,Europe/Berlin,1753306061.728154,,300.0
breathingExercise,youtube,openedApp,True,1.5,Europe/Berlin,1753309644.4154692,Infos suchen,300.0
breathingExercise,youtube,openedApp,True,1.5,Europe/Berlin,1753310776.7405849,Infos suchen,300.0
breathingExercise,youtube,openedApp,True,1.5,Europe/Berlin,1753311087.551297,Infos suchen,300.0
