interventionDuration,isReIntervention,interventionType,resolution,timestamp,app,timezone,timeIntervalUntilReIntervention
1.5,False,breathingExercise,dismissedAppOpening,1753730678.167832,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753736120.1068401,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753738522.134575,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753739409.416337,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753739610.366578,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753739928.4958282,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753739948.195488,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753775781.138894,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753777343.366239,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753780176.7191792,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753780609.259645,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753781305.828201,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753781724.2430968,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753781870.264927,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753782023.780019,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753783076.625695,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753783239.453866,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753783724.796812,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753784117.902777,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753784407.96563,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753786105.952454,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753786500.4077811,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753811889.519109,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753812323.087349,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753812604.027042,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753818517.4063392,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753819263.161086,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753823207.423211,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753823387.2852511,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753863352.106647,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753864179.360601,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753864358.910644,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753864432.939806,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753864521.799254,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753864898.4044518,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753865174.438322,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753865254.051107,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753865812.0557609,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753866124.264853,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753867265.207144,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753874331.577169,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753876448.641648,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753906185.06264,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1753907520.077246,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753908186.763535,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753908691.275618,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753952416.092579,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753973233.8404288,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753973305.5975819,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753973595.436404,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753973880.2582312,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753974220.405861,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753979682.973678,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753980210.0516272,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753980449.3154721,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753980733.11172,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753983002.675482,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753983922.677339,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753988746.5385962,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753993032.32517,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1753998888.112205,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754003806.467499,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754007453.3356872,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754036251.638572,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754037434.964429,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754045949.96299,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754053811.272393,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754053876.606185,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754054013.256823,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754060385.710094,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754060514.448252,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754065557.225553,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754089831.087048,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754090354.344496,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754131063.507413,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754135398.901671,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754135924.924601,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754135949.327622,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754136137.3437738,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754136605.8562388,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754146485.243947,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754150235.893827,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754151429.931442,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754153914.916947,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754157920.2641292,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754158076.497939,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754161204.1676111,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754161877.445056,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754161880.179064,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754162733.02619,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754162755.873002,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754165525.3303251,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754165667.7868671,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754165822.3194652,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754167351.35145,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754168693.533179,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754168836.135505,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754173544.689822,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754228273.2132978,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754229604.521914,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754231451.246985,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754232283.4668121,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754236409.7872481,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754236609.261718,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754236940.918957,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754237021.9842172,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754237254.733877,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754237414.554023,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754237670.70894,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754237675.712915,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754238160.680107,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754238254.38939,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754238997.255187,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754239279.916322,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754239306.280416,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754239474.739499,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754239517.873626,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754239610.428485,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754239668.7528691,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754239745.627007,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754239747.605685,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754239749.417902,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754239751.334096,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754239757.246028,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754239950.460804,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754240023.8218122,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754240610.82798,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754240964.24539,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754241313.949472,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754241777.545669,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754242384.1175919,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754242551.034926,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754242917.692874,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754243090.145588,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754243870.809588,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754244132.3894958,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754244382.3307,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754244852.434824,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754244946.493886,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754245231.555326,instagram,Europe/Berlin,
1.5,False,breathingExercise,dismissedAppOpening,1754245430.4792628,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754245463.097368,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754245684.236069,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754245800.055084,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754245937.131721,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754246076.399759,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754251610.992106,instagram,Europe/Berlin,
1.5,False,breathingExercise,openedApp,1754252164.271902,instagram,Europe/Berlin,
