resolution,timestamp,isReIntervention,timezone,interventionDuration,app,interventionType,timeIntervalUntilReIntervention
closedApp,1751710661.078034,False,Asia/Baku,,youtube,,
dismissedAppOpening,1751710661.078034,False,Asia/Baku,,youtube,,
openedApp,1751710671.179346,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751723048.983303,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751724342.8250852,False,Asia/Baku,1.5,youtube,breathingExercise,
openedApp,1751791369.40827,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1751793201.0650082,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1751818365.466713,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1751821086.6841788,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1751868321.599649,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1751877530.489218,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1751902515.660921,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1751941960.4865298,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1751986558.702564,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1751987121.0895991,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752046056.4696689,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752046616.3487701,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752078813.6917381,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752080722.232099,False,Asia/Baku,6.0,youtube,breathingExercise,
dismissedAppOpening,1752081506.8795218,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752083052.6611152,False,Asia/Baku,6.0,youtube,breathingExercise,
dismissedAppOpening,1752115399.118885,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752143442.686805,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752145519.154519,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752169397.702074,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752170752.198704,False,Asia/Baku,6.0,youtube,breathingExercise,
dismissedAppOpening,1752207914.206778,False,Asia/Baku,6.0,youtube,breathingExercise,
dismissedAppOpening,1752208627.724884,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752208645.901147,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752226811.079969,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752227429.815865,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752320368.7055979,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752321918.9280581,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752322478.3942862,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752323043.790926,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752333862.783049,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752335505.616026,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752337976.9051418,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752339922.1952229,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752392711.03399,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752393921.256744,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752407244.739147,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752409307.56005,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752423252.708194,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752482305.053927,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752483951.444034,False,Asia/Baku,6.0,youtube,breathingExercise,
dismissedAppOpening,1752483952.045229,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752499394.938266,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752500619.221611,False,Asia/Baku,6.0,youtube,breathingExercise,
dismissedAppOpening,1752501938.3297172,False,Asia/Baku,6.0,youtube,breathingExercise,
dismissedAppOpening,1752508131.6050081,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752508196.604148,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752509117.928381,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752522946.136345,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752598299.868071,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752599154.120657,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752607466.839402,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752642321.819243,False,Asia/Baku,6.0,youtube,breathingExercise,
dismissedAppOpening,1752648187.743034,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752648209.522537,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752664254.222814,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752675282.1551208,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752730233.984092,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752758602.854741,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752782748.656557,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752783426.542156,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752931889.437738,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752934638.613422,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752935781.5372229,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752941119.47014,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752977201.082171,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752989534.904957,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752990333.6195788,False,Asia/Baku,6.0,youtube,breathingExercise,
dismissedAppOpening,1752995263.779006,False,Asia/Baku,6.0,youtube,breathingExercise,
openedApp,1752995381.618758,False,Asia/Baku,6.0,youtube,askForTimeLimit,1800.0
dismissedAppOpening,1752997591.9436522,False,Asia/Baku,6.0,youtube,askForTimeLimit,
openedApp,1753006468.309277,False,Asia/Baku,6.0,youtube,askForTimeLimit,2160.0
openedApp,1753008999.123458,False,Asia/Baku,6.0,youtube,askForTimeLimit,660.0
openedApp,1753031961.67284,False,Asia/Baku,6.0,youtube,askForTimeLimit,2700.0
openedApp,1753064126.12414,False,Asia/Baku,6.0,youtube,askForTimeLimit,300.0
openedApp,1753064447.199154,True,Asia/Baku,6.0,youtube,breathingExercise,780.0
openedApp,1753065247.683985,True,Asia/Baku,6.0,youtube,breathingExercise,1500.0
dismissedAppOpening,1753069288.115952,False,Asia/Baku,6.0,youtube,askForTimeLimit,
openedApp,1753178236.3227758,False,Asia/Baku,6.0,youtube,askForTimeLimit,2580.0
