timezone,interventionType,timestamp,isReIntervention,interventionDuration,resolution,app,purpose,timeIntervalUntilReIntervention
Europe/Prague,journaling,1749031627.3035789,False,,dismissedAppOpening,youtube,,
Europe/Prague,breathingExercise,1749031642.444987,False,1.5,openedApp,youtube,Znuděný,600.0
Europe/Prague,breathingExercise,1749032811.0163732,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1749032919.0143719,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,journaling,1749046999.498059,False,,dismissedAppOpening,tikTok,,
Europe/Prague,journaling,1749049168.691946,False,,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749051325.343433,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749057804.3314471,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,journaling,1749059311.787096,False,,dismissedAppOpening,tikTok,,
Europe/Prague,journaling,1749059311.7937698,False,,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749116527.821305,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749116593.500269,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749116789.571028,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749117317.193824,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749117319.876404,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749122999.520022,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749123228.2583508,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749135816.087381,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749136149.4871058,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749136617.185306,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749141938.867422,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749144606.6303248,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749200809.205297,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749204328.687087,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749207652.035193,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,journaling,1749208150.0915818,False,,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749208160.5561352,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749209660.8733501,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749211686.739468,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,journaling,1749212646.559813,False,,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749217464.246059,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749221302.367882,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749223104.229807,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749226284.129685,False,1.5,openedApp,tikTok,Entertainment,
Europe/Prague,journaling,1749226438.195956,False,,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749226455.5009441,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749232961.7436662,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749237801.227788,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749289277.304933,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749323391.43172,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749326845.0793319,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749372050.8162751,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749373446.0586882,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749376204.807304,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749383019.866595,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749384411.448206,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749384677.348047,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1749385271.94996,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1749385629.6387339,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1749388001.943277,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749388349.758106,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1749390537.549556,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749391819.4977841,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749394435.559073,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749395595.4108949,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749395653.428555,False,1.5,openedApp,tikTok,Message,
Europe/Prague,breathingExercise,1749403871.3522348,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749407064.685893,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749407244.679676,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749456286.681927,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749458487.920968,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1749462270.863645,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1749462503.4837642,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749463530.072338,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749466678.48017,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749466701.359359,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749471271.52543,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749471710.257286,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749474758.86377,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749477831.348429,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749479878.446069,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,journaling,1749489947.310061,False,,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749497158.501041,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749539421.2420058,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749547741.952229,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749549651.1245909,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749561085.684815,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749576084.016255,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749577097.297954,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749578400.775682,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749630087.8489552,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749633812.460361,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749634011.319466,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749635530.732347,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749646147.688529,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749646916.350878,False,1.5,openedApp,tikTok,Post something,
Europe/Prague,breathingExercise,1749649302.243185,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749649657.692215,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749650689.580017,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749652497.538733,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749653689.1282349,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749666700.4875941,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749721247.2834601,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749724494.1538072,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1749725758.284189,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749726047.7755132,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749726741.7753239,False,1.5,dismissedAppOpening,youtube,,
Europe/Prague,breathingExercise,1749726773.292217,False,1.5,openedApp,youtube,Znuděný,600.0
Europe/Prague,breathingExercise,1749726977.112349,False,1.5,openedApp,youtube,Znuděný,600.0
Europe/Prague,breathingExercise,1749727048.5663152,False,1.5,openedApp,youtube,Znuděný,600.0
Europe/Prague,breathingExercise,1749728486.295415,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749729133.0889502,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,journaling,1749733886.533681,False,,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749733897.764124,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749733985.729186,False,1.5,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1749734255.244639,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749737494.2178411,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749737967.36369,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749739578.1084619,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749742147.378677,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749742729.452497,False,1.5,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749744374.526161,False,1.5,openedApp,tikTok,Message,
Europe/Prague,breathingExercise,1749745946.823889,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749746536.483644,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749752045.95203,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749752486.703247,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749752930.943366,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,journaling,1749753660.440315,False,,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749753669.008254,False,1.5,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749803887.441977,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749824770.455741,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749825934.083746,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,journaling,1749826214.760267,False,,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749832580.134564,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749836946.841693,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749842328.149774,False,6.0,openedApp,youtube,Znuděný,300.0
Europe/Prague,breathingExercise,1749892762.4900498,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749897566.112582,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,askForTimeLimit,1749901788.2707028,False,6.0,dismissedAppOpening,youtube,,
Europe/Prague,breathingExercise,1749909041.913779,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749911012.8366652,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749916288.242549,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749916290.390462,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749918069.8596082,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1749925472.03321,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749925932.6176481,False,6.0,openedApp,youtube,Znuděný,360.0
Europe/Prague,breathingExercise,1749989794.023425,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749990671.784093,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1749990694.169437,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1750071287.236059,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750081713.077845,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750099902.114643,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,askForTimeLimit,1750099909.722206,False,6.0,openedApp,youtube,,420.0
Europe/Prague,askForTimeLimit,1750100264.5283499,False,6.0,openedApp,youtube,,540.0
Europe/Prague,breathingExercise,1750148240.858299,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1750148263.339493,False,6.0,openedApp,youtube,Search Info,360.0
Europe/Prague,breathingExercise,1750153007.881196,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1750275861.842787,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1750279424.880892,False,6.0,openedApp,youtube,Znuděný,600.0
Europe/Prague,askForTimeLimit,1750322391.047656,False,6.0,dismissedAppOpening,youtube,,
Europe/Prague,askForTimeLimit,1750323608.713413,False,6.0,openedApp,youtube,,600.0
Europe/Prague,askForTimeLimit,1750324884.2465029,False,6.0,dismissedAppOpening,youtube,,
Europe/Prague,breathingExercise,1750327957.8017821,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1750328267.481759,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750328282.9346008,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,askForTimeLimit,1750340150.522917,False,6.0,openedApp,youtube,,600.0
Europe/Prague,breathingExercise,1750342677.071844,True,6.0,openedApp,youtube,Znuděný,600.0
Europe/Prague,breathingExercise,1750348243.5123801,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750348522.001477,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750409953.0726252,False,6.0,dismissedAppOpening,youtube,,
Europe/Prague,askForTimeLimit,1750427917.258553,False,6.0,openedApp,youtube,,600.0
Europe/Prague,askForTimeLimit,1750428098.2225819,False,6.0,openedApp,youtube,,600.0
Europe/Prague,breathingExercise,1750429620.768516,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1750429970.34207,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,askForTimeLimit,1750430420.553504,False,6.0,openedApp,youtube,,600.0
Europe/Prague,breathingExercise,1750430829.426282,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1750499651.935008,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1750502027.026485,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750511120.411262,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1750515924.7421942,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1750518491.0104032,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750518642.08747,False,6.0,openedApp,tikTok,Nemohu spát,
Europe/Prague,breathingExercise,1750518738.2228851,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750520468.7690248,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1750522324.731972,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1750522756.400632,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1750524276.948184,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750527391.659756,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750528346.651994,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750529124.4747028,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750529262.0416908,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750531976.556457,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750532259.099557,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750581620.666873,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750581625.537446,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750589658.509074,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750589717.431476,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1750589754.585384,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,askForTimeLimit,1750607590.451529,False,6.0,openedApp,youtube,,600.0
Europe/Prague,breathingExercise,1750617085.549584,False,6.0,openedApp,youtube,Znuděný,360.0
Europe/Prague,askForTimeLimit,1750674823.491109,False,6.0,openedApp,youtube,,300.0
Europe/Prague,breathingExercise,1750675148.110361,True,6.0,openedApp,youtube,Search Info,600.0
Europe/Prague,breathingExercise,1750675768.169691,True,6.0,openedApp,youtube,Znuděný,600.0
Europe/Prague,breathingExercise,1750689006.70329,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750767986.5833879,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750861164.729945,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750861661.332075,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1750938027.831048,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1750962322.800514,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1750964550.2716331,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1750967645.0588179,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1751028794.817425,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1751052433.6923509,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,journaling,1751187102.237284,False,,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1751198770.9433389,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1751204859.9357882,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1751218245.2610059,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1751300397.372767,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1751303948.4204268,False,6.0,openedApp,youtube,Znuděný,600.0
Europe/Prague,askForTimeLimit,1751377379.5512009,False,6.0,openedApp,youtube,,600.0
Europe/Prague,breathingExercise,1751378756.43649,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,askForTimeLimit,1751389122.171509,False,6.0,openedApp,youtube,,600.0
Europe/Prague,breathingExercise,1751389349.880903,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,askForTimeLimit,1751397544.398312,False,6.0,openedApp,youtube,,600.0
Europe/Prague,breathingExercise,1751452057.7037349,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1751547729.89059,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1751627429.8204079,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1751634116.986926,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,askForTimeLimit,1751634159.98226,False,6.0,openedApp,youtube,,600.0
Europe/Prague,askForTimeLimit,1751634466.522005,False,6.0,openedApp,youtube,,600.0
Europe/Prague,breathingExercise,1751634641.617371,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1751634662.501597,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1751712640.866945,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1751712975.51263,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1751715777.0725942,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1751807906.878749,False,6.0,openedApp,tikTok,Search Info,
Europe/Prague,breathingExercise,1751809994.828126,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,breathingExercise,1751819777.6400719,False,6.0,openedApp,tikTok,Znuděný,
Europe/Prague,breathingExercise,1751823084.851493,False,6.0,dismissedAppOpening,tikTok,,
Europe/Prague,askForTimeLimit,1751969347.381645,False,6.0,dismissedAppOpening,youtube,,
Europe/Prague,askForTimeLimit,1751980009.9525719,False,6.0,dismissedAppOpening,youtube,,
Europe/Prague,breathingExercise,1752006145.790982,False,6.0,dismissedAppOpening,tikTok,,
