interventionType,interventionDuration,timestamp,resolution,isReIntervention,timezone,purpose,app,timeIntervalUntilReIntervention
breathingExercise,1.5,1751529530.8549871,openedApp,False,Europe/Berlin,Infos suchen,instagram,
breathingExercise,1.5,1751573777.7189841,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751574599.9358969,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751576161.5829492,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751577137.621488,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751607269.8945,openedApp,False,Europe/Berlin,Auf dem Laufenden bleiben,instagram,
breathingExercise,1.5,1751607912.062448,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751607914.813367,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751610459.8190231,openedApp,False,Europe/Berlin,Klo,instagram,
breathingExercise,1.5,1751616099.327207,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751631316.695664,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751634631.219881,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751634736.826607,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751634785.565812,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751634799.238543,openedApp,False,Europe/Berlin,Klo,instagram,
breathingExercise,1.5,1751641895.0515819,openedApp,False,Europe/Berlin,Auf dem Laufenden bleiben,instagram,
breathingExercise,1.5,1751657586.285217,openedApp,False,Europe/Berlin,Klo,instagram,
breathingExercise,1.5,1751660227.2068958,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751662125.089964,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751663595.620759,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751663804.42805,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751665145.377339,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751665460.987767,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751666809.982782,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751666811.294767,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751666837.763042,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751667061.921855,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751667202.026768,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751667477.266897,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751695999.9279861,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751699914.907521,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751702593.574094,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751705525.1066098,openedApp,False,Europe/Berlin,Klo,instagram,
breathingExercise,1.5,1751705941.039572,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751706200.716099,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751715307.861537,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751718453.625699,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751718505.347651,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751718633.557691,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751720319.383621,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751720571.644031,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751720581.578063,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751720969.3660588,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1751721110.5382118,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751721263.647217,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751721429.83851,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751721431.88973,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751723379.2772899,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1751725888.5222359,openedApp,False,Europe/Berlin,Klo,instagram,
breathingExercise,1.5,1751726375.145623,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751727127.402811,openedApp,False,Europe/Berlin,Auf dem Laufenden bleiben,instagram,
breathingExercise,1.5,1751727318.504239,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751727514.948849,openedApp,False,Europe/Berlin,Ablenkung,instagram,
breathingExercise,1.5,1751727675.737513,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751729024.971784,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751729073.097487,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751729116.824249,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751729121.103005,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751729633.739975,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751729635.6891642,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751733515.2573519,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751744716.714118,openedApp,False,Europe/Paris,Unterhaltung,instagram,
breathingExercise,1.5,1751745129.5228,openedApp,False,Europe/Paris,Entspannung,instagram,
breathingExercise,1.5,1751749297.800246,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1751749452.532496,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751750592.584584,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751751163.444258,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751751318.5758982,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751751337.247109,openedApp,False,Europe/Berlin,Nachricht / Schreiben,instagram,
breathingExercise,1.5,1751751425.568166,openedApp,False,Europe/Berlin,Auf dem Laufenden bleiben,instagram,
breathingExercise,1.5,1751751467.700461,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751751929.2508922,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751751936.104348,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751752076.696816,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751752896.045037,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751752898.512851,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751753734.39905,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751780788.48281,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751781013.354698,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751782315.409764,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751784619.61166,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751796655.9911242,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751797648.905061,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751797715.389811,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751797717.608032,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751797782.9142451,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751800240.6199741,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751800304.0952,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751800311.177779,openedApp,False,Europe/Berlin,Ablenkung,instagram,
breathingExercise,1.5,1751800448.495373,openedApp,False,Europe/Berlin,Ablenkung,instagram,
breathingExercise,1.5,1751823390.500834,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1751831208.8616881,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751831542.903151,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751831909.767869,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1751862118.978991,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1751862612.870434,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751864731.6475968,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751868161.349864,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751868170.292249,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1751889454.12508,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751890203.707387,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751890217.196511,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751890600.586635,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751890602.9662251,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751891549.90383,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751891557.719384,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751892792.226328,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1751897197.312644,openedApp,False,Europe/Berlin,Klo,instagram,
breathingExercise,1.5,1751899079.6285958,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751901883.347495,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751902398.0157151,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751902433.930829,openedApp,False,Europe/Berlin,Klo,instagram,
breathingExercise,1.5,1751903753.5362191,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751904405.102591,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751919246.703325,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751919347.950101,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751919740.662825,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751921143.14145,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751921157.855294,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751921419.050823,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751921421.550241,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751921551.298219,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751922820.302371,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751923060.405744,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751961533.707217,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751962574.91496,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751963341.18777,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751967150.147218,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751967530.968785,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751969858.340959,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751971085.569001,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751971730.7186651,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751974215.7020102,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751974474.543641,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751974499.517019,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751974549.513505,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751974972.805667,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751975935.474189,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751976697.436528,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751979564.9000092,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751979567.637625,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751979575.172363,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751979867.689921,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1751982854.481786,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751983862.395904,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1751996915.885106,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1752003917.074703,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1752004437.619123,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1752005007.697778,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1752040857.281476,openedApp,False,Europe/Berlin,Unterhaltung,instagram,
breathingExercise,1.5,1752042452.3204122,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1752045805.811606,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1752048510.8426728,openedApp,False,Europe/Berlin,Entspannung,instagram,
breathingExercise,1.5,1752048891.155936,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752051192.781262,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752052561.7203279,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752056755.053899,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752056764.3002849,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752057773.799073,openedApp,False,Europe/Berlin,Entspannung,instagram,240.0
breathingExercise,1.5,1752070785.2173371,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752071000.16675,openedApp,False,Europe/Berlin,Entspannung,instagram,600.0
breathingExercise,1.5,1752071802.218604,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752072590.182687,openedApp,False,Europe/Berlin,Entspannung,instagram,300.0
breathingExercise,1.5,1752073180.112217,openedApp,True,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752077884.66227,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752079809.97897,openedApp,False,Europe/Berlin,Klo,instagram,240.0
breathingExercise,1.5,1752081694.0445929,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752081704.0555139,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752081924.530998,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752085664.074683,openedApp,False,Europe/Berlin,Entspannung,instagram,900.0
breathingExercise,1.5,1752087054.3464231,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752087066.231264,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752087765.5982661,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752087768.911872,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752087815.481178,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752087818.200773,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752089105.523869,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752089518.998374,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752092644.3092508,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752094743.183078,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752094864.766424,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752094980.9718971,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752122869.660129,openedApp,False,Europe/Berlin,Entspannung,instagram,360.0
breathingExercise,1.5,1752123493.418802,openedApp,False,Europe/Berlin,Entspannung,instagram,300.0
breathingExercise,1.5,1752124855.585702,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752176063.0216022,openedApp,False,Europe/Berlin,Entspannung,instagram,180.0
breathingExercise,1.5,1752176277.842145,openedApp,False,Europe/Berlin,Entspannung,instagram,600.0
breathingExercise,1.5,1752176687.711086,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752176698.959516,openedApp,False,Europe/Berlin,Entspannung,instagram,1440.0
breathingExercise,1.5,1752179957.0482411,openedApp,False,Europe/Berlin,Entspannung,instagram,480.0
breathingExercise,1.5,1752180763.357799,openedApp,False,Europe/Berlin,Entspannung,instagram,240.0
breathingExercise,1.5,1752212691.468962,openedApp,False,Europe/Berlin,Entspannung,instagram,240.0
breathingExercise,1.5,1752218432.114425,openedApp,False,Europe/Berlin,Auf dem Laufenden bleiben,instagram,360.0
breathingExercise,1.5,1752218534.112242,openedApp,False,Europe/Berlin,Entspannung,instagram,300.0
breathingExercise,1.5,1752220757.506969,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752220760.267465,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752225075.6400661,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752225086.667552,openedApp,False,Europe/Berlin,Entspannung,instagram,240.0
breathingExercise,1.5,1752225755.8667312,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752225777.4858909,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752227241.585151,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752234249.590581,openedApp,False,Europe/Berlin,Entspannung,instagram,360.0
breathingExercise,1.5,1752235037.266286,openedApp,False,Europe/Berlin,Entspannung,instagram,780.0
breathingExercise,1.5,1752238266.723248,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752238641.4034991,openedApp,False,Europe/Berlin,Unterhaltung,instagram,300.0
breathingExercise,1.5,1752239604.7507582,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752241136.179152,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752241616.554383,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752241846.9221869,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752241870.005793,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752242048.203273,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752242460.8568358,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752244049.70925,openedApp,False,Europe/Berlin,Entspannung,instagram,360.0
breathingExercise,1.5,1752245800.859007,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752245802.969779,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752248636.0252461,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752248646.552577,openedApp,False,Europe/Berlin,Entspannung,instagram,240.0
breathingExercise,1.5,1752249724.3821,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752258394.684095,openedApp,False,Europe/Berlin,Entspannung,instagram,300.0
breathingExercise,1.5,1752261764.988941,openedApp,False,Europe/Berlin,Entspannung,instagram,720.0
breathingExercise,1.5,1752263163.6749,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752263223.953197,openedApp,False,Europe/Berlin,Entspannung,instagram,360.0
breathingExercise,1.5,1752263868.109268,openedApp,False,Europe/Berlin,Entspannung,instagram,420.0
breathingExercise,1.5,1752264210.4463391,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752265069.9064,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752266132.9554958,openedApp,False,Europe/Berlin,Entspannung,instagram,360.0
breathingExercise,1.5,1752267957.397047,openedApp,False,Europe/Berlin,Entspannung,instagram,240.0
breathingExercise,1.5,1752295695.985436,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752295707.759305,openedApp,False,Europe/Berlin,Entspannung,instagram,300.0
breathingExercise,1.5,1752299865.2121181,openedApp,False,Europe/Berlin,Entspannung,instagram,180.0
breathingExercise,1.5,1752301810.8705812,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752301818.584066,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752310944.660279,openedApp,False,Europe/Berlin,Entspannung,instagram,300.0
breathingExercise,1.5,1752312184.9189749,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752312212.741757,openedApp,False,Europe/Berlin,Entspannung,instagram,300.0
breathingExercise,1.5,1752314802.8486671,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752315119.830035,dismissedAppOpening,True,Europe/Berlin,,instagram,
breathingExercise,1.5,1752320121.110012,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752320633.2306418,dismissedAppOpening,True,Europe/Berlin,,instagram,
breathingExercise,1.5,1752326343.383671,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752326353.324743,openedApp,False,Europe/Berlin,Entspannung,instagram,180.0
breathingExercise,1.5,1752330931.9802508,openedApp,False,Europe/Berlin,Klo,instagram,180.0
breathingExercise,1.5,1752331782.287137,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752345027.905192,openedApp,False,Europe/Berlin,Entspannung,instagram,240.0
breathingExercise,1.5,1752353555.444902,openedApp,False,Europe/Berlin,Entspannung,instagram,300.0
breathingExercise,1.5,1752354989.739534,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752357220.25208,openedApp,False,Europe/Berlin,Entspannung,instagram,60.0
breathingExercise,1.5,1752359687.375228,dismissedAppOpening,True,Europe/Berlin,,instagram,
breathingExercise,1.5,1752387484.378514,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752387498.716088,openedApp,False,Europe/Berlin,Auf dem Laufenden bleiben,instagram,300.0
breathingExercise,1.5,1752390705.018221,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752391078.7654362,openedApp,False,Europe/Berlin,Entspannung,instagram,300.0
breathingExercise,1.5,1752391312.976709,openedApp,False,Europe/Berlin,Klo,instagram,60.0
breathingExercise,1.5,1752397595.176978,openedApp,False,Europe/Berlin,Entspannung,instagram,300.0
breathingExercise,1.5,1752397744.055172,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752398097.172814,dismissedAppOpening,False,Europe/Berlin,,instagram,
breathingExercise,1.5,1752400758.6699739,dismissedAppOpening,False,Europe/Berlin,,instagram,
