interventionType,resolution,timestamp,isReIntervention,interventionDuration,timezone,app
,closedApp,1752656027.577787,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752656031.466613,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752656031.470393,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752656189.06545,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752656189.07049,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752656263.324026,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752656263.325228,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752656314.736687,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752656374.317914,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752656374.32167,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752656863.224618,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752656940.4462981,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752656940.450114,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752657031.742439,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752657238.1111999,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752657238.1124868,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752657386.527137,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752657386.529104,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752657450.45959,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752657545.7674952,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752657545.769767,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752657947.784383,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752657947.786154,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752658072.299031,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752658072.300179,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752658152.000976,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752658532.5025148,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752658542.0537372,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752659837.796737,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752659837.797982,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752661003.629799,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752661013.725799,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752661026.7539558,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752661681.644847,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752662297.249209,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752662837.883462,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752662938.751875,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752662940.5988889,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752668803.111813,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752668871.823216,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752669091.8082318,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752669108.8944988,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752669141.468554,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752669756.036726,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752669835.999413,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752671705.468758,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752671788.631343,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752673096.304596,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,dismissedAppOpening,1752673163.217725,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752673257.2835522,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752673354.031024,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,dismissedAppOpening,1752673361.367432,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752673368.641088,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752673387.714408,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752675465.578531,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752675485.576848,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752675508.5191069,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752675669.301705,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752675702.9091458,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,dismissedAppOpening,1752675730.1421108,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752676278.746704,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752676284.608527,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752676729.3391628,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752676735.402446,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,dismissedAppOpening,1752676793.29125,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752679060.544164,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752679430.3864179,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752679612.287247,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752683044.665874,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752683076.108701,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752683371.396,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752684047.4926782,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752684052.611047,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752684136.921342,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752685529.708411,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752685552.005333,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752687385.21662,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752687419.906797,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752687898.849549,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752690604.774293,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752691022.500773,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752691141.233942,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752691311.775495,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752691368.146076,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752691485.347136,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752691516.436135,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752691654.7418408,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752691684.724555,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752693990.435076,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752695212.0593572,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752695345.351943,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752695488.3217402,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752696602.362659,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752696625.501371,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752697168.8451571,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752697276.6002421,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752697359.054359,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752697986.560563,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752699548.380111,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752699639.0686212,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752700619.0965738,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752700703.142118,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752701682.205169,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752701735.5179238,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752701951.301413,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752702020.774065,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752702690.0442739,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752702965.121667,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752703067.707687,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752703072.091391,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752703153.2174978,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752703312.127129,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752703459.452444,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752704374.797152,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752705177.2594361,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752705204.769923,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752705282.434101,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752705379.818582,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752705470.953579,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752739613.933337,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752742538.9950771,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752742584.3419209,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752742719.084336,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752746449.185668,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752747296.253838,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752747683.885693,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752747715.6678472,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752748828.596723,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752748928.068958,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752748953.487049,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752748955.8416529,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752749957.144258,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752750607.39375,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752750693.817877,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752761148.774047,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752761292.7883291,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752762821.628335,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752763058.731226,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752763589.965246,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752763594.1678948,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752763712.403195,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752763726.596171,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752763861.849915,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752763883.0598412,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752763886.935941,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752763985.162538,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752763992.691025,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752764119.464293,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752764363.9193668,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752764469.6711059,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752765877.7115211,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752765955.8821921,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752766053.044135,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752766056.681076,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752766133.783596,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752767615.332268,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752767835.8465161,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752767931.329112,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752770331.757468,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752771189.9888458,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752771230.673662,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752771554.703695,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752771968.109339,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752771993.494585,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752773288.38067,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752773318.9395761,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752775140.741047,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752776790.5734382,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752776793.9729428,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752776850.067097,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752776867.053447,False,1.5,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752776888.446593,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752776910.295117,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752776929.4651,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
,closedApp,1752777009.591599,False,,Europe/Vienna,B44CB0EC-C2B8-4214-B5FE-F874B5B73D84
breathingExercise,openedApp,1752782522.822643,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752782539.258693,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752782601.880414,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752783079.615776,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752785709.842067,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752785797.3328872,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752788895.3990788,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752788979.4390101,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752789298.7884588,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752789337.526315,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752789400.334437,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752789748.569942,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752790287.67142,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752791685.158042,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752801744.203731,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752801918.360147,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752802146.050918,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752802398.7135348,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752802592.5607,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752807870.22874,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,dismissedAppOpening,1752808267.311657,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752808283.685536,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752808361.0987148,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752808393.62079,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752809108.743433,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752809973.665944,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752823014.581433,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752823343.688325,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752825255.601212,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752825297.9956641,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752826228.543158,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752826351.7178679,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752826354.805529,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752827932.556144,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
,closedApp,1752828110.385783,False,,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
breathingExercise,openedApp,1752828228.253253,False,1.5,Europe/Vienna,34F43E94-9AEE-456C-A0A4-EAC1E2163AB9
