timezone,resolution,interventionDuration,interventionType,timestamp,timeIntervalUntilReIntervention,isReIntervention,purpose,app
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751727902.351538,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751727942.7795892,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751729307.5923681,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751729312.54667,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751729425.0030332,,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751732987.812119,360.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751733208.4190788,360.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751733700.918419,600.0,False,Unterhaltung,tikTok
Europe/Berlin,dismissedAppOpening,,journaling,1751787334.352759,,False,,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751787691.228156,,False,,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751799919.499399,480.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751801515.142349,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751801965.12271,480.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751802601.399941,,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751802655.9773412,420.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751803096.295847,420.0,True,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751803259.8709779,600.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751803334.163745,600.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751803681.729521,480.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751804112.94584,600.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751804722.17525,240.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751805178.342308,540.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751805734.2067308,360.0,True,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751805973.862232,420.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751806412.916106,60.0,True,Unterhaltung,tikTok
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751806547.237334,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751806548.290875,,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751806555.560175,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1751806685.519126,,False,Ablenkung,facebook
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751809289.668328,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751809899.1182861,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751810293.221432,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751810298.420186,480.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751866536.3768969,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751866650.3815842,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751866977.155654,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751872705.395033,,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751876581.673822,,False,Unterhaltung,facebook
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751877330.648365,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751882001.605886,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751888162.114752,,False,,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751888201.579011,600.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1751888276.329598,600.0,False,Unterhaltung,tikTok
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751888893.7503052,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751889502.141254,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751905185.024544,,False,,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751905339.261543,780.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751905725.4885988,480.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751905828.0365438,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751906354.272882,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751906652.667139,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751906713.92515,420.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751907010.67361,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751907077.299831,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751907278.386821,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751907323.37007,60.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751907481.912509,,False,,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751907485.974607,60.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751907780.656491,60.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751907858.272355,600.0,True,Unterhaltung,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751911975.265836,480.0,False,Unterhaltung,tikTok
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751912992.9981651,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751913087.0099201,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751913096.138781,,False,,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751913198.5407782,480.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751914210.416616,,False,,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751914214.725154,480.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751914245.038096,,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751914880.748704,720.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751915106.332124,60.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1751915197.790969,60.0,True,Unterhaltung,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1751915587.49262,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751915715.599287,300.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1751916286.683405,60.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751943582.776809,,False,,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751943701.925914,,False,,tikTok
Europe/Berlin,dismissedAppOpening,,journaling,1751964832.200314,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751986614.8168058,,False,,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1751995195.8081322,600.0,False,Unterhaltung,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1751995303.671485,,False,,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752030899.363665,,False,,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752030926.613185,360.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752031411.8898082,660.0,False,Unterhaltung,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752032422.79426,,False,,jodel
Europe/Berlin,dismissedAppOpening,,journaling,1752037469.80776,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752037958.828949,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752038257.211862,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752039123.173425,180.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752044337.2952151,600.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752045655.448174,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752046994.076124,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752054242.151277,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752054392.5557299,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752063903.864555,60.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752068173.8078852,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752069085.408442,,False,,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752069137.1278238,600.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752069440.385906,,False,,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752070216.328405,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752070832.025885,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752071607.547781,660.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752071792.441772,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752076643.3943691,600.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752076842.831114,,False,,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752076846.8204079,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752077463.6067,600.0,False,Unterhaltung,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752077660.511867,,False,,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752077917.97791,,False,,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752077939.428221,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752078330.014014,660.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752078586.832409,660.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752078902.613402,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752078909.761684,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752079058.302634,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752079365.295459,540.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752080284.3131828,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752083114.903284,420.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752083149.007364,,False,,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752083186.913103,,False,,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752083221.76401,,False,,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752084331.217115,540.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752084498.647707,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752084503.479924,480.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752085184.066234,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752085855.067298,540.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752086261.690788,540.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752087134.7924008,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752087137.761763,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752087140.52899,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752087143.557296,60.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752087194.460238,,False,,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752087212.045864,480.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752087323.4219232,480.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752087479.4099488,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752087884.661706,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752087889.30178,480.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752087979.4095201,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752088262.912956,600.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752088302.864935,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752088305.34173,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752088732.361044,,False,,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752088745.756917,420.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752088995.282024,540.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752117506.0724711,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752118347.977958,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752118473.7343569,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752119473.20788,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752119670.545906,600.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752119974.611154,,False,,facebook
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752141772.24206,,False,,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752147366.15429,,False,,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752147960.239686,,False,,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752147980.0818958,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752148239.494082,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752148495.176581,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752152917.0598211,540.0,False,Unterhaltung,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752153119.322788,,False,,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1752153756.8381538,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752153831.45542,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752154174.387464,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752156897.689614,600.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752156937.0788832,,False,,facebook
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752156960.4439502,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752156976.142143,240.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752159399.3364038,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752160320.585311,420.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752160871.453784,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752161147.64247,480.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752161242.764635,240.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752161434.00421,420.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752161624.4775639,360.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752161741.2849479,,False,Unterhaltung,facebook
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752162002.0499659,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752162030.332129,420.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752162150.207092,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752162512.42311,540.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752162572.956471,,False,,facebook
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752162591.651684,,False,,facebook
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752162661.9751902,,False,,facebook
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752162665.023776,,False,,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752163391.552651,420.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752163590.996601,420.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752163654.2823339,660.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752163870.143853,540.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752164457.329718,,False,,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1752164474.949661,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1752165389.0228639,480.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1752165469.431151,180.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1752175256.492426,420.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1752175656.717843,240.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1752175888.382121,180.0,False,Unterhaltung,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752175998.002441,,False,,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1752176135.8963299,,False,Unterhaltung,facebook
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752176526.671593,,False,,facebook
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752176529.904961,,False,,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1752176535.973652,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1752176821.8238711,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1752203799.334702,540.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1752204458.966996,480.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1752209535.113965,600.0,True,Unterhaltung,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752209845.455056,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752210149.8251,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752210395.421011,360.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752213321.145319,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752214186.889799,480.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752214249.017478,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752216372.377274,480.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752216746.817473,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752217717.512433,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752224793.6455731,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752225056.121002,480.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752225951.706291,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752226533.893193,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752230961.9813619,480.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752231197.2668529,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752231319.571243,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752231341.0070682,540.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752231509.7666779,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752231659.281198,600.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752239503.3039942,660.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1752240178.433105,600.0,True,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1752241248.5207338,900.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,breathingExercise,1752242169.11825,900.0,True,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752243075.693279,900.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752243266.0302129,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752243270.574971,900.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752243335.721461,,False,,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752243339.1958652,900.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752243793.564735,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752244231.34325,900.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752244349.748654,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1752259480.362009,900.0,False,Unterhaltung,tikTok
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752263484.0407581,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752263604.122995,,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752263611.587106,900.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,askForTimeLimit,1752263793.789236,,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752264488.325836,,False,,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752265516.601713,900.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752303090.783987,,False,,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752303252.2819319,900.0,False,,jodel
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752303624.3084211,900.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752303707.6233258,,False,,tikTok
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752303715.083693,,False,,facebook
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752304244.0442271,900.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752304424.195719,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1752308611.114466,,False,Unterhaltung,facebook
Europe/Berlin,openedApp,1.5,breathingExercise,1752308704.918711,900.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752310087.23638,900.0,False,,jodel
Europe/Berlin,dismissedAppOpening,1.5,breathingExercise,1752310250.679035,,False,,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752310332.4470391,900.0,False,,jodel
Europe/Berlin,openedApp,1.5,breathingExercise,1752310358.696306,300.0,False,Unterhaltung,tikTok
Europe/Berlin,openedApp,1.5,askForTimeLimit,1752318385.82426,900.0,False,,jodel
