isReIntervention,resolution,interventionType,app,interventionDuration,timezone,timestamp
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753393879.845862
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753397498.908095
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753435484.038031
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753469051.1500978
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753481469.773191
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753482497.6223788
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753482504.089779
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753484208.7668672
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753488077.861929
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753491699.697833
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753492627.367208
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753525920.772574
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753525932.478519
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753532794.346971
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753536331.202147
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753536414.620367
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753540041.242872
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753540071.563189
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753546066.392492
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753569513.339355
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753569522.083334
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753603766.2447472
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753603889.843066
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753604611.987908
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753614540.897157
False,openedApp,breathingExercise,instagram,1.5,Europe/London,1753632624.203579
False,dismissedAppOpening,breathingExercise,instagram,1.5,Europe/London,1753632840.173068
False,openedApp,breathingExercise,instagram,6.0,Europe/London,1753707209.391067
False,openedApp,breathingExercise,instagram,6.0,Europe/London,1753726768.075945
False,openedApp,breathingExercise,instagram,6.0,Europe/London,1753727296.491015
False,openedApp,breathingExercise,instagram,6.0,Europe/London,1753782204.200103
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753909153.521152
False,dismissedAppOpening,breathingExercise,instagram,6.0,Europe/Copenhagen,1753965360.2497659
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753965560.800096
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753965975.426784
False,dismissedAppOpening,breathingExercise,instagram,6.0,Europe/Copenhagen,1753966842.435533
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753969942.0939531
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753970211.938957
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753972283.665639
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753972562.150837
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753974191.240989
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753985219.000284
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753986108.1725821
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753994508.6999679
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753994581.55716
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1753995509.37059
False,dismissedAppOpening,breathingExercise,instagram,6.0,Europe/Copenhagen,1754041266.914321
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754041765.015765
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754049445.852802
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754061959.414577
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754063259.933069
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754063729.812063
False,dismissedAppOpening,breathingExercise,instagram,6.0,Europe/Copenhagen,1754074613.905118
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754084822.15453
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754085240.7884169
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754168509.3025498
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754168886.656547
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754170500.5386539
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754171420.7934852
False,dismissedAppOpening,breathingExercise,instagram,6.0,Europe/Copenhagen,1754214413.2012
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754214491.0011601
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754214689.157918
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754224250.977396
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754231766.159504
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754240513.5586472
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754292889.661827
False,openedApp,breathingExercise,instagram,6.0,Europe/Copenhagen,1754293414.544784
