isReIntervention,interventionDuration,interventionType,timezone,timestamp,resolution,app,timeIntervalUntilReIntervention
False,6.0,breathingExercise,America/Phoenix,1753400797.866767,openedApp,instagram,780.0
False,6.0,breathingExercise,America/Phoenix,1753401167.89784,openedApp,instagram,600.0
False,6.0,breathingExercise,America/Phoenix,1753463678.5807629,openedApp,instagram,600.0
False,6.0,breathingExercise,America/Phoenix,1753464303.099664,openedApp,instagram,660.0
False,6.0,breathingExercise,America/Phoenix,1753464981.089102,openedApp,instagram,1020.0
False,6.0,breathingExercise,America/Phoenix,1753466016.014333,openedApp,instagram,840.0
False,6.0,breathingExercise,America/Phoenix,1753466951.320178,openedApp,instagram,420.0
False,6.0,breathingExercise,America/Phoenix,1753582145.78899,openedApp,instagram,480.0
False,6.0,breathingExercise,America/Phoenix,1753657419.873938,openedApp,instagram,540.0
False,6.0,breathingExercise,America/Phoenix,1753657979.7877688,openedApp,instagram,540.0
False,6.0,breathingExercise,America/Phoenix,1753658536.413873,openedApp,instagram,540.0
False,6.0,breathingExercise,America/Phoenix,1753659093.455306,openedApp,instagram,660.0
False,6.0,breathingExercise,America/Phoenix,1753917002.707617,openedApp,instagram,600.0
