timestamp,interventionType,timezone,resolution,interventionDuration,app,isReIntervention
1752956113.272913,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753012522.484569,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753015293.0273151,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753017313.367209,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753031927.6799989,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753042845.1892262,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753100115.0288591,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753112073.907302,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753123673.519306,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753125314.00898,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753198636.237719,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753200915.6611829,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753214147.9398332,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753215562.567308,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753259948.649348,,Europe/Vienna,openedApp,,instagram,False
1753260848.649348,,Europe/Vienna,closedApp,,instagram,False
1753260848.649348,,Europe/Vienna,dismissedAppOpening,,instagram,False
1753272918.091825,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753296974.595221,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753297207.97197,,Europe/Vienna,openedApp,,instagram,False
1753298107.971971,,Europe/Vienna,closedApp,,instagram,False
1753298107.971971,,Europe/Vienna,dismissedAppOpening,,instagram,False
1753298120.883884,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753299322.367872,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753355988.352087,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753384749.203113,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753387002.304955,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753388117.379389,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753389316.809437,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753391947.0642018,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753392857.7856622,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753393519.211971,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753435419.3787189,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753435840.1137,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753443578.879451,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753444799.095187,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753447311.436477,,Europe/Vienna,openedApp,,instagram,False
1753448211.436477,,Europe/Vienna,closedApp,,instagram,False
1753448211.436477,,Europe/Vienna,dismissedAppOpening,,instagram,False
1753461692.83214,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753468046.35856,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753468972.7619991,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753469977.336169,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753470982.116909,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753476417.023423,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753479073.601913,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753479985.777494,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753522424.1828442,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753523553.046801,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753532181.412969,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753533096.884192,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753532799.6356978,,Europe/Vienna,openedApp,,instagram,False
1753533699.6356978,,Europe/Vienna,closedApp,,instagram,False
1753533699.6356978,,Europe/Vienna,dismissedAppOpening,,instagram,False
1753557875.876056,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753558793.053697,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753559703.1185,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753563563.655892,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753600719.4545832,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753601269.581832,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753600793.492043,,Europe/Vienna,openedApp,,instagram,False
1753601693.492043,,Europe/Vienna,closedApp,,instagram,False
1753601693.492044,,Europe/Vienna,dismissedAppOpening,,instagram,False
1753616462.238143,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753617376.112715,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753624448.92189,breathingExercise,Europe/Vienna,openedApp,1.5,instagram,False
1753625722.309771,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753626922.7943,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753628126.767267,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753647323.399329,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753648546.458575,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753649766.637062,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753651443.331636,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753651453.385237,,Europe/Vienna,openedApp,,instagram,False
1753652353.385237,,Europe/Vienna,closedApp,,instagram,False
1753652353.385237,,Europe/Vienna,dismissedAppOpening,,instagram,False
1753689193.255574,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753694985.910464,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753700062.090651,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753701501.523108,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753706243.074852,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753707464.070642,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753707605.067298,,Europe/Vienna,openedApp,,instagram,False
1753708505.067298,,Europe/Vienna,closedApp,,instagram,False
1753708505.067298,,Europe/Vienna,dismissedAppOpening,,instagram,False
1753726904.497911,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753729206.653213,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753773319.9184132,,Europe/Vienna,openedApp,,instagram,False
1753774219.9184132,,Europe/Vienna,closedApp,,instagram,False
1753774219.9184132,,Europe/Vienna,dismissedAppOpening,,instagram,False
1753816525.313884,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753819630.7896829,,Europe/Vienna,openedApp,,instagram,False
1753820530.7896829,,Europe/Vienna,closedApp,,instagram,False
1753820530.7896829,,Europe/Vienna,dismissedAppOpening,,instagram,False
1753862327.323813,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753876549.245781,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753877721.979869,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753902065.760745,,Europe/Vienna,openedApp,,instagram,False
1753902965.760746,,Europe/Vienna,closedApp,,instagram,False
1753902965.760746,,Europe/Vienna,dismissedAppOpening,,instagram,False
1753902989.458489,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753904813.009739,breathingExercise,Europe/Vienna,dismissedAppOpening,6.0,instagram,False
1753904830.58644,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753950096.202209,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753951192.195358,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753962918.6992521,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1753993197.412652,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1754048076.305953,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1754069276.233097,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
1754072404.7556648,breathingExercise,Europe/Vienna,openedApp,6.0,instagram,False
