timezone,app,interventionType,resolution,interventionDuration,timestamp,isReIntervention
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749578986.286868,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749580179.496266,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749581112.111292,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749582287.2104568,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749591944.8254309,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749621116.042342,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749622790.753446,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749622912.999772,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749623227.997802,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749636049.260036,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749643342.993106,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749653830.8318,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749654128.072983,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749661641.173983,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749661649.003964,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749673923.286735,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749679269.629427,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749679572.7472591,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749680033.507951,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749709752.1626182,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749711049.131705,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749711111.52452,False
Europe/Madrid,instagram,breathingExercise,dismissedAppOpening,1.5,1749718081.5741339,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749726675.1343,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749740218.753027,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749740819.101574,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749760166.995943,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749797630.660038,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749803379.225463,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749806267.413593,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749820353.562288,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749820568.558933,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749821581.7412739,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749821674.66896,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749829816.672693,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749837592.480702,False
Europe/Madrid,instagram,breathingExercise,dismissedAppOpening,1.5,1749837636.895272,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749848429.905761,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749849032.0063639,False
Europe/Madrid,instagram,breathingExercise,dismissedAppOpening,1.5,1749884150.05588,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749884159.0236359,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749884923.184077,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749886262.8832421,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749902624.498565,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749902688.502888,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749912844.879002,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749915248.747086,False
Europe/Madrid,instagram,breathingExercise,dismissedAppOpening,1.5,1749921579.218453,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749921590.467355,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749938391.15394,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749939102.702312,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749939219.9750009,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749939531.396245,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749969851.1393418,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749970384.4729838,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749971035.297299,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749973203.459136,False
Europe/Madrid,instagram,breathingExercise,dismissedAppOpening,1.5,1749973676.313134,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749973682.85785,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749976424.692543,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749981073.036106,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749983899.818348,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749988281.3796911,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749988992.432944,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749989642.567082,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749990442.225991,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1749999129.922014,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1750001099.7117481,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1750001853.700189,False
Europe/Madrid,instagram,breathingExercise,openedApp,1.5,1750006225.428071,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750019080.1769161,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750020347.788292,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750051546.564997,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750075438.841943,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750075846.341728,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750075873.527876,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750075879.435853,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750094948.4823508,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750095215.735539,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750095693.799007,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750098345.090903,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750098975.534013,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750102734.6373281,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750110257.422306,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750112083.370961,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750112284.1610231,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750112525.336453,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750139541.263344,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750141225.238446,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750141487.7328181,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750141496.684494,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750142710.183073,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750142964.257056,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750143345.032593,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750143437.141255,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750147552.05259,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750148230.83771,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750157965.770714,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750158098.9490771,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750166121.111874,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750174723.332481,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750174848.85498,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750176008.8802629,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750181367.9880362,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750181632.326813,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750182325.0292602,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750185786.774456,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750186449.070706,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750224256.434136,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750224877.8258061,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750228370.604196,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750234756.123557,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750235585.264841,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750240456.996057,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750245836.5205278,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750247446.120977,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750250711.5597339,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750261799.1449142,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750263361.8353992,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750263673.8176079,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750267816.923321,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750268604.6424909,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750270065.1959991,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750271282.0344439,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750272743.144177,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750311734.3716478,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750314691.09113,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750316626.6818628,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750358116.785619,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750362480.4275079,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750395335.278596,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750396867.755296,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750441677.665773,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750441686.8441792,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750445831.702938,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750447839.2491841,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750449464.55191,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750449800.318582,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750485470.641037,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750485479.138671,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750490302.636292,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750490563.862629,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750501612.052679,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750504545.4866529,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750505021.701088,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750505892.0769138,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750509252.450139,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750509722.7628121,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750522209.709302,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750523211.833729,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750523278.356433,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750523381.3666,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750526065.652625,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750528762.5002809,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750530176.9243932,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1750530983.965349,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750532618.667352,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750533903.463928,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750535272.59227,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750537846.940443,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750542036.985722,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750544043.71473,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750574028.555122,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750578302.8634949,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750580331.139725,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750583103.4888139,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750588388.431285,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750589559.0798578,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750593839.823206,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750594523.762316,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750595766.351131,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750595934.691154,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750598152.309564,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750598377.724468,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750618228.368015,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750618423.988142,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750624962.585829,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1750657995.159062,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750661071.226186,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750696503.287358,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750702345.6987739,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750702475.373612,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1750702604.8665051,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750705488.308831,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750707648.169982,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1750707899.811027,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750707915.94995,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750714304.421246,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750744958.961639,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750745299.4413052,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750749018.765469,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1750749368.47022,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750749395.885251,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750752952.172843,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750764544.132036,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750775509.6177158,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750781986.521354,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750782561.330075,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750787943.06739,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750794037.1282969,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1750797227.176622,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1750797229.5432239,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750798062.637877,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750829141.468165,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750840447.994886,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750844312.574307,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750845052.9084702,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750864329.333055,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750865558.8377361,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750865792.2732859,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750868523.836718,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750872002.966096,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750873806.420119,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1750874698.127188,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750916502.4475942,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750922010.669575,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750923983.401526,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750936415.8168259,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750938728.566216,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750941254.098474,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750957446.199668,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750958288.47788,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750961747.283963,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750963210.119581,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1750969782.425328,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751002584.87199,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751010994.947009,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751012107.2096,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751020992.9107451,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751021040.627007,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751032989.6007938,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751033294.055361,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751042775.52618,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751045574.549607,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751064178.314632,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751093886.967019,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751095989.110388,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751105762.416354,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751106628.550857,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751109704.509541,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751110171.57578,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751110730.512109,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751111991.528306,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751113732.101814,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751114422.86451,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751117618.331264,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751130311.879288,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751131954.762467,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751145551.271511,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751185356.30512,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751186122.27368,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751202188.472872,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751209495.250918,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751215783.15107,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751223101.386441,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751223727.130573,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751224297.638711,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751226537.880228,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751228855.994317,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751262345.048903,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751266144.340435,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751269363.2276669,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751271605.881388,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751282027.9788718,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751294640.7382,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751297230.791373,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751311221.5008922,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751312836.414284,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751347248.3600059,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751348535.107603,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751355438.814883,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751360373.945846,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751364070.292531,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751373586.945993,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751392899.735939,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751396206.627363,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751396756.88206,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751397101.001548,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751398122.202069,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751399334.5803308,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751403719.451031,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751404412.142747,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751404951.305171,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751433330.328391,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751451458.004239,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751456510.462579,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751456966.08302,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751471613.374158,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751471632.3954701,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751476749.513173,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751493230.150965,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751493268.7771301,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751528383.4634318,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751529900.6428099,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751532338.201129,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751532832.8506432,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,6.0,1751539974.331833,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751541741.684071,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751552697.902983,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,6.0,1751553067.903573,False
