interventionType,timezone,isReIntervention,timestamp,interventionDuration,app,resolution
breathingExercise,America/Denver,False,1753409880.425297,3.0,youtube,dismissedAppOpening
breathingExercise,America/Denver,False,1753410174.2851381,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753410502.434113,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753418894.102521,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753459904.5466871,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753503355.003022,3.0,youtube,openedApp
breathingExercise,America/Denver,False,1753504277.755876,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753669219.9977078,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753669325.120733,3.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1753683368.4890099,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753712616.508297,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753714005.3431978,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753718030.146789,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753730315.856462,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753744361.3719969,3.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1753744387.27093,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753745134.4125772,3.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1753745664.8541641,3.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1753745698.959928,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753747906.620912,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753752061.823937,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753752488.56608,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753754084.230943,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753754241.380271,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753754523.079019,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753756317.349997,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753761402.893554,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753897306.1097898,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753897579.0485501,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1753897757.534196,3.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1754006545.267067,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754006598.858922,3.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1754006829.640557,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754007203.8939729,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754007387.982363,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754007608.844656,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754011176.633312,3.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1754011187.8391352,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754011609.34897,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754011827.6840491,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754012100.792108,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754012144.943191,3.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1754012157.538089,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754013682.600543,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754013841.511864,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754014645.897678,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754015373.8843951,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754016840.7257981,3.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1754025620.228487,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754026696.870932,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754027484.2552772,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754028944.577227,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754087457.0403662,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754093102.4882789,3.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1754115322.159758,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754122573.930156,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754195069.911633,3.0,youtube,openedApp
breathingExercise,America/New_York,False,1754241894.859326,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754265305.729603,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754266306.286993,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754266434.8153539,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754266484.162239,6.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1754278433.340574,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754295639.124745,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754296942.1408072,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754300027.952883,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754303808.926827,6.0,youtube,dismissedAppOpening
breathingExercise,America/New_York,False,1754363341.172734,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754365877.190781,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754367883.814209,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754386103.1124868,6.0,youtube,openedApp
breathingExercise,America/New_York,False,1754453628.0006661,6.0,youtube,openedApp
