timezone,interventionDuration,resolution,isReIntervention,app,timestamp,interventionType,purpose
Europe/Berlin,3.0,openedApp,False,instagram,1752531678.974478,breathingExercise,Nachricht / Schreiben
Europe/Berlin,3.0,openedApp,False,instagram,1752533687.842804,breathingExercise,Auf dem Laufenden bleiben
Europe/Berlin,,closedApp,False,instagram,1752533729.979813,,
Europe/Berlin,3.0,openedApp,False,snapchat,1752533738.258235,breathingExercise,Nachricht / Schreiben
Europe/Berlin,3.0,openedApp,False,instagram,1752534322.010134,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1752534460.36476,,
Europe/Berlin,3.0,openedApp,False,instagram,1752555048.125144,breathingExercise,Auf dem Laufenden bleiben
Europe/Berlin,,closedApp,False,instagram,1752555066.312439,,
Europe/Berlin,3.0,dismissedAppOpening,False,snapchat,1752555309.4491029,breathingExercise,
Europe/Berlin,3.0,openedApp,False,instagram,1752559098.971653,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1752559232.3420649,,
Europe/Berlin,3.0,openedApp,False,snapchat,1752564254.200741,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1752564274.4728131,,
Europe/Berlin,3.0,openedApp,False,instagram,1752564281.817079,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1752564777.4445481,,
Europe/Berlin,3.0,openedApp,False,instagram,1752567866.6510038,breathingExercise,Auf dem Laufenden bleiben
Europe/Berlin,,closedApp,False,instagram,1752568048.143805,,
Europe/Berlin,,closedApp,False,instagram,1752568153.4229798,,
Europe/Berlin,3.0,openedApp,False,instagram,1752569622.9962249,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1752569683.8355,,
Europe/Berlin,3.0,openedApp,False,instagram,1752570560.306332,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1752570594.65728,,
Europe/Berlin,3.0,openedApp,False,snapchat,1752571491.190623,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,snapchat,1752571521.838615,,
Europe/Berlin,3.0,dismissedAppOpening,False,instagram,1752572586.330861,breathingExercise,
Europe/Berlin,3.0,openedApp,False,instagram,1752572596.618404,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1752573227.913189,,
Europe/Berlin,3.0,openedApp,False,instagram,1752573970.498845,breathingExercise,Auf dem Laufenden bleiben
Europe/Berlin,3.0,openedApp,False,snapchat,1752576284.0497189,breathingExercise,Nachricht / Schreiben
Europe/Berlin,3.0,openedApp,False,instagram,1752576306.761246,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1752576321.428051,,
Europe/Berlin,,closedApp,False,instagram,1752576370.8605561,,
Europe/Berlin,3.0,dismissedAppOpening,False,snapchat,1752581021.844256,breathingExercise,
Europe/Berlin,3.0,openedApp,False,instagram,1752581033.0591521,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1752581121.526122,,
Europe/Berlin,3.0,openedApp,False,instagram,1752581452.0946221,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1752581536.757997,,
Europe/Berlin,3.0,openedApp,False,instagram,1752583075.417722,breathingExercise,Nachricht / Schreiben
Europe/Berlin,,closedApp,False,instagram,1752583269.942023,,
Europe/Berlin,,closedApp,False,instagram,1752583392.963053,,
Europe/Berlin,3.0,dismissedAppOpening,False,snapchat,1752583396.818279,breathingExercise,
