resolution,interventionType,isReIntervention,timestamp,interventionDuration,app,timezone,purpose
dismissedAppOpening,breathingExercise,False,1749107940.330175,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749120896.986835,1.5,firefox,Europe/Zurich,Message
openedApp,breathingExercise,False,1749120930.726568,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749121087.916096,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749125507.559855,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749134547.239468,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749134636.936341,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749134767.7141318,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749134851.0495791,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749136736.384768,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749136852.0444698,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749138081.717041,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749138094.2747102,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749138361.371151,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749138552.436308,1.5,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749147544.596853,1.5,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749148887.222759,1.5,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749149012.795002,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749149258.389758,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749220272.767381,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749224863.975255,1.5,instagram,Europe/Zurich,Bored
dismissedAppOpening,breathingExercise,False,1749233139.694621,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749236739.399359,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749238467.276444,1.5,instagram,Europe/Zurich,Escape / Avoid
openedApp,breathingExercise,False,1749245070.174889,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749245116.812193,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749246871.614676,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749282275.184939,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749282350.029428,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749283011.4311519,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749286617.695554,1.5,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749286625.304333,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749286654.634573,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749286755.321495,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749287450.471587,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749306894.003094,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749316975.6426601,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749317477.043686,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749324047.2862868,1.5,instagram,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749328984.142243,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749329267.425679,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749330259.9142761,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749331153.987833,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749362152.8630219,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749365439.4380999,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749373137.202802,1.5,instagram,Europe/Zurich,Message
openedApp,breathingExercise,False,1749388210.812543,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749393460.20805,1.5,instagram,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749394775.74467,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749396314.248703,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749396418.230977,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749397156.09754,1.5,instagram,Europe/Zurich,Bored
dismissedAppOpening,breathingExercise,False,1749398739.128166,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749398886.24876,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749399050.7803311,1.5,instagram,Europe/Zurich,Bored
dismissedAppOpening,breathingExercise,False,1749399510.4752212,1.5,instagram,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749399935.170676,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749408883.372087,1.5,firefox,Europe/Zurich,Entertainment
openedApp,breathingExercise,False,1749412633.2036738,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749412729.35986,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749412818.226098,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749412897.197053,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749414067.050345,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749415671.059207,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749416643.05753,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749416830.209886,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749417528.580202,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749417811.4199982,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749418441.9236999,1.5,instagram,Europe/Zurich,Entertainment
openedApp,breathingExercise,False,1749448179.674039,1.5,instagram,Europe/Zurich,Bored
dismissedAppOpening,breathingExercise,False,1749448715.363068,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749452123.9516459,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749453168.521168,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749453493.602283,1.5,instagram,Europe/Zurich,Message
openedApp,breathingExercise,False,1749457294.63405,1.5,instagram,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749483774.8457708,1.5,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749486162.947931,1.5,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749486335.736593,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749486738.3969278,1.5,instagram,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749486959.293446,1.5,instagram,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749487852.187601,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749501626.488807,1.5,instagram,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749502560.030231,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749504937.119528,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749507401.9888701,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749509678.823884,1.5,instagram,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749539066.987102,1.5,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749542256.635301,1.5,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749543168.418459,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749543178.948793,1.5,instagram,Europe/Zurich,Bored
dismissedAppOpening,breathingExercise,False,1749556700.986021,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749557855.903325,1.5,instagram,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749558026.8532162,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749558061.783934,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749558511.634263,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749558818.096871,1.5,firefox,Europe/Zurich,Message
openedApp,breathingExercise,False,1749558859.076529,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749564259.25883,1.5,instagram,Europe/Zurich,Message
openedApp,breathingExercise,False,1749565792.673324,1.5,instagram,Europe/Zurich,Message
dismissedAppOpening,breathingExercise,False,1749567401.891762,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749567414.1255221,1.5,instagram,Europe/Zurich,Message
dismissedAppOpening,breathingExercise,False,1749567984.343888,1.5,instagram,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749568935.728354,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749575147.60764,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749577388.822016,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749577703.259958,1.5,instagram,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749578145.319913,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749579004.1154451,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749589062.567048,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749627757.6583319,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749627927.846375,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749629062.97196,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749629933.1650062,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749630846.986404,1.5,instagram,Europe/Zurich,Escape / Avoid
dismissedAppOpening,breathingExercise,False,1749633566.900316,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749643046.046066,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749649908.511806,1.5,firefox,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749653078.075717,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749656259.997896,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749656357.536042,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749657266.2009048,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749657493.086159,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749657591.551691,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749660571.574472,1.5,instagram,Europe/Zurich,Message
openedApp,breathingExercise,False,1749660710.075321,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749661275.548396,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749662251.8285651,1.5,instagram,Europe/Zurich, Work
openedApp,breathingExercise,False,1749662297.949292,1.5,instagram,Europe/Zurich, Work
dismissedAppOpening,breathingExercise,False,1749670251.988162,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749670268.828646,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749670421.8888521,1.5,instagram,Europe/Zurich, Work
openedApp,breathingExercise,False,1749671294.106827,1.5,instagram,Europe/Zurich,Message
openedApp,breathingExercise,False,1749671807.818896,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749672189.2634559,1.5,instagram,Europe/Zurich,Message
openedApp,breathingExercise,False,1749673662.436102,1.5,instagram,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749708380.5958781,1.5,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749721714.068991,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749721788.716444,1.5,instagram,Europe/Zurich,Toilet
dismissedAppOpening,breathingExercise,False,1749739351.1380792,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749743732.741901,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749794576.366612,1.5,instagram,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749796206.807231,1.5,instagram,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1749798689.355469,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749798754.292208,1.5,instagram,Europe/Zurich, Work
openedApp,breathingExercise,False,1749803146.0712929,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749803510.156431,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749805027.3696752,1.5,firefox,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749805969.774842,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749807281.192725,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749807354.3556972,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749819079.310344,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749821357.392719,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749823662.063398,1.5,instagram,Europe/Zurich,Escape / Avoid
dismissedAppOpening,breathingExercise,False,1749825895.638628,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749825905.858926,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749826026.900291,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749826121.462964,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749828457.4938688,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749828669.263787,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749828957.8050718,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749830872.099245,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749831221.619958,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749831231.34379,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749846828.617502,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749847538.79475,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749851438.128679,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749853886.72433,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749882978.4765182,1.5,instagram,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749889091.9795141,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749908212.232517,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749912197.407011,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749923884.287578,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749924626.5444021,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749924726.454018,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749924766.4547548,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749925504.4167929,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749937219.898757,1.5,instagram,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1749945074.439762,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749945703.2258859,1.5,instagram,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749946768.798662,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749947645.2814689,1.5,instagram,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749961124.381959,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749961130.9689112,1.5,instagram,Europe/Zurich,Bored
dismissedAppOpening,breathingExercise,False,1749961557.95315,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749961933.218944,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749962692.750341,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749964393.603729,1.5,instagram,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749964422.087184,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1749964430.800723,1.5,instagram,Europe/Zurich,Bored
openedApp,breathingExercise,False,1749984509.4185371,1.5,instagram,Europe/Zurich,Stay In the Loop
dismissedAppOpening,breathingExercise,False,1749985511.073228,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1749986072.749433,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749987312.909793,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1749987562.159637,1.5,instagram,Europe/Zurich,Message
openedApp,breathingExercise,False,1749987653.641484,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1749987684.645736,1.5,instagram,Europe/Zurich,Message
openedApp,breathingExercise,False,1749987770.4014769,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1750003937.099069,1.5,instagram,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1750004684.005475,1.5,instagram,Europe/Zurich,Message
openedApp,breathingExercise,False,1750005460.849258,1.5,instagram,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1750005529.9948258,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1750005620.227569,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1750005703.267472,1.5,firefox,Europe/Zurich,Search Info
openedApp,breathingExercise,False,1750006005.8324208,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1750006239.93224,1.5,firefox,Europe/Zurich,Relax
openedApp,breathingExercise,False,1750006699.67361,1.5,firefox,Europe/Zurich,Relax
openedApp,breathingExercise,False,1750006821.612574,1.5,instagram,Europe/Zurich,Relax
dismissedAppOpening,breathingExercise,False,1750017169.744732,1.5,instagram,Europe/Zurich,
openedApp,breathingExercise,False,1750017241.378047,1.5,instagram,Europe/Zurich,Stay In the Loop
openedApp,breathingExercise,False,1750026758.112855,1.5,instagram,Europe/Zurich,Bored
dismissedAppOpening,breathingExercise,False,1750070816.882351,1.5,firefox,Europe/Zurich,
openedApp,breathingExercise,False,1750070909.363085,1.5,firefox,Europe/Zurich,Search Info
dismissedAppOpening,breathingExercise,False,1750078514.217167,1.5,firefox,Europe/Vienna,
openedApp,breathingExercise,False,1750083687.0519938,1.5,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750083708.184722,1.5,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750084829.149191,1.5,firefox,Europe/Vienna,Stay In the Loop
openedApp,breathingExercise,False,1750087638.8639898,1.5,firefox,Europe/Berlin,Search Info
openedApp,breathingExercise,False,1750091049.075274,1.5,firefox,Europe/Vienna,Stay In the Loop
openedApp,breathingExercise,False,1750091118.764731,1.5,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750097478.2238212,1.5,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750107905.908912,1.5,firefox,Europe/Vienna,Search Info
dismissedAppOpening,breathingExercise,False,1750108251.022613,1.5,firefox,Europe/Vienna,
openedApp,breathingExercise,False,1750108259.1313372,1.5,firefox,Europe/Vienna,Stay In the Loop
openedApp,breathingExercise,False,1750160370.0365438,1.5,firefox,Europe/Vienna,Search Info
dismissedAppOpening,breathingExercise,False,1750160896.217638,1.5,firefox,Europe/Vienna,
openedApp,breathingExercise,False,1750160963.217493,1.5,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750161038.477954,1.5,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750161209.5341039,1.5,firefox,Europe/Vienna,Search Info
dismissedAppOpening,breathingExercise,False,1750161381.063406,1.5,firefox,Europe/Vienna,
openedApp,breathingExercise,False,1750161399.2664418,1.5,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750161429.215965,1.5,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750162558.2493749,1.5,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750180293.302393,3.0,firefox,Europe/Zagreb,Search Info
openedApp,breathingExercise,False,1750180311.574543,3.0,firefox,Europe/Zagreb,Search Info
openedApp,breathingExercise,False,1750270844.1328301,3.0,firefox,Europe/Zagreb,Search Info
dismissedAppOpening,breathingExercise,False,1750270899.540576,3.0,firefox,Europe/Zagreb,
openedApp,breathingExercise,False,1750270911.3880692,3.0,firefox,Europe/Zagreb,Search Info
dismissedAppOpening,breathingExercise,False,1750270991.380615,3.0,firefox,Europe/Zagreb,
dismissedAppOpening,breathingExercise,False,1750271030.907377,3.0,firefox,Europe/Zagreb,
dismissedAppOpening,breathingExercise,False,1750271083.677555,3.0,firefox,Europe/Zagreb,
openedApp,breathingExercise,False,1750284115.6305351,3.0,firefox,Europe/Zagreb,Search Info
openedApp,breathingExercise,False,1750284198.57791,3.0,firefox,Europe/Zagreb,Search Info
openedApp,breathingExercise,False,1750344791.652614,3.0,firefox,Europe/Zagreb,Search Info
dismissedAppOpening,breathingExercise,False,1750344867.395685,3.0,firefox,Europe/Zagreb,
dismissedAppOpening,breathingExercise,False,1750344869.414705,3.0,firefox,Europe/Zagreb,
openedApp,breathingExercise,False,1750344885.805145,3.0,firefox,Europe/Zagreb,Search Info
openedApp,breathingExercise,False,1750442406.315075,3.0,firefox,Europe/Ljubljana,Search Info
dismissedAppOpening,breathingExercise,False,1750442760.692851,3.0,firefox,Europe/Ljubljana,
openedApp,breathingExercise,False,1750442780.155092,3.0,firefox,Europe/Ljubljana,Search Info
openedApp,breathingExercise,False,1750442891.745631,3.0,firefox,Europe/Ljubljana,Search Info
dismissedAppOpening,breathingExercise,False,1750443074.814125,3.0,firefox,Europe/Ljubljana,
dismissedAppOpening,breathingExercise,False,1750444057.448293,3.0,firefox,Europe/Ljubljana,
openedApp,breathingExercise,False,1750444066.4615998,3.0,firefox,Europe/Ljubljana,Search Info
openedApp,breathingExercise,False,1750446549.00336,3.0,firefox,Europe/Ljubljana,Search Info
openedApp,breathingExercise,False,1750452848.545028,3.0,firefox,Europe/Ljubljana,Search Info
openedApp,breathingExercise,False,1750493826.04206,3.0,firefox,Europe/Ljubljana,Search Info
openedApp,breathingExercise,False,1750494522.621707,3.0,firefox,Europe/Ljubljana,Search Info
openedApp,breathingExercise,False,1750529596.076071,3.0,firefox,Europe/Vienna,Relax
openedApp,breathingExercise,False,1750530234.828486,3.0,firefox,Europe/Vienna,Relax
openedApp,breathingExercise,False,1750543740.033101,3.0,firefox,Europe/Vienna,Search Info
dismissedAppOpening,breathingExercise,False,1750585292.467107,3.0,firefox,Europe/Vienna,
openedApp,breathingExercise,False,1750585656.732827,3.0,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750592845.4951658,3.0,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750592893.9150271,3.0,firefox,Europe/Vienna,Search Info
dismissedAppOpening,breathingExercise,False,1750593524.5556269,3.0,firefox,Europe/Vienna,
openedApp,breathingExercise,False,1750594492.950016,3.0,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750594572.747134,3.0,firefox,Europe/Vienna,Search Info
dismissedAppOpening,breathingExercise,False,1750594675.375356,3.0,firefox,Europe/Vienna,
openedApp,breathingExercise,False,1750596679.606173,3.0,firefox,Europe/Vienna,Search Info
dismissedAppOpening,breathingExercise,False,1750596713.955462,3.0,firefox,Europe/Vienna,
dismissedAppOpening,breathingExercise,False,1750604087.690902,3.0,firefox,Europe/Vienna,
openedApp,breathingExercise,False,1750606977.60527,3.0,firefox,Europe/Vienna,Search Info
dismissedAppOpening,breathingExercise,False,1750607990.584406,3.0,firefox,Europe/Vienna,
dismissedAppOpening,breathingExercise,False,1750608009.342455,3.0,firefox,Europe/Vienna,
openedApp,breathingExercise,False,1750610680.5017629,3.0,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750614771.0106149,3.0,firefox,Europe/Vienna,Search Info
openedApp,breathingExercise,False,1750614951.291538,3.0,firefox,Europe/Vienna,Search Info
dismissedAppOpening,breathingExercise,False,1750620227.4606838,3.0,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1750621628.328973,3.0,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1750621639.665931,3.0,firefox,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1750621646.846756,3.0,instagram,Europe/Zurich,
dismissedAppOpening,breathingExercise,False,1750621691.611481,3.0,instagram,Europe/Zurich,
