interventionType,resolution,timezone,isReIntervention,interventionDuration,timestamp,app,timeIntervalUntilReIntervention
breathingExercise,dismissedAppOpening,Australia/Perth,True,1.5,1751634129.41799,instagram,
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751669333.520728,instagram,480.0
askForTimeLimit,dismissedAppOpening,Australia/Perth,False,1.5,1751675750.403291,instagram,
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751675759.149802,instagram,1560.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751677504.213803,instagram,1920.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751678886.672544,instagram,2160.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751679123.706964,instagram,1500.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751679738.8191981,instagram,2040.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751680409.040633,instagram,1560.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751681851.012202,instagram,1860.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751683446.77417,instagram,1800.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751687711.48048,instagram,780.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751690197.659555,instagram,1140.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751691721.760319,instagram,1800.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751692730.231199,instagram,1620.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751693654.865804,instagram,2220.0
askForTimeLimit,dismissedAppOpening,Australia/Perth,False,1.5,1751697375.195524,instagram,
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751697379.327678,instagram,2460.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751697694.07513,instagram,1680.0
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751700151.785352,instagram,1380.0
askForTimeLimit,dismissedAppOpening,Australia/Perth,False,1.5,1751700595.1053882,instagram,
askForTimeLimit,openedApp,Australia/Perth,False,1.5,1751706378.03342,instagram,1380.0
askForTimeLimit,dismissedAppOpening,Australia/Adelaide,False,1.5,1751711846.1473231,instagram,
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751749629.532412,instagram,1680.0
breathingExercise,openedApp,Australia/Adelaide,True,1.5,1751751325.7224069,instagram,1440.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751754826.539235,instagram,1320.0
askForTimeLimit,dismissedAppOpening,Australia/Adelaide,False,1.5,1751754909.1532779,instagram,
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751758487.81348,instagram,1860.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751762506.204144,instagram,1740.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751763533.672483,instagram,1740.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751769826.180746,instagram,1920.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751771133.314271,instagram,1500.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751785392.7302198,instagram,2160.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751785776.781127,instagram,2040.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751787954.958147,instagram,1500.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751788133.365778,instagram,1560.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751788335.620892,instagram,1560.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751789481.521652,instagram,2220.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751789542.4686608,instagram,1920.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751789693.908802,instagram,1680.0
breathingExercise,openedApp,Australia/Adelaide,True,1.5,1751791392.927522,instagram,2460.0
breathingExercise,openedApp,Australia/Adelaide,True,1.5,1751793865.421495,instagram,1380.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751797875.7592192,instagram,2700.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751797918.2741718,instagram,1860.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751798255.6274052,instagram,60.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751798505.482751,instagram,2400.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751798614.0187469,instagram,1440.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751798656.3156939,instagram,2340.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751798729.761836,instagram,1500.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751798876.2888699,instagram,2340.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751799022.0640469,instagram,2400.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751799105.142194,instagram,2220.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751799175.3054051,instagram,2160.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751799315.280787,instagram,2580.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751799483.2235842,instagram,2220.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751799639.897964,instagram,2460.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751799754.4585881,instagram,2700.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751800238.122902,instagram,2340.0
breathingExercise,openedApp,Australia/Adelaide,True,1.5,1751802594.025687,instagram,2160.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751840110.2913,instagram,2160.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751848077.081279,instagram,2040.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751851085.0119019,instagram,1860.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751854229.154053,instagram,1860.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751854278.198338,instagram,2220.0
askForTimeLimit,dismissedAppOpening,Australia/Adelaide,False,1.5,1751854903.5529099,instagram,
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751854909.181102,instagram,2160.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751854957.6295938,instagram,2400.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751855015.444625,instagram,2400.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751855480.7222419,instagram,2220.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751855591.117995,instagram,2340.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751855794.33842,instagram,2280.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751855901.7123961,instagram,2220.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751856208.7682528,instagram,2460.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751857415.717277,instagram,2340.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751857495.260654,instagram,2220.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751857558.246273,instagram,2280.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751858797.295295,instagram,780.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751859090.785069,instagram,2340.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751859225.313294,instagram,1980.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751863537.540334,instagram,1920.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751864084.621426,instagram,1860.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751864838.662503,instagram,1200.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751867301.649426,instagram,960.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751867817.854114,instagram,1980.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751870750.996395,instagram,2280.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751871118.927675,instagram,1680.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751871665.697165,instagram,1680.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751872325.0310369,instagram,2100.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751873268.170769,instagram,1800.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751873418.988853,instagram,2220.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751873921.86708,instagram,960.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751875675.286027,instagram,1560.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751875859.498115,instagram,2280.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751875984.107542,instagram,1680.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751876101.5277371,instagram,1680.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751876222.786312,instagram,1020.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751876324.294643,instagram,1800.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751877704.3261662,instagram,1560.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751877934.376893,instagram,1500.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751879125.1623158,instagram,2400.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751881861.437645,instagram,240.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751882123.4607182,instagram,300.0
askForTimeLimit,dismissedAppOpening,Australia/Adelaide,False,1.5,1751882382.024291,instagram,
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751882430.1928291,instagram,1800.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751882788.806478,instagram,1860.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751884324.392393,instagram,1560.0
breathingExercise,openedApp,Australia/Adelaide,True,1.5,1751885899.723405,instagram,720.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751920291.9179401,instagram,1320.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751922938.0400681,instagram,1920.0
askForTimeLimit,dismissedAppOpening,Australia/Adelaide,False,1.5,1751925292.566568,instagram,
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751925296.9817,instagram,1620.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751925678.173347,instagram,2160.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751925745.154676,instagram,1500.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751926150.441158,instagram,1860.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751927105.272287,instagram,1800.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751927432.29192,instagram,1680.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751927743.01438,instagram,1680.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751929553.2004418,instagram,1800.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751929584.306252,instagram,1740.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751930339.840407,instagram,1860.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751931068.620523,instagram,1560.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751934447.6155791,instagram,1800.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751937768.86663,instagram,1860.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751943471.466992,instagram,540.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751943875.343532,instagram,1620.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751957073.6397119,instagram,1200.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751960680.790954,instagram,1140.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751961698.084415,instagram,1320.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751961805.3272219,instagram,1320.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751964052.088829,instagram,1380.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751964246.97899,instagram,1320.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751964747.6909142,instagram,840.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751967406.73383,instagram,1620.0
breathingExercise,dismissedAppOpening,Australia/Adelaide,False,1.5,1751969147.285001,instagram,
breathingExercise,dismissedAppOpening,Australia/Adelaide,False,1.5,1751969152.995142,instagram,
breathingExercise,dismissedAppOpening,Australia/Adelaide,False,1.5,1751969165.2171469,instagram,
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751969810.997282,instagram,1440.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751969903.875247,instagram,1140.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751969999.75313,instagram,1620.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751970061.567981,instagram,600.0
breathingExercise,openedApp,Australia/Adelaide,True,1.5,1751970739.172471,instagram,1620.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1751970768.068509,instagram,1620.0
breathingExercise,openedApp,Australia/Adelaide,False,1.5,1751973252.6390119,instagram,180.0
breathingExercise,openedApp,Australia/Adelaide,True,1.5,1751973451.125989,instagram,60.0
breathingExercise,openedApp,Australia/Adelaide,True,1.5,1751973523.337575,instagram,1380.0
breathingExercise,openedApp,Australia/Adelaide,True,1.5,1751974917.912261,instagram,120.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752008237.725884,instagram,1620.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752008412.901928,instagram,1500.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752018231.161927,instagram,2040.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752018992.719073,instagram,1680.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752019217.3354712,instagram,1920.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752022964.264659,instagram,1560.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752027876.679357,instagram,1440.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752033922.3542461,instagram,1260.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752034646.6391811,instagram,1500.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752035453.0325332,instagram,1500.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752037012.054954,instagram,900.0
breathingExercise,openedApp,Australia/Adelaide,True,1.5,1752037926.104405,instagram,540.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752049642.2586641,instagram,1500.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752050074.303889,instagram,1500.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752094148.402553,instagram,1560.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752094870.0013561,instagram,1320.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752097094.3274078,instagram,2160.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752103685.1034899,instagram,1920.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752109900.669753,instagram,1140.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752117686.879712,instagram,1380.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752121470.11305,instagram,1560.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752122543.715797,instagram,1620.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752129621.69558,instagram,1440.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752129879.3367748,instagram,1320.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752130518.220016,instagram,1260.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752131446.32522,instagram,1140.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752132273.561851,instagram,1320.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752132525.5384421,instagram,1020.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752133271.2397609,instagram,1320.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752133888.766261,instagram,2460.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752135002.60398,instagram,1560.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752136134.2688708,instagram,1680.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752136521.2978601,instagram,1200.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752139340.91779,instagram,960.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752151817.772326,instagram,1020.0
askForTimeLimit,openedApp,Australia/Adelaide,False,1.5,1752159169.134169,instagram,1320.0
askForTimeLimit,openedApp,Australia/Eucla,False,1.5,1752162073.733426,instagram,360.0
askForTimeLimit,dismissedAppOpening,Australia/Eucla,False,1.5,1752162974.198631,instagram,
askForTimeLimit,dismissedAppOpening,Australia/Eucla,False,1.5,1752163002.5335178,instagram,
