resolution,timezone,timestamp,isReIntervention,interventionType,app,interventionDuration
openedApp,Europe/Berlin,1748861756.48683,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748863713.8909469,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748863724.192532,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748864670.75859,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748864808.8728971,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748867031.8665118,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748867639.087233,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748867841.011389,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748868332.0026178,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748868370.166148,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748868684.737541,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748868824.098486,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748869987.308583,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748871137.477874,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748875961.4016628,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748876090.2879682,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748878427.2919679,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748879966.191688,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748880660.0093699,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748881493.183341,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748883257.477308,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748883394.4267058,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748884848.204328,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748885199.532673,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748885205.4216561,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748885799.2343512,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748885837.027678,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748887620.997155,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748887623.049508,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748887627.646045,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748887702.766838,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748887709.46088,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748888413.640576,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748889306.1413,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748889971.427833,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748890888.434523,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748893939.1015081,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748894808.75443,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748895523.140811,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748895653.743593,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748897174.7834458,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748897179.5877419,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748897835.29368,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748898805.462188,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748899688.664091,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748927725.216783,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748927888.2491379,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748930078.082203,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748930632.0897698,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748932183.505079,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748933388.495868,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748933506.348455,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748933531.317651,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748933592.413192,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748934239.0851789,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748934257.150515,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748934421.285598,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748944869.0457,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748945351.1130428,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748945365.144079,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748945784.4451141,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748946088.180932,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748946128.100263,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748946287.398562,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748946756.060174,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748948402.915647,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748948550.670425,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748950825.87673,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748950849.2900028,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748952568.2864451,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748952915.00276,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748953878.027462,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748955569.097282,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748957534.002236,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748966157.415722,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748968787.951091,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748973772.453254,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748974619.843271,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748975869.4191852,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1748976553.707893,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748976573.714724,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1748976667.9654841,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749010824.195698,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749011069.335617,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749012548.838848,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749012745.838554,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749022629.420144,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749022672.119081,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749024815.263115,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749024951.938336,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749024981.199709,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749025200.56867,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749026195.5524778,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749026376.245652,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749026980.365487,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749027080.22066,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749035160.3596091,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749035716.8407621,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749040826.3638659,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749041409.856519,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749042423.0781112,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749043486.526675,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749044566.240572,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749044723.8072171,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749047719.478627,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749048891.748958,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749049016.327661,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749050125.019511,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749050848.041528,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749051670.8905048,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749052275.976369,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749052616.8254418,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749052621.957821,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749052693.108747,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749055332.343221,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749056836.350779,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749057225.819027,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749057264.490621,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749058553.556216,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749059560.654372,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749059875.903949,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749059884.610546,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749060871.976718,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749063230.508677,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749066455.900018,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749069237.433936,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749071128.205039,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749096711.5836492,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749096762.5502582,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749098572.46192,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749100216.312304,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749115920.5852752,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749117774.745184,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749127999.6021938,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749130211.508935,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749130422.778044,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749131123.800178,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749133883.573152,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749133905.191784,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749133909.970972,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749134841.808044,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749135787.948617,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749138712.539238,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749140796.581063,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749141037.4300752,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749141547.700381,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749143518.317051,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749152696.653532,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749154930.788015,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749183661.148032,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749184731.5158749,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749185171.574435,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749185502.521321,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749185767.472445,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749207826.179816,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749207878.9799151,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749207948.245928,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749207995.0032449,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749208154.541578,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749208868.972019,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749210231.282597,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749211624.433425,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749211802.271431,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749212036.303694,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749212795.8838549,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749213587.369477,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749214355.423908,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749214570.872747,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749215331.4633179,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749216029.9697351,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749216167.903646,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749223125.4357162,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749223312.444987,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749223342.230686,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749223667.773302,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749224224.925885,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749224379.2998772,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749224545.88066,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749224619.036052,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749228732.890481,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749229171.9898682,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749239886.2794209,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749239915.385751,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749240283.1499681,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749241542.042203,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749241551.547997,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749243220.359791,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749243696.21098,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749244138.025228,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749278031.4261022,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749288077.942531,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749289912.392644,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749291541.972177,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749293826.3133922,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749293919.130666,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749312029.316416,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749312119.271031,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749312143.254679,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749312673.7712069,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749312722.713984,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749312750.895186,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749313010.480087,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749316541.291131,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749316545.435305,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749317164.7485828,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749317208.663701,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749317255.770232,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749317328.355464,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749317370.371804,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749318831.474769,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749318968.1831288,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749319493.820825,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749320084.90189,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749320714.408091,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749326479.958475,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749326568.2456222,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749326583.072614,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749326653.1304069,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749328052.03494,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749328058.332906,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749328282.9317431,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749330517.981771,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749335692.830656,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749351390.257673,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749351399.315978,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749356835.56222,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749363579.298411,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749365754.154805,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749372007.082581,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749372713.2172241,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749382145.7290921,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749382249.028851,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749383159.8854299,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749383432.551307,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749391053.408389,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749391169.330359,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749391396.751944,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749391477.754019,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749392737.7002559,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749393141.593947,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749395826.956874,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749395880.429791,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749403875.242476,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749405321.6286778,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749406310.5806,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749406396.673466,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749407489.502112,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749408475.5133781,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749410860.7017388,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749411966.2903528,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749412414.74293,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749412436.522028,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749413125.369341,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749413274.5673099,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749414093.696743,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749415002.080672,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749416052.658685,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749416415.187385,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749416467.938158,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749416503.08524,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749418325.002204,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749418330.955451,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749419414.723283,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749455457.674192,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749456817.980914,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749458780.342301,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749459283.991459,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749460773.709198,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749477268.025399,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749481418.024407,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749485819.71878,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749486904.743299,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749492291.9426289,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749492764.348676,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749493447.0512471,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749493717.135411,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749494437.6054401,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749494978.329406,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749498284.046588,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749499558.8043451,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749502633.507859,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749502896.940989,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749534171.403604,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749534220.9929,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749535270.652648,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749537003.063422,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749539069.4832702,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749553179.486068,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749553187.771982,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749553404.036093,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749553440.23624,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749553476.658475,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749553597.848098,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749553885.6681352,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749554361.90713,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749556281.773119,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749556525.151919,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749556574.472784,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749559809.853672,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749571566.440467,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749574442.16122,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749575662.6239219,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749575686.5632,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749575751.730936,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749576010.855739,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749576038.355648,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749576094.536365,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749580392.538193,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749586290.373817,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749589818.2324781,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749618483.891501,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749622889.4984012,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749633663.320338,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749633705.817816,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749634793.4098039,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749639162.4423618,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749640231.826479,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749645511.786387,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749656565.30826,False,breathingExercise,instagram,1.5
dismissedAppOpening,Europe/Berlin,1749656774.0112119,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749659149.237046,False,breathingExercise,instagram,1.5
openedApp,Europe/Berlin,1749663654.501276,False,breathingExercise,instagram,1.5
