timeIntervalUntilReIntervention,timezone,interventionType,interventionDuration,timestamp,resolution,isReIntervention,app
,America/New_York,,,1752070123.891531,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752070515.954716,openedApp,False,instagram
,America/New_York,,,1752070534.202153,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752070665.098295,openedApp,False,instagram
,America/New_York,,,1752070757.542319,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752078196.867992,openedApp,False,instagram
,America/New_York,,,1752078305.207357,closedApp,False,instagram
,America/New_York,,,1752078535.466014,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752094745.677425,openedApp,False,instagram
,America/New_York,,,1752095059.6034899,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752148328.158787,openedApp,False,instagram
,America/New_York,,,1752148635.439404,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752150094.460562,openedApp,False,instagram
,America/New_York,,,1752150409.450872,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752150430.426795,openedApp,False,instagram
,America/New_York,,,1752150474.777806,closedApp,False,instagram
,America/New_York,breathingExercise,6.0,1752152712.741976,dismissedAppOpening,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752201411.3588982,openedApp,False,instagram
,America/New_York,,,1752201453.806531,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752255760.7591782,openedApp,False,instagram
,America/New_York,,,1752256142.6095119,closedApp,False,instagram
840.0,America/New_York,breathingExercise,6.0,1752256212.9453259,openedApp,False,instagram
,America/New_York,,,1752256413.815092,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1752269673.3230438,openedApp,False,instagram
,America/New_York,,,1752269972.21946,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752287233.565933,openedApp,False,instagram
,America/New_York,,,1752287541.370148,closedApp,False,instagram
,America/New_York,breathingExercise,6.0,1752291070.648394,dismissedAppOpening,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752291140.995727,openedApp,False,instagram
,America/New_York,,,1752291230.061751,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1752337154.283897,openedApp,False,instagram
,America/New_York,,,1752337197.602337,closedApp,False,instagram
,America/New_York,,,1752337435.7488132,closedApp,False,instagram
,America/New_York,,,1752337461.3810449,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752337486.982316,openedApp,False,instagram
,America/New_York,,,1752337526.602803,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752340574.226522,openedApp,False,instagram
,America/New_York,,,1752340879.477742,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752341639.223878,openedApp,False,instagram
,America/New_York,,,1752341749.6252651,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1752348634.972032,openedApp,False,instagram
,America/New_York,,,1752348665.085346,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752349604.969617,openedApp,False,instagram
,America/New_York,,,1752349834.3613958,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752350436.585506,openedApp,False,instagram
,America/New_York,,,1752350658.808583,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752368681.601968,openedApp,False,instagram
,America/New_York,,,1752368982.439115,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752369041.772966,openedApp,False,instagram
,America/New_York,,,1752369128.598808,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1752369183.5831351,openedApp,False,instagram
,America/New_York,breathingExercise,6.0,1752372256.938508,dismissedAppOpening,False,instagram
,America/New_York,,,1752369609.847605,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752372281.0164208,openedApp,False,instagram
,America/New_York,,,1752372647.8966432,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752372768.567414,openedApp,False,instagram
,America/New_York,,,1752372848.104639,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1752405781.295415,openedApp,False,instagram
,America/New_York,breathingExercise,6.0,1752430063.418721,dismissedAppOpening,False,instagram
420.0,America/New_York,breathingExercise,6.0,1752439069.2729511,openedApp,False,instagram
,America/New_York,,,1752406066.9108438,closedApp,False,instagram
,America/New_York,,,1752439297.719748,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752441184.009664,openedApp,False,instagram
,America/New_York,,,1752441269.293956,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752441317.922786,openedApp,False,instagram
,America/New_York,,,1752441577.752397,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752524032.2145739,openedApp,False,instagram
,America/New_York,,,1752524307.348937,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752526297.286468,openedApp,False,instagram
,America/New_York,,,1752526372.152854,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752537869.6232328,openedApp,False,instagram
,America/New_York,,,1752538236.940145,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752583246.870048,openedApp,False,instagram
,America/New_York,,,1752583364.3803859,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752618495.0256848,openedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752622348.4973369,openedApp,False,instagram
,America/New_York,,,1752618509.384521,closedApp,False,instagram
,America/New_York,,,1752618636.2733479,closedApp,False,instagram
,America/New_York,,,1752618757.420403,closedApp,False,instagram
,America/New_York,,,1752622655.831717,closedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1752664706.56465,openedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752692071.713026,openedApp,False,instagram
,America/New_York,,,1752664986.854037,closedApp,False,instagram
,America/New_York,,,1752692099.565473,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752696361.619909,openedApp,False,instagram
,America/New_York,,,1752696450.946352,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752707125.801806,openedApp,False,instagram
,America/New_York,,,1752707148.460291,closedApp,False,instagram
,America/New_York,,,1752708391.028487,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752720390.836059,openedApp,False,instagram
,America/New_York,,,1752720698.245965,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1752771469.0247989,openedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752782769.0363212,openedApp,False,instagram
,America/New_York,,,1752783076.551278,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1752790595.390085,openedApp,False,instagram
,America/New_York,,,1752791020.452929,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1752791135.7694821,openedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752794059.2799559,openedApp,False,instagram
,America/New_York,,,1752791414.70032,closedApp,False,instagram
,America/New_York,,,1752794129.433773,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1752840613.221764,openedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752858578.733533,openedApp,False,instagram
,America/New_York,,,1752841024.708702,closedApp,False,instagram
,America/New_York,,,1752858687.6828341,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1752859284.126234,openedApp,False,instagram
,America/New_York,,,1752859892.4574142,closedApp,False,instagram
300.0,America/New_York,breathingExercise,6.0,1752864052.9516358,openedApp,False,instagram
,America/New_York,,,1752864350.3289928,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1752869290.178338,openedApp,False,instagram
,America/New_York,,,1752869380.352669,closedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1752872783.827217,openedApp,False,instagram
,America/New_York,,,1752873459.2163758,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1752873477.3381848,openedApp,False,instagram
,America/New_York,,,1752873965.1183171,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1752875959.701335,openedApp,False,instagram
,America/New_York,,,1752876569.0925899,closedApp,False,instagram
240.0,America/New_York,breathingExercise,6.0,1752876586.426431,openedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1752894879.294585,openedApp,False,instagram
,America/New_York,,,1752876607.258781,closedApp,False,instagram
,America/New_York,,,1752894922.031145,closedApp,False,instagram
840.0,America/New_York,breathingExercise,6.0,1752936165.388214,openedApp,False,instagram
,America/New_York,,,1752936224.035853,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1752947977.839175,openedApp,False,instagram
,America/New_York,,,1752948768.4308162,closedApp,False,instagram
,America/New_York,breathingExercise,6.0,1752953215.0693688,dismissedAppOpening,False,instagram
540.0,America/New_York,breathingExercise,6.0,1752953561.235723,openedApp,False,instagram
,America/New_York,,,1752953644.639979,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1752965694.350668,openedApp,False,instagram
,America/New_York,breathingExercise,6.0,1752979945.4860868,dismissedAppOpening,False,instagram
,America/New_York,,,1752965756.938381,closedApp,False,instagram
,America/New_York,,,1752969955.457883,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1752979974.522128,openedApp,False,instagram
,America/New_York,,,1752980311.47931,closedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1752980649.208215,openedApp,False,instagram
,America/New_York,,,1752980974.7049022,closedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1753029826.094915,openedApp,False,instagram
,America/New_York,,,1753029880.8110871,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753050980.564295,openedApp,False,instagram
,America/New_York,,,1753051008.257169,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753100429.458947,openedApp,False,instagram
,America/New_York,,,1753101037.515454,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1753108062.435858,openedApp,False,instagram
,America/New_York,,,1753108429.5358338,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1753108451.2726421,openedApp,False,instagram
,America/New_York,,,1753108660.7776241,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753131430.829177,openedApp,False,instagram
,America/New_York,,,1753131446.596175,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1753187432.1895351,openedApp,False,instagram
,America/New_York,,,1753187918.857444,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753219150.660728,openedApp,False,instagram
,America/New_York,,,1753219599.618305,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753221093.64776,openedApp,False,instagram
,America/New_York,,,1753221138.0109792,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753227259.631863,openedApp,False,instagram
,America/New_York,,,1753227807.537771,closedApp,False,instagram
780.0,America/New_York,breathingExercise,6.0,1753287453.79252,openedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1753291904.54671,openedApp,False,instagram
,America/New_York,,,1753288082.290735,closedApp,False,instagram
,America/New_York,,,1753292331.360419,closedApp,False,instagram
900.0,America/New_York,breathingExercise,6.0,1753324308.032083,openedApp,False,instagram
,America/New_York,,,1753324653.231021,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1753330336.473387,openedApp,False,instagram
,America/New_York,,,1753330762.4946,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1753362632.8428469,openedApp,False,instagram
,America/New_York,,,1753362850.6283278,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753369071.006973,openedApp,False,instagram
,America/New_York,,,1753369617.425877,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1753375379.536902,openedApp,False,instagram
,America/New_York,,,1753375746.284906,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1753408969.243489,openedApp,False,instagram
,America/New_York,,,1753409246.010723,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753409316.542409,openedApp,False,instagram
,America/New_York,,,1753409925.930657,closedApp,False,instagram
,America/New_York,breathingExercise,6.0,1753468422.554709,dismissedAppOpening,False,instagram
660.0,America/New_York,breathingExercise,6.0,1753469236.5066519,openedApp,False,instagram
,America/New_York,,,1753469525.810841,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1753485951.144459,openedApp,False,instagram
,America/New_York,,,1753486319.621842,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1753486361.522283,openedApp,False,instagram
,America/New_York,,,1753486522.492145,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1753488343.442041,openedApp,False,instagram
,America/New_York,,,1753488710.635577,closedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1753542490.4329,openedApp,False,instagram
,America/New_York,,,1753542589.783238,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753542640.527752,openedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753554931.234273,openedApp,False,instagram
,America/New_York,,,1753555465.1532068,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753555689.0366678,openedApp,False,instagram
,America/New_York,,,1753555727.237204,closedApp,False,instagram
720.0,America/New_York,breathingExercise,6.0,1753575510.72826,openedApp,False,instagram
,America/New_York,,,1753576236.99839,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753576302.4715528,openedApp,False,instagram
,America/New_York,,,1753576340.360662,closedApp,False,instagram
,America/New_York,,,1753576849.52283,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1753579783.063569,openedApp,False,instagram
,America/New_York,,,1753580193.047724,closedApp,False,instagram
360.0,America/New_York,breathingExercise,6.0,1753581100.7276769,openedApp,False,instagram
,America/New_York,,,1753581468.208877,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753660663.800023,openedApp,False,instagram
,America/New_York,,,1753661213.595562,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1753661233.882523,openedApp,False,instagram
,America/New_York,,,1753661716.899111,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753667201.170666,openedApp,False,instagram
,America/New_York,,,1753667666.3446221,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753723848.682413,openedApp,False,instagram
,America/New_York,,,1753724150.4538,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753728361.7211142,openedApp,False,instagram
,America/New_York,,,1753728910.238408,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753728927.7443871,openedApp,False,instagram
,America/New_York,,,1753729019.343216,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753729277.6605139,openedApp,False,instagram
,America/New_York,,,1753729833.115839,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753732858.4328399,openedApp,False,instagram
,America/New_York,,,1753733227.7793021,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1753757006.617383,openedApp,False,instagram
,America/New_York,,,1753757496.675853,closedApp,False,instagram
,America/New_York,breathingExercise,6.0,1753757520.349529,dismissedAppOpening,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753790088.349362,openedApp,False,instagram
,America/New_York,,,1753790697.1527572,closedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1753799506.353146,openedApp,False,instagram
,America/New_York,,,1753799759.646899,closedApp,False,instagram
,America/New_York,breathingExercise,6.0,1753799771.097508,dismissedAppOpening,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753831348.346169,openedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753832772.6816812,openedApp,False,instagram
,America/New_York,,,1753831567.6769419,closedApp,False,instagram
,America/New_York,,,1753832816.260336,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753833257.833868,openedApp,False,instagram
,America/New_York,,,1753833956.035859,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1753834328.074682,openedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753882787.06604,openedApp,False,instagram
,America/New_York,,,1753834570.290869,closedApp,False,instagram
,America/New_York,,,1753882913.0366058,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1753924868.064402,openedApp,False,instagram
,America/New_York,,,1753925357.5926008,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753925442.8607368,openedApp,False,instagram
,America/New_York,,,1753925702.076294,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1753926112.3491979,openedApp,False,instagram
,America/New_York,,,1753926163.140629,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1753927184.590905,openedApp,False,instagram
,America/New_York,,,1753927672.411541,closedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1753927688.4252071,openedApp,False,instagram
,America/New_York,,,1753927961.584677,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753928217.829334,openedApp,False,instagram
,America/New_York,,,1753928551.540529,closedApp,False,instagram
,America/New_York,breathingExercise,6.0,1753928563.1617022,dismissedAppOpening,False,instagram
420.0,America/New_York,breathingExercise,6.0,1753960736.026423,openedApp,False,instagram
,America/New_York,,,1753961089.217217,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1753979803.6489801,openedApp,False,instagram
,America/New_York,,,1753980265.41822,closedApp,False,instagram
720.0,America/New_York,breathingExercise,6.0,1754087909.0546598,openedApp,False,instagram
,America/New_York,,,1754087959.298862,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1754088910.28449,openedApp,False,instagram
,America/New_York,,,1754089214.661037,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1754134260.525477,openedApp,False,instagram
,America/New_York,,,1754134648.54748,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1754147469.034408,openedApp,False,instagram
,America/New_York,,,1754147537.861086,closedApp,False,instagram
,America/New_York,,,1754148160.626624,closedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1754150965.63204,openedApp,False,instagram
,America/New_York,,,1754151189.569903,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1754152444.177098,openedApp,False,instagram
,America/New_York,,,1754152927.801224,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1754156085.903384,openedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1754164165.686775,openedApp,False,instagram
,America/New_York,,,1754156104.113538,closedApp,False,instagram
,America/New_York,,,1754164294.734346,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1754173235.745008,openedApp,False,instagram
,America/New_York,,,1754173490.051714,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1754186247.560102,openedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1754188753.640798,openedApp,False,instagram
,America/New_York,,,1754187065.08096,closedApp,False,instagram
,America/New_York,,,1754189420.9904752,closedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1754240888.701855,openedApp,False,instagram
,America/New_York,,,1754241558.512074,closedApp,False,instagram
480.0,America/New_York,breathingExercise,6.0,1754254100.463759,openedApp,False,instagram
,America/New_York,,,1754254588.8876371,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1754261721.413918,openedApp,False,instagram
,America/New_York,,,1754262640.0919042,closedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1754272336.978406,openedApp,False,instagram
,America/New_York,,,1754273084.841996,closedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1754274237.7298288,openedApp,False,instagram
540.0,America/New_York,breathingExercise,6.0,1754319183.938174,openedApp,False,instagram
600.0,America/New_York,breathingExercise,6.0,1754324946.910911,openedApp,False,instagram
,America/New_York,,,1754274785.109294,closedApp,False,instagram
,America/New_York,,,1754319301.900426,closedApp,False,instagram
,America/New_York,,,1754319450.2220678,closedApp,False,instagram
,America/New_York,,,1754324986.811627,closedApp,False,instagram
,America/New_York,,,1754325220.6304011,closedApp,False,instagram
420.0,America/New_York,breathingExercise,6.0,1754328884.7573972,openedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1754339859.120733,openedApp,False,instagram
660.0,America/New_York,breathingExercise,6.0,1754340873.29105,openedApp,False,instagram
