isReIntervention,interventionType,timezone,resolution,interventionDuration,app,timestamp,timeIntervalUntilReIntervention,purpose
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750938915.6551409,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750939007.08011,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750939103.5457401,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750939105.9310799,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750939122.401439,60.0,Likes checken
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750939330.270719,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750940965.2747688,60.0,Crush stalken
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750941715.593723,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750945050.804751,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750946829.891444,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750948375.439815,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750949336.3509212,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750952593.235605,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750953901.281913,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750954391.3984308,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750958034.443918,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1750958301.1846251,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750967562.444499,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1750968820.478632,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751000626.356728,60.0,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751000659.2600121,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751000662.235966,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751001233.258937,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751001266.257566,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751001596.6740808,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751001599.144086,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751003636.3744779,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751008315.666205,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751018783.6013598,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751023866.527117,,Infos suchen
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751025137.971671,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751025701.9418669,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751036366.827069,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751040426.449582,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751056100.076765,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751056114.648088,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751062882.640207,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751062884.9800549,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751062887.6223679,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751062955.2410889,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751062975.950389,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751087060.25594,,Kann nicht schlafen
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751109689.889104,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751118856.299481,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751124048.848517,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751125580.52336,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751125779.373524,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751128358.517808,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751128369.662576,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751131220.4942598,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751131222.608074,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751131238.111165,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751138129.906898,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751138616.2412539,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751140151.8274589,,Auf dem Laufenden bleiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751141485.9500241,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751142831.963632,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751142877.947513,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751149711.816359,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751151276.276351,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751179470.238872,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751179748.5158548,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751181335.1018171,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751181364.586144,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751183607.564007,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751185523.067246,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751186732.4948611,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751187209.7892818,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751188150.8611422,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751188514.196414,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751191294.00877,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751191295.962503,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751191522.012104,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751194555.3388882,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751194792.855844,,Crush stalken
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751195552.8897471,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751201678.6965818,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751201800.5622811,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751205608.664603,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751206484.046894,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751209135.75063,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751210283.7966828,,Crush stalken
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751210530.447393,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751211003.4724479,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751212642.3522968,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751212996.1607928,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751213232.5780668,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751213379.468334,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751213964.6735501,,Auf dem Laufenden bleiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751221472.8453631,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751221781.743205,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751221967.271421,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751221990.581356,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751222676.960819,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751222743.248455,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751222764.2003078,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751223373.14484,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751225203.489794,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751225392.1686711,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751226224.766772,,Crush stalken
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751260718.875486,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751261506.100521,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751275318.73973,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751275838.330687,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751277462.255089,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751278488.816179,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751278504.53652,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751279707.1576428,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751289033.1752992,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751289059.094209,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751294994.556277,,Nachricht / Schreiben
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751295636.998599,,
False,breathingExercise,Europe/Berlin,dismissedAppOpening,6,snapchat,1751295872.4026442,,
False,breathingExercise,Europe/Berlin,openedApp,6,snapchat,1751296030.998205,,Nachricht / Schreiben
