timezone,timestamp,app,resolution,isReIntervention,interventionType,interventionDuration
Europe/London,1753390406.700758,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753392232.538364,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753424752.160948,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753434500.85352,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753444204.278407,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753466161.7097569,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753511217.01422,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753514115.27759,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753606400.73224,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753607655.083637,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753646292.2672992,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753701757.688407,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753720471.244209,instagram,openedApp,False,,
Europe/London,1753720831.24421,instagram,closedApp,False,,
Europe/London,1753720831.24421,instagram,dismissedAppOpening,False,,
Europe/London,1753721164.288585,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753722383.670179,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753724147.124199,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753724936.654819,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753734744.670693,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753738890.771068,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753739751.309804,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753781602.919009,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753789897.118644,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753792030.213875,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753806964.516309,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753815168.0037189,instagram,openedApp,False,,
Europe/London,1753815528.00372,instagram,closedApp,False,,
Europe/London,1753815528.00372,instagram,dismissedAppOpening,False,,
Europe/London,1753815592.712657,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753815977.3497682,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753818061.590958,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753818895.5385718,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753819608.11358,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753857401.2663078,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753879491.6285992,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753887261.018498,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753905747.073024,instagram,openedApp,False,,
Europe/London,1753906107.073024,instagram,closedApp,False,,
Europe/London,1753906107.073024,instagram,dismissedAppOpening,False,,
Europe/London,1753906799.672904,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753938852.364087,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753955646.52344,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753957258.233242,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753968983.683979,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753994413.697835,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1753998111.072212,instagram,openedApp,False,,
Europe/London,1753998471.072212,instagram,closedApp,False,,
Europe/London,1753998471.072212,instagram,dismissedAppOpening,False,,
Europe/London,1754027459.283221,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754073298.1838012,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754136985.719789,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754148358.753099,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754205795.608244,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754210540.224066,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754212509.531847,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754225522.459338,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754230226.105572,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754256305.0032248,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754258228.560509,instagram,dismissedAppOpening,False,breathingExercise,6.0
Europe/London,1754300243.3767729,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754301352.789197,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754302040.9644818,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754304637.3402061,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754327736.948051,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754331127.872895,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754374496.6992002,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754376663.431915,instagram,openedApp,False,breathingExercise,6.0
Europe/London,1754380114.5281549,instagram,openedApp,False,breathingExercise,6.0
