interventionType,timestamp,timezone,app,isReIntervention,resolution,interventionDuration,timeIntervalUntilReIntervention,purpose
askForTimeLimit,1752717865.506598,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752726731.584828,Europe/London,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752726988.3948421,Europe/London,brave,False,openedApp,6.0,360.0,
askForTimeLimit,1752727125.405699,Europe/London,brave,False,openedApp,6.0,480.0,
breathingExercise,1752735215.933562,Europe/London,brave,False,openedApp,6.0,780.0,Search Info
askForTimeLimit,1752735805.3561149,Europe/London,brave,False,openedApp,6.0,900.0,
breathingExercise,1752736728.978531,Europe/London,brave,False,openedApp,6.0,1140.0,Stay In the Loop
askForTimeLimit,1752737195.417177,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752737294.842416,Europe/London,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1752737320.6258159,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752737434.604698,Europe/London,brave,False,openedApp,6.0,840.0,
askForTimeLimit,1752737477.026042,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752737484.5547628,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752737623.449133,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752737657.433682,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752737707.411124,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752737713.882992,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752737733.18945,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752737798.559891,Europe/London,brave,False,openedApp,6.0,840.0,
askForTimeLimit,1752737946.696385,Europe/London,brave,False,openedApp,6.0,840.0,
askForTimeLimit,1752738034.79315,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752738066.417406,Europe/London,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752738203.283958,Europe/London,brave,False,openedApp,6.0,540.0,
breathingExercise,1752738809.492669,Europe/London,brave,False,openedApp,6.0,720.0,Search Info
askForTimeLimit,1752739065.564876,Europe/London,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1752739290.196702,Europe/London,brave,False,openedApp,6.0,360.0,
askForTimeLimit,1752739573.807348,Europe/London,brave,False,openedApp,6.0,660.0,
breathingExercise,1752740380.15443,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752747981.060257,Europe/London,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752750242.115097,Europe/London,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752750765.895443,Europe/London,brave,False,openedApp,6.0,900.0,
askForTimeLimit,1752751411.694728,Europe/London,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752751434.298098,Europe/London,brave,False,openedApp,6.0,540.0,
askForTimeLimit,1752751832.741459,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752752390.804047,Europe/London,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1752752408.96949,Europe/London,brave,False,openedApp,6.0,900.0,
askForTimeLimit,1752754151.870007,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752754167.299582,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752754316.5438619,Europe/London,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752754391.3327909,Europe/London,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752786024.698348,America/Edmonton,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1752794494.871161,America/Edmonton,brave,False,openedApp,6.0,720.0,Search Info
askForTimeLimit,1752797718.7710462,America/Edmonton,brave,False,openedApp,6.0,540.0,
askForTimeLimit,1752807930.128629,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752810473.723206,America/Vancouver,brave,False,openedApp,6.0,600.0,
breathingExercise,1752851270.1002169,America/Vancouver,brave,False,openedApp,6.0,1320.0,Stay In the Loop
breathingExercise,1752853589.1194072,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
journaling,1752857891.400782,America/Vancouver,brave,False,dismissedAppOpening,,,
breathingExercise,1752862153.7770472,America/Vancouver,brave,False,openedApp,6.0,720.0,Stay In the Loop
breathingExercise,1752863413.102026,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752864438.525743,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752864471.5415912,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752864690.326181,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752870915.505621,America/Vancouver,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752872365.639826,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752874039.647708,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752876490.554122,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752877545.833794,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752880519.479392,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752880550.5983639,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752884221.0179381,America/Vancouver,brave,False,openedApp,6.0,840.0,
askForTimeLimit,1752884815.126758,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752884818.781781,America/Vancouver,brave,False,openedApp,6.0,540.0,
askForTimeLimit,1752888520.706114,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752889943.6086779,America/Vancouver,brave,False,openedApp,6.0,60.0,
askForTimeLimit,1752921865.359002,America/Vancouver,brave,False,openedApp,6.0,540.0,
askForTimeLimit,1752921900.5846338,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1752932502.031801,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1752932524.955488,America/Vancouver,brave,False,openedApp,6.0,660.0,Stay In the Loop
breathingExercise,1752933208.8699532,America/Vancouver,brave,False,openedApp,6.0,1080.0,Search Info
breathingExercise,1752934311.009974,America/Vancouver,brave,False,openedApp,6.0,660.0,Search Info
journaling,1752940081.9345121,America/Vancouver,brave,False,dismissedAppOpening,,,
breathingExercise,1752940097.038686,America/Vancouver,brave,False,openedApp,6.0,420.0,Search Info
askForTimeLimit,1752941471.3178859,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752945095.94328,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752945524.6884341,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752945704.2983909,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752946624.060388,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752947111.868808,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752947127.944412,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752947481.892962,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752948013.6838489,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752949379.896985,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752949393.252664,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752949764.852097,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752949899.364836,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752950174.989924,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752950927.970149,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752951007.582934,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752951201.144991,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752951760.682111,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752952792.433663,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752952796.771658,America/Vancouver,brave,False,openedApp,6.0,840.0,
askForTimeLimit,1752952942.5426579,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752953148.709004,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752953163.631788,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752953283.2713351,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752953392.760621,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752953493.553852,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752957048.597515,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752961678.319186,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752961900.281874,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752962382.794973,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752962482.8291512,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752962879.5196571,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752963355.49934,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752963612.743308,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752963646.348902,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752963756.3201308,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752965557.859271,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752968140.962414,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752968173.323866,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752968180.930472,America/Vancouver,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1752968616.798864,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752968649.4048061,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752969058.818301,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752969083.642581,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752969156.343029,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752969262.5640678,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752969307.559825,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752969384.481122,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1752969443.716124,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1752982092.6665912,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1752982250.790313,America/Vancouver,brave,False,openedApp,6.0,480.0,
askForTimeLimit,1752982431.000355,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1752982508.5367122,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1753012410.843783,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1753012437.585692,America/Vancouver,brave,False,openedApp,6.0,840.0,
breathingExercise,1753013302.090835,America/Vancouver,brave,False,openedApp,6.0,1200.0,Search Info
breathingExercise,1753014502.566733,America/Vancouver,brave,False,openedApp,6.0,960.0,Stay In the Loop
askForTimeLimit,1753022146.812439,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1753022806.536118,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1753022863.9136748,America/Vancouver,brave,False,openedApp,6.0,1140.0,
askForTimeLimit,1753023843.2764869,America/Vancouver,brave,False,openedApp,6.0,900.0,
askForTimeLimit,1753027464.743822,America/Vancouver,brave,False,openedApp,6.0,840.0,
askForTimeLimit,1753027493.016742,America/Vancouver,brave,False,openedApp,6.0,540.0,
askForTimeLimit,1753028168.889399,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1753028298.587404,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1753028372.035223,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1753028693.973486,America/Vancouver,brave,False,openedApp,6.0,540.0,
askForTimeLimit,1753029423.431178,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1753029551.327709,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1753030873.195747,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1753030957.274795,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1753032643.136133,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1753033163.729953,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1753034153.016533,America/Vancouver,brave,False,openedApp,6.0,960.0,
askForTimeLimit,1753034555.7652478,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1753035096.6213489,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1753036565.19557,America/Vancouver,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1753041110.245298,America/Vancouver,brave,False,openedApp,6.0,1320.0,
askForTimeLimit,1753044658.0875502,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1753050672.366097,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1753050693.23952,America/Vancouver,chrome,False,openedApp,6.0,,Stay In the Loop
breathingExercise,1753050721.603572,America/Vancouver,chrome,False,dismissedAppOpening,6.0,,
askForTimeLimit,1753051490.102648,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1753053455.342967,America/Vancouver,brave,False,openedApp,6.0,900.0,
askForTimeLimit,1753053478.425218,America/Vancouver,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1753053508.9095411,America/Vancouver,brave,False,openedApp,6.0,600.0,
breathingExercise,1753054128.74208,America/Vancouver,brave,False,openedApp,6.0,720.0,Stay In the Loop
askForTimeLimit,1753054456.33897,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1753055031.224975,America/Vancouver,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1753063866.661289,America/Vancouver,brave,False,openedApp,6.0,1200.0,
askForTimeLimit,1753063883.417665,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1753066032.775702,America/Vancouver,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1753066507.353452,America/Vancouver,brave,False,openedApp,6.0,1020.0,
askForTimeLimit,1753073209.512,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1753105974.274055,America/Vancouver,brave,False,openedApp,6.0,1260.0,Stay In the Loop
breathingExercise,1753109826.166109,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1753110910.761399,America/Vancouver,brave,False,openedApp,6.0,480.0,Search Info
breathingExercise,1753111271.759767,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1753118053.277833,America/Vancouver,brave,False,openedApp,6.0,960.0,Stay In the Loop
breathingExercise,1753130246.716733,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1753132214.111206,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1753145416.7934232,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1753147950.5679169,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1753157834.050113,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1753157883.3060799,America/Vancouver,brave,False,openedApp,6.0,720.0,
askForTimeLimit,1753158063.685262,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1753158144.160306,America/Vancouver,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1753189117.179529,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1753189149.817991,America/Vancouver,brave,False,openedApp,6.0,600.0,
breathingExercise,1753190069.984298,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
breathingExercise,1753190595.352384,America/Vancouver,brave,False,openedApp,6.0,720.0,Search Info
breathingExercise,1753196907.0508242,America/Vancouver,brave,False,dismissedAppOpening,6.0,,
askForTimeLimit,1753199119.252809,America/Vancouver,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1753199388.559636,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1753208169.7466068,America/Vancouver,brave,False,openedApp,6.0,780.0,
askForTimeLimit,1753208359.967695,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1753210413.581111,America/Vancouver,brave,False,openedApp,6.0,600.0,
askForTimeLimit,1753210437.629426,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1753210529.5418859,America/Vancouver,brave,False,openedApp,6.0,660.0,
askForTimeLimit,1753210714.772781,America/Vancouver,brave,False,openedApp,6.0,600.0,
