isReIntervention,app,timezone,interventionType,resolution,interventionDuration,timestamp
False,tikTok,Pacific/Honolulu,,closedApp,,1750291716.719672
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750320150.791391
False,tikTok,Pacific/Honolulu,,closedApp,,1750320242.304028
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750320260.569296
False,tikTok,Pacific/Honolulu,,closedApp,,1750320367.561647
False,tikTok,Pacific/Honolulu,,closedApp,,1750320499.604653
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750320521.317836
False,tikTok,Pacific/Honolulu,,closedApp,,1750320628.401571
False,tikTok,Pacific/Honolulu,,closedApp,,1750320712.227014
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750320732.7246041
False,tikTok,Pacific/Honolulu,,closedApp,,1750320766.762579
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750320832.086392
False,tikTok,Pacific/Honolulu,,closedApp,,1750320883.210437
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750320906.32474
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750320983.6807652
False,tikTok,Pacific/Honolulu,,closedApp,,1750320964.6359339
False,tikTok,Pacific/Honolulu,,closedApp,,1750321072.411166
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750321089.399033
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750408611.012508
False,tikTok,Pacific/Honolulu,,closedApp,,1750321164.266366
False,tikTok,Pacific/Honolulu,,closedApp,,1750408679.527806
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750487189.070242
False,tikTok,Pacific/Honolulu,,closedApp,,1750488183.44227
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750488208.503021
False,tikTok,Pacific/Honolulu,,closedApp,,1750488308.902447
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750554014.777892
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1750580922.3457808
False,tikTok,Pacific/Honolulu,,closedApp,,1750554496.7291288
False,tikTok,Pacific/Honolulu,,closedApp,,1750555126.848929
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750580951.502739
False,tikTok,Pacific/Honolulu,,closedApp,,1750581016.681534
False,tikTok,Pacific/Honolulu,,closedApp,,1750581095.542684
False,tikTok,Pacific/Honolulu,,closedApp,,1750581206.340617
False,tikTok,Pacific/Honolulu,,closedApp,,1750581326.4641051
False,tikTok,Pacific/Honolulu,,closedApp,,1750581449.280849
False,tikTok,Pacific/Honolulu,,closedApp,,1750581573.040255
False,tikTok,Pacific/Honolulu,,closedApp,,1750581694.858809
False,tikTok,Pacific/Honolulu,,closedApp,,1750581773.1514292
False,tikTok,Pacific/Honolulu,,closedApp,,1750581894.92235
False,tikTok,Pacific/Honolulu,,closedApp,,1750582184.26576
False,tikTok,Pacific/Honolulu,,closedApp,,1750582261.962235
False,tikTok,Pacific/Honolulu,,closedApp,,1750582367.426439
False,tikTok,Pacific/Honolulu,,closedApp,,1750582491.2854261
False,tikTok,Pacific/Honolulu,,closedApp,,1750582568.471788
False,tikTok,Pacific/Honolulu,,closedApp,,1750582673.564966
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750582693.6518931
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750672299.4719791
False,tikTok,Pacific/Honolulu,,closedApp,,1750582751.230931
False,tikTok,Pacific/Honolulu,,closedApp,,1750582857.153146
False,tikTok,Pacific/Honolulu,,closedApp,,1750582935.1274529
False,tikTok,Pacific/Honolulu,,closedApp,,1750583040.7162519
False,tikTok,Pacific/Honolulu,,closedApp,,1750583120.258525
False,tikTok,Pacific/Honolulu,,closedApp,,1750583225.5186582
False,tikTok,Pacific/Honolulu,,closedApp,,1750583302.6030369
False,tikTok,Pacific/Honolulu,,closedApp,,1750583410.213717
False,tikTok,Pacific/Honolulu,,closedApp,,1750583520.598723
False,tikTok,Pacific/Honolulu,,closedApp,,1750583611.766073
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750738084.483241
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750738109.806747
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750755641.6460109
False,tikTok,Pacific/Honolulu,,closedApp,,1750738529.1841512
False,tikTok,Pacific/Honolulu,,closedApp,,1750757393.843449
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1750805053.710266
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750822422.3622
False,tikTok,Pacific/Honolulu,,closedApp,,1750822475.690187
False,tikTok,Pacific/Honolulu,,closedApp,,1750822598.35015
False,tikTok,Pacific/Honolulu,,closedApp,,1750822719.715441
False,tikTok,Pacific/Honolulu,,closedApp,,1750822856.39622
False,tikTok,Pacific/Honolulu,,closedApp,,1750822934.354872
False,tikTok,Pacific/Honolulu,,closedApp,,1750823056.2942781
False,tikTok,Pacific/Honolulu,,closedApp,,1750823141.18173
False,tikTok,Pacific/Honolulu,,closedApp,,1750823250.34932
False,tikTok,Pacific/Honolulu,,closedApp,,1750823379.507215
False,tikTok,Pacific/Honolulu,,closedApp,,1750823461.911048
False,tikTok,Pacific/Honolulu,,closedApp,,1750823575.432372
False,tikTok,Pacific/Honolulu,,closedApp,,1750823652.7764869
False,tikTok,Pacific/Honolulu,,closedApp,,1750823758.541393
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750823775.6509829
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1750841091.737823
False,tikTok,Pacific/Honolulu,,closedApp,,1750823825.798589
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750841126.901493
False,tikTok,Pacific/Honolulu,,closedApp,,1750841195.41496
False,tikTok,Pacific/Honolulu,,closedApp,,1750841317.69455
False,tikTok,Pacific/Honolulu,,closedApp,,1750841446.736504
False,tikTok,Pacific/Honolulu,,closedApp,,1750841523.194847
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750841541.486378
False,tikTok,Pacific/Honolulu,,closedApp,,1750841628.6397948
False,tikTok,Pacific/Honolulu,,closedApp,,1750841750.718888
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750841769.33254
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750842209.9522362
False,tikTok,Pacific/Honolulu,,closedApp,,1750841828.4412289
False,tikTok,Pacific/Honolulu,,closedApp,,1750841934.269939
False,tikTok,Pacific/Honolulu,,closedApp,,1750842056.5793328
False,tikTok,Pacific/Honolulu,,closedApp,,1750842188.392564
False,tikTok,Pacific/Honolulu,,closedApp,,1750842226.325858
False,tikTok,Pacific/Honolulu,,closedApp,,1750842322.5925221
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1750842349.8455691
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1750927306.851945
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1751013506.142541
False,tikTok,Pacific/Honolulu,,closedApp,,1750842375.044126
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751013538.6428962
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751100123.623271
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1751186485.405549
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751186514.075264
False,tikTok,Pacific/Honolulu,,closedApp,,1751014208.979022
False,tikTok,Pacific/Honolulu,,closedApp,,1751101296.531784
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1751186530.750144
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1751186539.677192
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751186558.770833
False,tikTok,Pacific/Honolulu,,closedApp,,1751187900.036629
False,tikTok,Pacific/Honolulu,,closedApp,,1751187976.141042
False,tikTok,Pacific/Honolulu,,closedApp,,1751188276.4491692
False,tikTok,Pacific/Honolulu,,closedApp,,1751188301.153963
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751188322.5297241
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751238632.9220119
False,tikTok,Pacific/Honolulu,,closedApp,,1751188538.4189348
False,tikTok,Pacific/Honolulu,,closedApp,,1751238829.643245
False,tikTok,Pacific/Honolulu,,closedApp,,1751238950.78693
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1751355903.9858131
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1751355927.2714272
False,tikTok,Pacific/Honolulu,,closedApp,,1751355931.571257
False,tikTok,Pacific/Honolulu,,closedApp,,1751356660.3928242
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1751360351.153953
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751360371.7417831
False,tikTok,Pacific/Honolulu,,closedApp,,1751362024.5026898
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1751362069.4244208
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751362089.1351628
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751448432.782815
False,tikTok,Pacific/Honolulu,,closedApp,,1751362832.43362
False,tikTok,Pacific/Honolulu,,closedApp,,1751363549.020752
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1751529561.569618
False,tikTok,Pacific/Honolulu,,closedApp,,1751448539.783401
False,tikTok,Pacific/Honolulu,,closedApp,,1751448903.7738519
False,tikTok,Pacific/Honolulu,,closedApp,,1751449033.0603728
False,tikTok,Pacific/Honolulu,,closedApp,,1751449113.169609
False,tikTok,Pacific/Honolulu,,closedApp,,1751449219.705697
False,tikTok,Pacific/Honolulu,,closedApp,,1751449705.464093
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1751618643.526517
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1751618660.439915
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751768618.943452
False,tikTok,Pacific/Honolulu,,closedApp,,1751768748.280764
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751768772.0101008
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751768772.27776
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751790390.8146381
False,tikTok,Pacific/Honolulu,,closedApp,,1751770149.800925
False,tikTok,Pacific/Honolulu,,closedApp,,1751790451.638165
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751790623.860457
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1751875873.327234
False,tikTok,Pacific/Honolulu,,closedApp,,1751791072.575136
False,tikTok,Pacific/Honolulu,,closedApp,,1751877440.070984
False,tikTok,Pacific/Honolulu,,closedApp,,1751878758.0213718
False,tikTok,Pacific/Honolulu,,closedApp,,1751878760.895752
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1752029363.9216862
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1752049296.655799
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1752133950.673081
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1752133959.624201
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1752133977.948396
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1752220452.7296581
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1752220456.233628
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1752220472.946379
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1752310106.236546
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1752310124.619779
False,tikTok,Pacific/Honolulu,,closedApp,,1752134347.814427
False,tikTok,Pacific/Honolulu,,closedApp,,1752134422.844356
False,tikTok,Pacific/Honolulu,,closedApp,,1752134530.48721
False,tikTok,Pacific/Honolulu,,closedApp,,1752134664.748754
False,tikTok,Pacific/Honolulu,,closedApp,,1752134746.951919
False,tikTok,Pacific/Honolulu,,closedApp,,1752134855.259017
False,tikTok,Pacific/Honolulu,,closedApp,,1752134936.915557
False,tikTok,Pacific/Honolulu,,closedApp,,1752135020.463633
False,tikTok,Pacific/Honolulu,,closedApp,,1752135111.692195
False,tikTok,Pacific/Honolulu,,closedApp,,1752135189.306011
False,tikTok,Pacific/Honolulu,,closedApp,,1752135296.520885
False,tikTok,Pacific/Honolulu,,closedApp,,1752135375.166218
False,tikTok,Pacific/Honolulu,,closedApp,,1752135480.498939
False,tikTok,Pacific/Honolulu,,closedApp,,1752135557.592678
False,tikTok,Pacific/Honolulu,,closedApp,,1752135692.874439
False,tikTok,Pacific/Honolulu,,closedApp,,1752135816.357429
False,tikTok,Pacific/Honolulu,,closedApp,,1752135940.1624188
False,tikTok,Pacific/Honolulu,,closedApp,,1752136016.8087459
False,tikTok,Pacific/Honolulu,,closedApp,,1752136122.8376179
False,tikTok,Pacific/Honolulu,,closedApp,,1752136215.5600162
False,tikTok,Pacific/Honolulu,,closedApp,,1752136315.387537
False,tikTok,Pacific/Honolulu,,closedApp,,1752136337.602202
False,tikTok,Pacific/Honolulu,,closedApp,,1752220783.2617111
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1752310140.167282
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1752310167.420764
False,tikTok,Pacific/Honolulu,,closedApp,,1752310365.434649
False,tikTok,Pacific/Honolulu,,closedApp,,1752310863.782646
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1752310912.455138
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1752310937.731378
False,tikTok,Pacific/Honolulu,,closedApp,,1752311009.3180609
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1752368430.157862
False,tikTok,Pacific/Honolulu,,closedApp,,1752368686.449216
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1752368694.3462229
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1752368707.1385899
False,tikTok,Pacific/Honolulu,,closedApp,,1752369107.1002789
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1752369574.255826
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1752395812.294683
False,tikTok,Pacific/Honolulu,,closedApp,,1752369623.10682
False,tikTok,Pacific/Honolulu,,closedApp,,1752369701.1519299
False,tikTok,Pacific/Honolulu,,closedApp,,1752369811.0231981
False,tikTok,Pacific/Honolulu,,closedApp,,1752369939.994625
False,tikTok,Pacific/Honolulu,,closedApp,,1752395866.8054771
False,tikTok,Pacific/Honolulu,,closedApp,,1752395990.405764
False,tikTok,Pacific/Honolulu,,closedApp,,1752396113.570808
False,tikTok,Pacific/Honolulu,,closedApp,,1752396245.0708141
False,tikTok,Pacific/Honolulu,,closedApp,,1752396375.074037
False,tikTok,Pacific/Honolulu,,closedApp,,1752396501.582036
False,tikTok,Pacific/Honolulu,,closedApp,,1752396580.7859259
False,tikTok,Pacific/Honolulu,,closedApp,,1752396695.272431
False,tikTok,Pacific/Honolulu,,closedApp,,1752396829.40187
False,tikTok,Pacific/Honolulu,,closedApp,,1752396956.3080301
False,tikTok,Pacific/Honolulu,breathingExercise,openedApp,6.0,1752396974.730418
False,tikTok,Pacific/Honolulu,,closedApp,,1752397033.8765578
False,tikTok,Pacific/Honolulu,,closedApp,,1752397140.145473
False,tikTok,Pacific/Honolulu,,closedApp,,1752397217.008113
False,tikTok,Pacific/Honolulu,breathingExercise,dismissedAppOpening,6.0,1752397236.2374868
