isReIntervention,timezone,timestamp,interventionType,app,resolution,interventionDuration,timeIntervalUntilReIntervention
False,Europe/Berlin,1751183807.9313831,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751182651.8639832,,instagram,closedApp,,
False,Europe/Berlin,1751182784.835583,,instagram,closedApp,,
False,Europe/Berlin,1751185444.209157,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751195866.936333,breathingExercise,instagram,openedApp,6.0,360.0
False,Europe/Berlin,1751196637.393406,breathingExercise,instagram,openedApp,6.0,840.0
False,Europe/Berlin,1751197063.907232,,instagram,closedApp,,
False,Europe/Berlin,1751197722.124785,,instagram,closedApp,,
False,Europe/Berlin,1751205074.336292,breathingExercise,instagram,openedApp,6.0,360.0
False,Europe/Berlin,1751205347.480825,,instagram,closedApp,,
False,Europe/Berlin,1751205381.042146,,instagram,closedApp,,
False,Europe/Berlin,1751205506.089396,,instagram,closedApp,,
False,Europe/Berlin,1751210601.03293,breathingExercise,instagram,openedApp,6.0,240.0
False,Europe/Berlin,1751210712.78051,,instagram,closedApp,,
False,Europe/Berlin,1751230320.445914,breathingExercise,instagram,openedApp,6.0,480.0
False,Europe/Berlin,1751230819.555428,,instagram,closedApp,,
False,Europe/Berlin,1751231416.153967,breathingExercise,instagram,openedApp,6.0,60.0
True,Europe/Berlin,1751231484.038615,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751231484.9369612,,instagram,closedApp,,
False,Europe/Berlin,1751231560.379506,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751231695.708187,,youtube,closedApp,,
False,Europe/Berlin,1751266808.435427,breathingExercise,instagram,openedApp,6.0,420.0
False,Europe/Berlin,1751267076.239324,,instagram,closedApp,,
False,Europe/Berlin,1751269039.983856,breathingExercise,instagram,openedApp,6.0,60.0
False,Europe/Berlin,1751269105.8539882,,instagram,closedApp,,
False,Europe/Berlin,1751272811.10234,breathingExercise,instagram,openedApp,6.0,900.0
False,Europe/Berlin,1751272898.539647,,instagram,closedApp,,
False,Europe/Berlin,1751273004.211969,,instagram,closedApp,,
False,Europe/Berlin,1751273303.4006429,,instagram,closedApp,,
False,Europe/Berlin,1751273505.695687,,instagram,closedApp,,
False,Europe/Berlin,1751276159.5213661,breathingExercise,instagram,openedApp,6.0,360.0
False,Europe/Berlin,1751276422.136527,,instagram,closedApp,,
False,Europe/Berlin,1751276508.216591,,instagram,closedApp,,
False,Europe/Berlin,1751276599.068625,,instagram,closedApp,,
False,Europe/Berlin,1751285618.667039,,youtube,closedApp,,
False,Europe/Berlin,1751306098.56806,breathingExercise,instagram,openedApp,6.0,600.0
False,Europe/Berlin,1751306114.11601,,instagram,closedApp,,
False,Europe/Berlin,1751306142.956033,,instagram,closedApp,,
False,Europe/Berlin,1751309613.350984,breathingExercise,instagram,openedApp,6.0,300.0
False,Europe/Berlin,1751309687.623218,,instagram,closedApp,,
False,Europe/Berlin,1751309753.854103,,instagram,closedApp,,
False,Europe/Berlin,1751350101.667968,breathingExercise,instagram,openedApp,6.0,240.0
False,Europe/Berlin,1751350247.986711,,instagram,closedApp,,
False,Europe/Berlin,1751355705.409725,,instagram,closedApp,,
False,Europe/Berlin,1751358636.954458,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751358681.236119,,youtube,closedApp,,
False,Europe/Berlin,1751360843.606554,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751360866.640921,breathingExercise,instagram,openedApp,6.0,660.0
False,Europe/Berlin,1751361210.434547,,instagram,closedApp,,
False,Europe/Berlin,1751361460.549335,,instagram,closedApp,,
False,Europe/Berlin,1751361548.14768,,instagram,closedApp,,
True,Europe/Berlin,1751361695.152388,breathingExercise,instagram,openedApp,6.0,780.0
False,Europe/Berlin,1751361681.9476519,,instagram,closedApp,,
False,Europe/Berlin,1751361744.124518,,instagram,closedApp,,
False,Europe/Berlin,1751361829.16366,,instagram,closedApp,,
False,Europe/Berlin,1751361854.9784322,,instagram,closedApp,,
False,Europe/Berlin,1751362143.847468,,instagram,closedApp,,
False,Europe/Berlin,1751362213.475285,,instagram,closedApp,,
False,Europe/Berlin,1751378576.222254,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751381728.1725612,breathingExercise,instagram,openedApp,6.0,360.0
False,Europe/Berlin,1751381818.1477509,,instagram,closedApp,,
False,Europe/Berlin,1751382084.546441,,instagram,closedApp,,
False,Europe/Berlin,1751384771.3688931,breathingExercise,instagram,openedApp,6.0,300.0
False,Europe/Berlin,1751385067.955079,,instagram,closedApp,,
False,Europe/Berlin,1751388978.08631,breathingExercise,instagram,openedApp,6.0,420.0
False,Europe/Berlin,1751389108.557698,,instagram,closedApp,,
False,Europe/Berlin,1751390228.659745,,instagram,closedApp,,
False,Europe/Berlin,1751395785.8106441,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751402518.939653,breathingExercise,instagram,openedApp,6.0,540.0
False,Europe/Berlin,1751402586.867309,,instagram,closedApp,,
False,Europe/Berlin,1751402831.406378,,instagram,closedApp,,
False,Europe/Berlin,1751440215.349215,breathingExercise,instagram,openedApp,6.0,540.0
False,Europe/Berlin,1751440418.323504,,instagram,closedApp,,
False,Europe/Berlin,1751440511.798091,,instagram,closedApp,,
False,Europe/Berlin,1751440542.294938,,instagram,closedApp,,
False,Europe/Berlin,1751445931.493743,breathingExercise,instagram,openedApp,6.0,420.0
False,Europe/Berlin,1751446019.295642,,instagram,closedApp,,
False,Europe/Berlin,1751452673.968442,breathingExercise,instagram,openedApp,6.0,600.0
False,Europe/Berlin,1751452779.725771,,instagram,closedApp,,
False,Europe/Berlin,1751453026.3188171,,instagram,closedApp,,
False,Europe/Berlin,1751459141.971332,breathingExercise,instagram,openedApp,6.0,480.0
False,Europe/Berlin,1751459318.0212479,,instagram,closedApp,,
False,Europe/Berlin,1751461821.889071,breathingExercise,instagram,openedApp,6.0,420.0
False,Europe/Berlin,1751461850.6073232,,instagram,closedApp,,
False,Europe/Berlin,1751462291.07093,,instagram,closedApp,,
False,Europe/Berlin,1751462517.47921,,instagram,closedApp,,
False,Europe/Berlin,1751473793.0761561,breathingExercise,instagram,openedApp,6.0,480.0
False,Europe/Berlin,1751474145.8507252,,instagram,closedApp,,
False,Europe/Berlin,1751476583.176429,breathingExercise,instagram,openedApp,6.0,180.0
True,Europe/Berlin,1751476784.2487478,breathingExercise,instagram,openedApp,6.0,600.0
False,Europe/Berlin,1751476772.382958,,instagram,closedApp,,
False,Europe/Berlin,1751477343.885634,,instagram,closedApp,,
False,Europe/Berlin,1751477473.669867,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751477558.978704,,youtube,closedApp,,
False,Europe/Berlin,1751477911.222197,,youtube,closedApp,,
False,Europe/Berlin,1751480485.149095,breathingExercise,instagram,openedApp,6.0,420.0
False,Europe/Berlin,1751480764.011869,,instagram,closedApp,,
False,Europe/Berlin,1751481829.255474,,instagram,closedApp,,
False,Europe/Berlin,1751481857.675387,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751481876.7354279,,youtube,closedApp,,
False,Europe/Berlin,1751482539.942954,,youtube,closedApp,,
False,Europe/Berlin,1751485878.8987389,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751485922.937931,,youtube,closedApp,,
False,Europe/Berlin,1751486517.389468,breathingExercise,youtube,dismissedAppOpening,6.0,
False,Europe/Berlin,1751486521.963388,breathingExercise,youtube,dismissedAppOpening,6.0,
False,Europe/Berlin,1751487862.1191978,breathingExercise,instagram,openedApp,6.0,300.0
False,Europe/Berlin,1751488170.7449,,instagram,closedApp,,
False,Europe/Berlin,1751488428.665759,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751489009.62064,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751489056.6642609,breathingExercise,tikTok,openedApp,6.0,
False,Europe/Berlin,1751489413.001874,,tikTok,closedApp,,
False,Europe/Berlin,1751489427.309812,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751489779.687407,,youtube,closedApp,,
False,Europe/Berlin,1751490404.4036431,,youtube,closedApp,,
False,Europe/Berlin,1751522526.241293,breathingExercise,instagram,openedApp,6.0,240.0
False,Europe/Berlin,1751522681.519606,,instagram,closedApp,,
False,Europe/Berlin,1751523105.533567,breathingExercise,instagram,openedApp,6.0,360.0
False,Europe/Berlin,1751523231.632838,,instagram,closedApp,,
False,Europe/Berlin,1751530137.788506,breathingExercise,instagram,openedApp,6.0,60.0
False,Europe/Berlin,1751530185.5085812,,instagram,closedApp,,
False,Europe/Berlin,1751530251.483406,,instagram,closedApp,,
False,Europe/Berlin,1751539310.535701,breathingExercise,instagram,openedApp,6.0,360.0
False,Europe/Berlin,1751539460.675318,,instagram,closedApp,,
False,Europe/Berlin,1751539537.444252,,instagram,closedApp,,
False,Europe/Berlin,1751539560.640091,,instagram,closedApp,,
False,Europe/Berlin,1751539652.718615,,instagram,closedApp,,
False,Europe/Berlin,1751540934.245407,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751540955.573111,breathingExercise,instagram,openedApp,6.0,540.0
False,Europe/Berlin,1751541002.696594,,instagram,closedApp,,
False,Europe/Berlin,1751545100.23075,breathingExercise,instagram,openedApp,6.0,360.0
False,Europe/Berlin,1751545304.81669,,instagram,closedApp,,
False,Europe/Berlin,1751545402.015414,,instagram,closedApp,,
False,Europe/Berlin,1751555405.835857,breathingExercise,instagram,openedApp,6.0,1260.0
False,Europe/Berlin,1751555547.4100618,,instagram,closedApp,,
False,Europe/Berlin,1751556354.1699018,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751564885.56655,breathingExercise,instagram,openedApp,6.0,840.0
False,Europe/Berlin,1751564961.37305,,instagram,closedApp,,
False,Europe/Berlin,1751567741.78533,breathingExercise,instagram,openedApp,6.0,900.0
False,Europe/Berlin,1751567948.807994,,instagram,closedApp,,
False,Europe/Berlin,1751580034.845815,breathingExercise,instagram,openedApp,6.0,300.0
False,Europe/Berlin,1751580174.498852,,instagram,closedApp,,
False,Europe/Berlin,1751616049.214292,breathingExercise,instagram,openedApp,6.0,480.0
False,Europe/Berlin,1751616315.1091251,,instagram,closedApp,,
False,Europe/Berlin,1751616373.744617,breathingExercise,tikTok,openedApp,6.0,
False,Europe/Berlin,1751616446.994204,,tikTok,closedApp,,
False,Europe/Berlin,1751616732.4697518,,tikTok,closedApp,,
False,Europe/Berlin,1751621357.306171,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751621548.125109,breathingExercise,instagram,openedApp,6.0,780.0
False,Europe/Berlin,1751621716.1445231,,instagram,closedApp,,
False,Europe/Berlin,1751621835.004401,,instagram,closedApp,,
False,Europe/Berlin,1751622011.46111,,instagram,closedApp,,
False,Europe/Berlin,1751622204.082213,,instagram,closedApp,,
False,Europe/Berlin,1751626772.1289759,breathingExercise,instagram,openedApp,6.0,360.0
False,Europe/Berlin,1751626881.8557339,,instagram,closedApp,,
False,Europe/Berlin,1751628284.636898,,instagram,closedApp,,
False,Europe/Berlin,1751628315.350857,,instagram,closedApp,,
False,Europe/Berlin,1751641637.2368898,breathingExercise,instagram,openedApp,6.0,720.0
False,Europe/Berlin,1751641677.8932319,,instagram,closedApp,,
False,Europe/Berlin,1751643916.8264709,,instagram,closedApp,,
False,Europe/Berlin,1751646071.2057061,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751646089.673287,breathingExercise,instagram,openedApp,6.0,420.0
False,Europe/Berlin,1751646170.393523,breathingExercise,linkedin,openedApp,6.0,
False,Europe/Berlin,1751646140.4275532,,instagram,closedApp,,
False,Europe/Berlin,1751646185.987368,,linkedin,closedApp,,
False,Europe/Berlin,1751657687.365384,breathingExercise,instagram,openedApp,6.0,540.0
False,Europe/Berlin,1751657827.90339,,instagram,closedApp,,
False,Europe/Berlin,1751658947.080491,breathingExercise,instagram,openedApp,6.0,180.0
False,Europe/Berlin,1751658967.43067,,instagram,closedApp,,
False,Europe/Berlin,1751660926.353448,breathingExercise,instagram,openedApp,6.0,600.0
False,Europe/Berlin,1751660996.598278,,instagram,closedApp,,
False,Europe/Berlin,1751666921.9120622,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751667376.1292992,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751714425.6066499,breathingExercise,instagram,openedApp,6.0,180.0
False,Europe/Berlin,1751714480.066169,,instagram,closedApp,,
False,Europe/Berlin,1751717175.789277,breathingExercise,instagram,openedApp,6.0,660.0
False,Europe/Berlin,1751717265.8029861,,instagram,closedApp,,
False,Europe/Berlin,1751717284.969933,breathingExercise,tikTok,openedApp,6.0,
False,Europe/Berlin,1751717852.568546,,tikTok,closedApp,,
False,Europe/Berlin,1751717875.099654,,tikTok,closedApp,,
False,Europe/Berlin,1751721631.528095,breathingExercise,instagram,openedApp,6.0,720.0
False,Europe/Berlin,1751721652.8988528,,instagram,closedApp,,
False,Europe/Berlin,1751723553.1767359,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751723697.222647,,youtube,closedApp,,
False,Europe/Berlin,1751723817.916667,,youtube,closedApp,,
False,Europe/Berlin,1751724350.3811831,,youtube,closedApp,,
False,Europe/Berlin,1751724458.669404,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751726186.689563,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751730801.330371,breathingExercise,instagram,openedApp,6.0,480.0
False,Europe/Berlin,1751730836.1140928,,instagram,closedApp,,
False,Europe/Berlin,1751731286.482718,,instagram,closedApp,,
False,Europe/Berlin,1751735929.085466,breathingExercise,instagram,openedApp,6.0,60.0
False,Europe/Berlin,1751736121.520008,,instagram,closedApp,,
False,Europe/Berlin,1751739078.650253,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751739208.6526,,youtube,closedApp,,
False,Europe/Berlin,1751739381.825135,,youtube,closedApp,,
False,Europe/Berlin,1751739402.1365972,breathingExercise,instagram,openedApp,6.0,720.0
False,Europe/Berlin,1751739538.6645598,,instagram,closedApp,,
False,Europe/Berlin,1751741976.8528519,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751742004.543486,,youtube,closedApp,,
False,Europe/Berlin,1751742016.821612,,youtube,closedApp,,
False,Europe/Berlin,1751788813.881075,breathingExercise,instagram,openedApp,6.0,660.0
False,Europe/Berlin,1751788975.32008,,instagram,closedApp,,
False,Europe/Berlin,1751789646.2425442,,instagram,closedApp,,
False,Europe/Berlin,1751789679.37823,,instagram,closedApp,,
False,Europe/Berlin,1751791813.0101218,breathingExercise,instagram,openedApp,6.0,60.0
False,Europe/Berlin,1751791845.221303,,instagram,closedApp,,
False,Europe/Berlin,1751791997.7612119,,instagram,closedApp,,
False,Europe/Berlin,1751800303.4797912,breathingExercise,instagram,openedApp,6.0,60.0
True,Europe/Berlin,1751800388.5565848,breathingExercise,instagram,openedApp,6.0,240.0
False,Europe/Berlin,1751800376.167902,,instagram,closedApp,,
False,Europe/Berlin,1751800513.1532722,,instagram,closedApp,,
False,Europe/Berlin,1751802026.000276,breathingExercise,instagram,openedApp,6.0,900.0
False,Europe/Berlin,1751802263.6047769,breathingExercise,instagram,openedApp,6.0,660.0
False,Europe/Berlin,1751802548.7286382,,instagram,closedApp,,
False,Europe/Berlin,1751805523.2893128,breathingExercise,instagram,openedApp,6.0,540.0
False,Europe/Berlin,1751806058.738786,,instagram,closedApp,,
False,Europe/Berlin,1751814853.232765,breathingExercise,instagram,openedApp,6.0,600.0
False,Europe/Berlin,1751815000.333595,,instagram,closedApp,,
False,Europe/Berlin,1751815489.041051,,instagram,closedApp,,
False,Europe/Berlin,1751822414.4369369,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751827296.287123,breathingExercise,instagram,openedApp,6.0,60.0
False,Europe/Berlin,1751827311.919218,,instagram,closedApp,,
False,Europe/Berlin,1751827396.940911,,instagram,closedApp,,
True,Europe/Berlin,1751827591.838526,breathingExercise,instagram,openedApp,6.0,660.0
False,Europe/Berlin,1751827579.1296659,,instagram,closedApp,,
False,Europe/Berlin,1751827653.2354112,,instagram,closedApp,,
False,Europe/Berlin,1751828347.45122,breathingExercise,instagram,dismissedAppOpening,6.0,
False,Europe/Berlin,1751828599.440305,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751828714.703205,,youtube,closedApp,,
False,Europe/Berlin,1751831338.844572,breathingExercise,instagram,openedApp,6.0,420.0
False,Europe/Berlin,1751831403.5115771,,instagram,closedApp,,
False,Europe/Berlin,1751831878.6878052,breathingExercise,youtube,dismissedAppOpening,6.0,
False,Europe/Berlin,1751833423.630357,breathingExercise,youtube,openedApp,6.0,
False,Europe/Berlin,1751833546.998096,,youtube,closedApp,,
False,Europe/Berlin,1751833841.939608,breathingExercise,instagram,openedApp,6.0,300.0
True,Europe/Berlin,1751834163.5421891,breathingExercise,instagram,openedApp,6.0,540.0
False,Europe/Berlin,1751834151.416026,,instagram,closedApp,,
False,Europe/Berlin,1751834209.53518,,instagram,closedApp,,
