interventionDuration,app,timestamp,timezone,resolution,isReIntervention,interventionType,timeIntervalUntilReIntervention
,instagram,1752878152.66496,Europe/London,closedApp,False,,
6.0,instagram,1752884244.299642,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752884406.8745399,Europe/London,openedApp,False,breathingExercise,300.0
,instagram,1752884712.983747,Europe/London,closedApp,False,,
6.0,instagram,1752917438.0729241,Europe/London,openedApp,False,breathingExercise,180.0
,instagram,1752917489.5733309,Europe/London,closedApp,False,,
6.0,instagram,1752917499.400924,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752917501.4547548,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752940360.84951,Europe/London,openedApp,False,breathingExercise,360.0
,instagram,1752940494.5189672,Europe/London,closedApp,False,,
6.0,instagram,1752940607.957277,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1752957649.8964581,Europe/London,openedApp,False,breathingExercise,360.0
,instagram,1752957711.442697,Europe/London,closedApp,False,,
6.0,instagram,1752997487.519695,Europe/London,openedApp,False,breathingExercise,420.0
,instagram,1752997914.7553039,Europe/London,closedApp,False,,
6.0,instagram,1753042127.646914,Europe/London,openedApp,False,breathingExercise,300.0
,instagram,1753042158.357777,Europe/London,closedApp,False,,
,instagram,1753042319.676738,Europe/London,closedApp,False,,
6.0,instagram,1753047189.9849172,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753047212.2923179,Europe/London,openedApp,False,breathingExercise,240.0
,instagram,1753047457.543273,Europe/London,closedApp,False,,
6.0,instagram,1753086224.900748,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753086247.8249202,Europe/London,openedApp,False,breathingExercise,120.0
,instagram,1753086340.8322802,Europe/London,closedApp,False,,
6.0,instagram,1753113943.446984,Europe/London,openedApp,False,breathingExercise,240.0
,instagram,1753114059.980098,Europe/London,closedApp,False,,
6.0,instagram,1753130329.959249,Europe/London,openedApp,False,breathingExercise,240.0
,instagram,1753130380.1630821,Europe/London,closedApp,False,,
6.0,instagram,1753131324.90831,Europe/London,openedApp,False,breathingExercise,360.0
,instagram,1753131338.801845,Europe/London,closedApp,False,,
6.0,instagram,1753131392.903702,Europe/London,openedApp,False,breathingExercise,420.0
,instagram,1753131454.2318969,Europe/London,closedApp,False,,
6.0,instagram,1753171272.1175818,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753171291.509808,Europe/London,openedApp,False,breathingExercise,300.0
,instagram,1753171600.104041,Europe/London,closedApp,False,,
6.0,instagram,1753185146.3663669,Europe/London,openedApp,False,breathingExercise,240.0
,instagram,1753185390.453835,Europe/London,closedApp,False,,
6.0,instagram,1753218385.2712588,Europe/London,openedApp,False,breathingExercise,360.0
,instagram,1753218407.974839,Europe/London,closedApp,False,,
6.0,instagram,1753218445.507999,Europe/London,openedApp,False,breathingExercise,540.0
,instagram,1753218992.304733,Europe/London,closedApp,False,,
6.0,instagram,1753223054.611648,Europe/London,openedApp,False,breathingExercise,420.0
,instagram,1753223185.4654078,Europe/London,closedApp,False,,
6.0,instagram,1753223207.2398,Europe/London,openedApp,False,breathingExercise,420.0
,instagram,1753223638.546602,Europe/London,closedApp,False,,
6.0,instagram,1753258517.614684,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753258535.700118,Europe/London,openedApp,False,breathingExercise,300.0
,instagram,1753258616.9765291,Europe/London,closedApp,False,,
6.0,instagram,1753258693.873704,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753258696.5615,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753289865.811016,Europe/London,openedApp,False,breathingExercise,60.0
,instagram,1753289888.543813,Europe/London,closedApp,False,,
6.0,instagram,1753304530.2336779,Europe/London,openedApp,False,breathingExercise,300.0
,instagram,1753304552.380142,Europe/Madrid,closedApp,False,,
,instagram,1753304597.3920388,Europe/Madrid,closedApp,False,,
,instagram,1753304855.7893949,Europe/Madrid,closedApp,False,,
6.0,instagram,1753359818.851326,Europe/Madrid,openedApp,False,breathingExercise,420.0
,instagram,1753360248.4848762,Europe/Madrid,closedApp,False,,
6.0,instagram,1753360262.870513,Europe/Madrid,openedApp,True,breathingExercise,360.0
,instagram,1753360402.968112,Europe/Madrid,closedApp,False,,
6.0,instagram,1753370716.504006,Europe/Madrid,openedApp,False,breathingExercise,360.0
,instagram,1753371082.689698,Europe/Madrid,closedApp,False,,
6.0,instagram,1753371475.754885,Europe/Madrid,openedApp,False,breathingExercise,360.0
,instagram,1753371506.2909222,Europe/Madrid,closedApp,False,,
6.0,instagram,1753375295.082258,Europe/Madrid,openedApp,False,breathingExercise,360.0
6.0,instagram,1753375376.8403292,Europe/Madrid,openedApp,False,breathingExercise,420.0
,instagram,1753375801.521995,Europe/Madrid,closedApp,False,,
6.0,instagram,1753421400.6481419,Europe/Madrid,openedApp,False,breathingExercise,60.0
,instagram,1753421432.967413,Europe/Madrid,closedApp,False,,
6.0,instagram,1753424703.621128,Europe/Madrid,openedApp,False,breathingExercise,240.0
,instagram,1753424728.1825671,Europe/Madrid,closedApp,False,,
6.0,instagram,1753436359.0615082,Europe/Madrid,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753436394.045514,Europe/Madrid,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753478694.830065,Europe/Madrid,openedApp,False,breathingExercise,420.0
,instagram,1753479122.244753,Europe/Madrid,closedApp,False,,
6.0,instagram,1753479137.012985,Europe/Madrid,openedApp,True,breathingExercise,360.0
,instagram,1753479402.438342,Europe/Madrid,closedApp,False,,
6.0,instagram,1753531426.963917,Europe/Madrid,openedApp,False,breathingExercise,660.0
,instagram,1753531572.794097,Europe/Madrid,closedApp,False,,
,instagram,1753532120.605114,Europe/Madrid,closedApp,False,,
,instagram,1753533585.1017818,Europe/Madrid,closedApp,False,,
6.0,instagram,1753539364.902936,Europe/Madrid,openedApp,False,breathingExercise,300.0
,instagram,1753539670.9624329,Europe/Madrid,closedApp,False,,
6.0,instagram,1753539678.7586231,Europe/Madrid,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753563921.909616,Europe/Madrid,openedApp,False,breathingExercise,420.0
,instagram,1753564349.575249,Europe/Madrid,closedApp,False,,
6.0,instagram,1753617264.2423038,Europe/Madrid,openedApp,False,breathingExercise,420.0
,instagram,1753618181.4125118,Europe/Madrid,closedApp,False,,
,instagram,1753619284.6722898,Europe/Madrid,closedApp,False,,
6.0,instagram,1753629914.726259,Europe/Madrid,openedApp,False,breathingExercise,420.0
,instagram,1753630341.750523,Europe/Madrid,closedApp,False,,
6.0,instagram,1753630356.317463,Europe/Madrid,openedApp,True,breathingExercise,420.0
,instagram,1753630778.1839309,Europe/Madrid,closedApp,False,,
6.0,instagram,1753646370.067415,Europe/Madrid,openedApp,False,breathingExercise,360.0
,instagram,1753646810.734379,Europe/Madrid,closedApp,False,,
,instagram,1753647641.788796,Europe/Madrid,closedApp,False,,
,instagram,1753647777.022591,Europe/Madrid,closedApp,False,,
6.0,instagram,1753693972.947052,Europe/Madrid,openedApp,False,breathingExercise,480.0
,instagram,1753694078.7177238,Europe/Madrid,closedApp,False,,
6.0,instagram,1753720683.2490149,Europe/Madrid,openedApp,False,breathingExercise,600.0
,instagram,1753721175.87802,Europe/Madrid,closedApp,False,,
,instagram,1753721311.204217,Europe/Madrid,closedApp,False,,
6.0,instagram,1753811253.250753,Europe/Madrid,openedApp,False,breathingExercise,420.0
,instagram,1753811307.075554,Europe/Madrid,closedApp,False,,
6.0,instagram,1753821026.549042,Europe/Madrid,openedApp,False,breathingExercise,480.0
,instagram,1753821512.431655,Europe/Madrid,closedApp,False,,
6.0,instagram,1753821528.815086,Europe/Madrid,openedApp,True,breathingExercise,720.0
,instagram,1753822174.481849,Europe/Madrid,closedApp,False,,
6.0,instagram,1753822186.255587,Europe/Madrid,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753868305.339158,Europe/Madrid,openedApp,False,breathingExercise,540.0
,instagram,1753868661.0063992,Europe/Madrid,closedApp,False,,
,instagram,1753868673.513012,Europe/Madrid,closedApp,False,,
6.0,instagram,1753871255.742598,Europe/Madrid,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753904675.249157,Europe/Madrid,openedApp,False,breathingExercise,420.0
,instagram,1753904772.7084332,Europe/Madrid,closedApp,False,,
6.0,instagram,1753904811.839872,Europe/Madrid,openedApp,False,breathingExercise,480.0
,instagram,1753905053.1192589,Europe/Madrid,closedApp,False,,
6.0,instagram,1753905189.2672129,Europe/Madrid,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753934270.9569669,Europe/Madrid,openedApp,False,breathingExercise,420.0
6.0,instagram,1753934691.379212,Europe/Madrid,dismissedAppOpening,False,breathingExercise,
,instagram,1753934349.417742,Europe/Paris,closedApp,False,,
6.0,instagram,1753940691.198854,Europe/Paris,openedApp,False,breathingExercise,540.0
,instagram,1753941031.1399221,Europe/Paris,closedApp,False,,
6.0,instagram,1753942950.7100348,Europe/Paris,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753957240.598195,Europe/London,openedApp,False,breathingExercise,60.0
,instagram,1753957306.839137,Europe/London,closedApp,False,,
6.0,instagram,1753957311.49502,Europe/London,dismissedAppOpening,True,breathingExercise,
6.0,instagram,1753957338.709615,Europe/London,openedApp,False,breathingExercise,540.0
,instagram,1753957373.2592049,Europe/London,closedApp,False,,
6.0,instagram,1753958005.223989,Europe/London,openedApp,False,breathingExercise,300.0
,instagram,1753958112.389093,Europe/London,closedApp,False,,
6.0,instagram,1753958141.3537412,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753959714.2615762,Europe/London,openedApp,False,breathingExercise,300.0
,instagram,1753959787.271123,Europe/London,closedApp,False,,
,instagram,1753959895.438044,Europe/London,closedApp,False,,
6.0,instagram,1753960804.753807,Europe/London,openedApp,False,breathingExercise,360.0
,instagram,1753960827.3874211,Europe/London,closedApp,False,,
6.0,instagram,1753960851.337185,Europe/London,openedApp,False,breathingExercise,720.0
,instagram,1753961157.3585181,Europe/London,closedApp,False,,
6.0,instagram,1753978512.464141,Europe/London,openedApp,False,breathingExercise,780.0
,instagram,1753978651.274344,Europe/London,closedApp,False,,
,instagram,1753978805.000731,Europe/London,closedApp,False,,
6.0,instagram,1753980527.018149,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753981830.193912,Europe/London,openedApp,False,breathingExercise,300.0
,instagram,1753982031.5054069,Europe/London,closedApp,False,,
6.0,instagram,1753982068.1954021,Europe/London,openedApp,False,breathingExercise,480.0
,instagram,1753982095.175037,Europe/London,closedApp,False,,
6.0,instagram,1753982110.932713,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1753998598.099691,Europe/London,openedApp,False,breathingExercise,360.0
,instagram,1753998964.417839,Europe/London,closedApp,False,,
6.0,instagram,1754033604.471716,Europe/London,openedApp,False,breathingExercise,300.0
,instagram,1754033626.19939,Europe/London,closedApp,False,,
6.0,instagram,1754033746.127656,Europe/London,openedApp,False,breathingExercise,540.0
,instagram,1754034254.434101,Europe/London,closedApp,False,,
6.0,instagram,1754075083.1713061,Europe/London,openedApp,False,breathingExercise,420.0
6.0,instagram,1754079585.5667639,Europe/London,dismissedAppOpening,False,breathingExercise,
,instagram,1754075479.751342,Europe/London,closedApp,False,,
6.0,instagram,1754080457.385494,Europe/London,openedApp,False,breathingExercise,480.0
,instagram,1754080527.743184,Europe/London,closedApp,False,,
,instagram,1754080609.998488,Europe/London,closedApp,False,,
6.0,instagram,1754084545.9934602,Europe/London,openedApp,False,breathingExercise,480.0
,instagram,1754084626.171794,Europe/London,closedApp,False,,
6.0,instagram,1754085811.407185,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1754085829.2285461,Europe/London,openedApp,False,breathingExercise,420.0
,instagram,1754085899.8284879,Europe/London,closedApp,False,,
6.0,instagram,1754085922.3609638,Europe/London,openedApp,False,breathingExercise,540.0
,instagram,1754085969.089023,Europe/London,closedApp,False,,
6.0,instagram,1754137959.545391,Europe/London,openedApp,False,breathingExercise,360.0
,instagram,1754138235.829495,Europe/London,closedApp,False,,
,instagram,1754138330.472126,Europe/London,closedApp,False,,
6.0,instagram,1754151449.181272,Europe/London,openedApp,False,breathingExercise,900.0
6.0,instagram,1754168865.0582519,Europe/London,dismissedAppOpening,False,breathingExercise,
,instagram,1754151670.8280082,Europe/London,closedApp,False,,
,instagram,1754151703.067226,Europe/London,closedApp,False,,
6.0,instagram,1754168883.3864322,Europe/London,openedApp,False,breathingExercise,360.0
,instagram,1754169214.6571012,Europe/London,closedApp,False,,
6.0,instagram,1754205491.6785002,Europe/London,openedApp,False,breathingExercise,480.0
,instagram,1754205977.0102549,Europe/London,closedApp,False,,
6.0,instagram,1754225589.418519,Europe/London,openedApp,False,breathingExercise,540.0
,instagram,1754225838.016024,Europe/London,closedApp,False,,
6.0,instagram,1754247967.612668,Europe/London,openedApp,False,breathingExercise,540.0
,instagram,1754248053.343885,Europe/London,closedApp,False,,
6.0,instagram,1754248377.152659,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1754259305.25884,Europe/London,openedApp,False,breathingExercise,780.0
,instagram,1754259863.559057,Europe/London,closedApp,False,,
6.0,instagram,1754301248.756559,Europe/London,openedApp,False,breathingExercise,480.0
,instagram,1754301445.620502,Europe/London,closedApp,False,,
6.0,instagram,1754334525.994374,Europe/London,openedApp,False,breathingExercise,660.0
,instagram,1754334596.93882,Europe/London,closedApp,False,,
6.0,instagram,1754335589.4626641,Europe/London,openedApp,False,breathingExercise,720.0
,instagram,1754335868.846984,Europe/London,closedApp,False,,
6.0,instagram,1754335889.6596289,Europe/London,openedApp,False,breathingExercise,420.0
,instagram,1754336033.003149,Europe/London,closedApp,False,,
6.0,instagram,1754336873.7657552,Europe/London,openedApp,False,breathingExercise,720.0
,instagram,1754336946.473321,Europe/London,closedApp,False,,
,instagram,1754337171.66694,Europe/London,closedApp,False,,
6.0,instagram,1754338771.461513,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1754338794.169205,Europe/London,openedApp,False,breathingExercise,480.0
,instagram,1754338901.2205,Europe/London,closedApp,False,,
6.0,instagram,1754376146.534723,Europe/London,openedApp,False,breathingExercise,540.0
,instagram,1754376692.156456,Europe/London,closedApp,False,,
6.0,instagram,1754376707.417265,Europe/London,openedApp,True,breathingExercise,660.0
,instagram,1754377534.648013,Europe/London,closedApp,False,,
6.0,instagram,1754383571.1078792,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1754383573.648812,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1754383577.358677,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1754383959.240438,Europe/London,openedApp,False,breathingExercise,840.0
6.0,instagram,1754384073.733244,Europe/London,openedApp,False,breathingExercise,480.0
,instagram,1754384148.795795,Europe/London,closedApp,False,,
6.0,instagram,1754384242.699343,Europe/London,openedApp,False,breathingExercise,660.0
,instagram,1754384279.0984058,Europe/London,closedApp,False,,
6.0,instagram,1754395803.2860708,Europe/London,openedApp,False,breathingExercise,780.0
,instagram,1754395973.825213,Europe/London,closedApp,False,,
6.0,instagram,1754399475.0688949,Europe/London,openedApp,False,breathingExercise,240.0
,instagram,1754399583.806099,Europe/London,closedApp,False,,
6.0,instagram,1754412798.327965,Europe/London,openedApp,False,breathingExercise,420.0
,instagram,1754412839.5383139,Europe/London,closedApp,False,,
6.0,instagram,1754426515.6787071,Europe/London,dismissedAppOpening,False,breathingExercise,
6.0,instagram,1754426535.110992,Europe/London,openedApp,False,breathingExercise,360.0
