resolution,interventionType,interventionDuration,purpose,isReIntervention,timezone,app,timestamp,timeIntervalUntilReIntervention
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749820076.3454041,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749820374.4844542,
openedApp,breathingExercise,6.0,Chris,False,Europe/London,instagram,1749825411.327032,180.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749832609.67135,
openedApp,breathingExercise,6.0,check,False,Europe/London,facebook,1749840496.2257981,120.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,facebook,1749841002.98383,
openedApp,breathingExercise,6.0,reply,False,Europe/London,instagram,1749842851.172247,60.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1749842930.009356,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1749842949.722935,180.0
openedApp,breathingExercise,6.0,cherry,False,Europe/London,instagram,1749854010.826127,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,facebook,1749856479.791829,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1749878318.304439,180.0
openedApp,breathingExercise,6.0,corgi,False,Europe/London,facebook,1749893503.721899,180.0
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1749903473.3555322,300.0
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1749903580.6993341,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749903700.083297,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1749903834.18582,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749903982.999393,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1749904000.602047,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1749927084.593188,
openedApp,breathingExercise,6.0,church,False,Africa/Algiers,instagram,1749964519.392552,180.0
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1749966224.048563,180.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,facebook,1750002083.0394258,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,facebook,1750002105.129029,180.0
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750003685.6814198,180.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750015476.522472,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750017430.9703789,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750037773.89025,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750037839.850978,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,instagram,1750038153.2026172,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750038178.598706,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750038570.0481238,180.0
openedApp,breathingExercise,6.0,church,True,Africa/Algiers,instagram,1750038776.007716,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750039139.7759418,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750039169.8032,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750041464.0179949,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750041466.752733,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750047522.991538,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,instagram,1750060467.81642,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,instagram,1750060476.831286,
openedApp,breathingExercise,6.0,church,False,Africa/Tunis,instagram,1750069188.110775,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,facebook,1750085835.177794,
openedApp,breathingExercise,6.0,continue,False,Africa/Tunis,facebook,1750085858.073741,180.0
openedApp,breathingExercise,6.0,church,False,Africa/Tunis,instagram,1750089277.931133,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,instagram,1750093016.7975159,
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750093041.076448,300.0
openedApp,breathingExercise,6.0,cherry,False,Africa/Tunis,instagram,1750093732.042142,300.0
openedApp,breathingExercise,6.0,post,False,Africa/Tunis,instagram,1750100257.954963,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750100561.820174,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750102695.848301,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750103029.709218,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750144827.811053,240.0
openedApp,breathingExercise,6.0,Curry,False,Africa/Tunis,instagram,1750145345.9741411,180.0
openedApp,breathingExercise,6.0,curry,False,Africa/Tunis,instagram,1750151844.914593,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,instagram,1750152238.135052,
openedApp,breathingExercise,6.0,check ,False,Africa/Tunis,instagram,1750163662.2629619,300.0
openedApp,breathingExercise,6.0, heck ,True,Africa/Tunis,instagram,1750163986.398933,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750174048.891325,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750177122.963251,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750178273.671534,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,instagram,1750178586.047337,
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750189577.1840029,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,instagram,1750193402.543464,
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750227929.7269402,300.0
openedApp,breathingExercise,6.0,Chevy,True,Africa/Tunis,instagram,1750228259.112767,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750241866.1317601,300.0
openedApp,breathingExercise,6.0,corgi,False,Africa/Tunis,instagram,1750318353.3992062,300.0
openedApp,breathingExercise,6.0,church,True,Africa/Tunis,instagram,1750318685.332158,240.0
openedApp,breathingExercise,6.0,check,True,Africa/Tunis,instagram,1750318956.554687,120.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,facebook,1750329291.430013,180.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,instagram,1750342736.148289,
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750342780.004908,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750343811.27331,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,feeld,1750349046.746037,
openedApp,breathingExercise,6.0,corgi,False,Africa/Tunis,bumble,1750349066.491859,
openedApp,breathingExercise,6.0,correct,False,Africa/Tunis,feeld,1750349591.558712,
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,bumble,1750349744.098487,
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,feeld,1750350218.949533,
openedApp,breathingExercise,6.0,cherry,False,Africa/Tunis,bumble,1750354178.893661,
openedApp,breathingExercise,6.0,Chevy,False,Africa/Tunis,bumble,1750360248.66471,
dismissedAppOpening,journaling,,,False,Africa/Tunis,bumble,1750377009.614753,
openedApp,breathingExercise,6.0,Chevy,False,Africa/Tunis,bumble,1750378413.5461211,
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750401814.3148088,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750418188.914249,300.0
openedApp,breathingExercise,6.0,church,False,Africa/Tunis,instagram,1750439357.1954908,180.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,instagram,1750439606.894634,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,instagram,1750441497.794162,
openedApp,breathingExercise,6.0,Chris,False,Africa/Tunis,facebook,1750494591.816181,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,instagram,1750504156.9732962,
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750524368.914638,300.0
openedApp,breathingExercise,6.0,Chris,False,Africa/Tunis,instagram,1750524730.346939,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750525097.2546391,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750526346.134129,60.0
openedApp,breathingExercise,6.0,church,False,Africa/Tunis,instagram,1750574133.893285,180.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750574605.138341,240.0
openedApp,breathingExercise,6.0,Chevy,True,Africa/Tunis,facebook,1750574873.38826,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750575238.2658172,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750586517.860071,300.0
openedApp,breathingExercise,6.0,Cisco,True,Africa/Tunis,instagram,1750586860.716672,300.0
openedApp,breathingExercise,6.0,check,True,Africa/Tunis,instagram,1750587238.922096,300.0
openedApp,breathingExercise,6.0,check,True,Africa/Tunis,instagram,1750587578.034824,300.0
openedApp,breathingExercise,6.0,visit,False,Africa/Tunis,instagram,1750590258.335465,300.0
openedApp,breathingExercise,6.0,Curry,False,Africa/Tunis,instagram,1750591009.255734,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750596292.0863461,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Tunis,instagram,1750601598.690618,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Tunis,facebook,1750601956.814066,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Tunis,instagram,1750601983.010129,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750609976.759588,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750610034.017015,
openedApp,breathingExercise,6.0,c'est,False,Africa/Algiers,instagram,1750610212.484477,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750610531.099432,
openedApp,breathingExercise,6.0,Check,False,Africa/Algiers,instagram,1750610548.432322,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750613565.523433,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750613583.754187,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750613901.319881,
openedApp,breathingExercise,6.0,ciao,False,Africa/Algiers,instagram,1750613920.7519789,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750614263.1807961,300.0
openedApp,breathingExercise,6.0,credit,False,Africa/Algiers,instagram,1750614691.067272,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750618612.411011,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750618616.301258,
openedApp,breathingExercise,6.0,دا,False,Africa/Algiers,instagram,1750618634.3891969,300.0
openedApp,breathingExercise,6.0,church,False,Africa/Algiers,instagram,1750633689.630269,300.0
openedApp,breathingExercise,6.0,chéri,False,Africa/Algiers,instagram,1750634019.6411119,300.0
openedApp,breathingExercise,6.0,check,True,Africa/Algiers,instagram,1750634344.4544291,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750635237.583798,300.0
openedApp,breathingExercise,6.0,currently,False,Africa/Algiers,instagram,1750658598.936574,300.0
openedApp,breathingExercise,6.0,cherry,False,Africa/Algiers,instagram,1750683377.8592381,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750683775.3258839,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750683777.453846,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,facebook,1750685253.99313,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750690327.131989,
openedApp,breathingExercise,6.0,Chris,False,Africa/Algiers,facebook,1750750980.1222548,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750777932.6104798,
openedApp,breathingExercise,6.0,church,False,Africa/Algiers,instagram,1750777967.066296,300.0
openedApp,breathingExercise,6.0,check,True,Africa/Algiers,instagram,1750778555.395005,300.0
openedApp,breathingExercise,6.0,Bush,True,Africa/Algiers,instagram,1750778879.148302,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750784857.493057,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,facebook,1750788665.062155,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750792474.0347872,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750814234.639011,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750814253.77569,180.0
openedApp,breathingExercise,6.0,very,False,Africa/Algiers,instagram,1750814457.765629,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,facebook,1750839671.628718,120.0
openedApp,breathingExercise,6.0,Check,False,Africa/Algiers,instagram,1750850803.128695,300.0
openedApp,breathingExercise,6.0,church,False,Africa/Algiers,instagram,1750864105.824239,240.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750871730.759754,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750872526.473373,300.0
openedApp,breathingExercise,6.0,Chevy,True,Africa/Algiers,instagram,1750872849.002531,300.0
openedApp,breathingExercise,6.0,crews,True,Africa/Algiers,instagram,1750873166.256596,180.0
openedApp,breathingExercise,6.0,CEO,True,Africa/Algiers,instagram,1750873362.9970698,180.0
openedApp,breathingExercise,6.0,v,True,Africa/Algiers,instagram,1750873560.111661,60.0
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750881618.389713,300.0
openedApp,breathingExercise,6.0,check,True,Africa/Algiers,instagram,1750881936.7350578,300.0
openedApp,breathingExercise,6.0,Chen,True,Africa/Algiers,instagram,1750898537.0025191,300.0
openedApp,breathingExercise,6.0,cutest,False,Africa/Algiers,instagram,1750921962.008493,240.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750922766.7313619,
openedApp,breathingExercise,6.0,ceci,False,Africa/Algiers,instagram,1750922787.460345,300.0
openedApp,breathingExercise,6.0,Cuzco,False,Africa/Algiers,instagram,1750933527.799957,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750933854.507237,
openedApp,breathingExercise,6.0,chéri,False,Africa/Algiers,instagram,1750933873.313247,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750934180.634902,
openedApp,breathingExercise,6.0,c'est,False,Africa/Algiers,instagram,1750934198.589385,300.0
openedApp,breathingExercise,6.0,cherche,False,Africa/Algiers,instagram,1750934971.565061,300.0
openedApp,breathingExercise,6.0,Chevy,False,Africa/Algiers,instagram,1750936036.2376971,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750936350.220154,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750936367.659333,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750937030.5037751,
openedApp,breathingExercise,6.0,credit,False,Africa/Algiers,instagram,1750937118.812845,300.0
openedApp,breathingExercise,6.0,church,False,Africa/Algiers,instagram,1750947689.848829,300.0
openedApp,breathingExercise,6.0,cute,False,Africa/Algiers,instagram,1750956872.900772,60.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1750957600.891391,
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1750957624.789931,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750957941.867375,
openedApp,breathingExercise,6.0,chef,False,Africa/Algiers,instagram,1750957967.055367,180.0
openedApp,breathingExercise,6.0,Check,False,Africa/Algiers,instagram,1750959160.804851,300.0
openedApp,breathingExercise,6.0,Chris,False,Africa/Algiers,instagram,1750961222.164806,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750961547.739804,
openedApp,breathingExercise,6.0,Check,False,Africa/Algiers,instagram,1750961574.656114,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750961951.740519,
openedApp,breathingExercise,6.0,creed,False,Africa/Algiers,instagram,1750961968.500516,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750962323.0182781,
openedApp,breathingExercise,6.0,cucu,False,Africa/Algiers,instagram,1750962340.82774,300.0
openedApp,breathingExercise,6.0,c,False,Africa/Algiers,instagram,1750964593.230972,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,facebook,1750964906.536139,
openedApp,breathingExercise,6.0,chef,False,Africa/Algiers,instagram,1750964923.998444,300.0
openedApp,breathingExercise,6.0,check,False,Africa/Algiers,instagram,1751016110.502852,240.0
openedApp,breathingExercise,6.0,ch,False,Africa/Algiers,instagram,1751031642.997268,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,facebook,1751034544.660536,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1751034548.786722,
openedApp,breathingExercise,6.0,CT,False,Africa/Algiers,instagram,1751043032.7536778,120.0
dismissedAppOpening,breathingExercise,6.0,,True,Africa/Algiers,instagram,1751043160.095644,
openedApp,breathingExercise,6.0,cute,False,Africa/Algiers,instagram,1751043176.845938,180.0
openedApp,breathingExercise,6.0,lessage ali ,False,Africa/Algiers,instagram,1751051611.918736,60.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1751053017.518858,
openedApp,breathingExercise,6.0,cherry,False,Africa/Algiers,instagram,1751053036.2485309,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1751054798.893389,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1751092538.297018,
dismissedAppOpening,breathingExercise,6.0,,False,Africa/Algiers,instagram,1751092542.0678859,
openedApp,breathingExercise,6.0,church,False,Africa/Algiers,facebook,1751096613.595598,300.0
closedApp,,,,False,Africa/Algiers,youtube,1751096873.708554,
openedApp,breathingExercise,6.0,church,False,Africa/Algiers,facebook,1751097046.239853,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751139421.8413138,
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751149365.081553,
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1751149386.04847,240.0
openedApp,breathingExercise,6.0,CBS,False,Europe/London,instagram,1751190175.262743,180.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751191166.534474,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751200393.742907,300.0
openedApp,breathingExercise,6.0,C,False,Europe/London,instagram,1751208138.961328,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751208455.001278,
openedApp,breathingExercise,6.0,check,False,Europe/London,instagram,1751208472.064546,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,facebook,1751211309.6793962,
openedApp,breathingExercise,6.0,CBS,False,Europe/London,instagram,1751212349.248241,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751212662.2091122,
openedApp,breathingExercise,6.0,but,False,Europe/London,instagram,1751212679.489569,300.0
openedApp,breathingExercise,6.0,coco,False,Europe/London,facebook,1751215814.3681479,300.0
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,facebook,1751216359.361497,
dismissedAppOpening,breathingExercise,6.0,,False,Europe/London,instagram,1751216909.5212579,
openedApp,breathingExercise,6.0,coco,True,Europe/London,instagram,1751242900.399533,300.0
openedApp,breathingExercise,6.0,CT,False,Europe/London,instagram,1751266101.920271,180.0
openedApp,breathingExercise,6.0,cute,False,Europe/London,instagram,1751269506.437695,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751269833.0672212,
openedApp,breathingExercise,6.0,cute,False,Europe/London,instagram,1751269849.342332,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751270158.1101441,
openedApp,breathingExercise,6.0,ce,False,Europe/London,instagram,1751270175.164891,300.0
openedApp,breathingExercise,6.0,Dr,False,Europe/London,instagram,1751271050.5995579,120.0
openedApp,breathingExercise,6.0,de,False,Europe/London,instagram,1751271310.752501,120.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751271442.336376,
openedApp,breathingExercise,6.0,Chen,False,Europe/London,instagram,1751276342.2400599,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751276702.117538,
openedApp,breathingExercise,6.0,chef,False,Europe/London,instagram,1751276717.9124088,300.0
dismissedAppOpening,breathingExercise,6.0,,True,Europe/London,facebook,1751277029.153082,
openedApp,breathingExercise,6.0,church,False,Europe/London,instagram,1751277044.7227979,300.0
