interventionType,timestamp,interventionDuration,isReIntervention,resolution,app,timezone
breathingExercise,1751466312.116898,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751466749.509265,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751480505.146617,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751483287.160774,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751494148.35555,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751494291.899833,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751494315.4053612,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751494384.3319721,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751495169.9479542,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751496288.815205,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751496623.612712,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751520637.270626,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751544834.598134,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751545826.837137,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751547423.425555,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751552135.534061,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751553377.457182,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751553392.6092958,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751553621.977128,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751554123.9577441,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751560610.901906,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751573639.421149,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751573820.228245,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751573899.1085129,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751573994.7693381,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751574012.417681,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751574427.434691,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751575680.0600948,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751576199.5188031,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751576202.365741,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751576204.5609,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751577979.80865,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751578050.66955,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751578749.5939379,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751605198.5204291,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751613320.632304,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751617771.4131532,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751618577.569562,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751623883.992449,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751626893.403019,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751629070.019609,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751630516.958837,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751630820.499047,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751635510.631455,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751635582.214246,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751635611.878069,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751637475.321869,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751638312.447225,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751638386.996358,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751639408.6804662,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751639590.922593,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751640494.7924008,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751641589.901041,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751641937.181262,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751642537.5711532,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751643559.286594,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751648240.0890012,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751648255.240141,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751649441.1478071,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751659798.355402,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751720009.353616,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751728554.288189,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751728695.235169,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751733362.4683251,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751738144.0503159,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751738223.5110888,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751738279.4371738,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751738282.1281838,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751738472.911931,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751738529.075921,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751738673.436393,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751739045.019401,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751740322.0984201,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751740430.428873,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751751616.082962,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751761217.320523,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751787373.264583,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751788037.615292,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751788230.0277019,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751790845.571939,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751804683.77179,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751815838.22466,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751816185.3163571,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751819689.933238,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751820065.611537,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751820787.8209162,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751822503.42961,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751822943.4952822,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751824432.715982,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751826198.3315659,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751827306.237146,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751832974.94521,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751834063.494843,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751870970.34578,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751875017.481724,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751876651.761625,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751893958.637918,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751895135.160153,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751902104.852539,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751903959.221613,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751904523.910434,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751904807.5665941,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751905199.964216,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751925047.499063,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751925092.960305,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751956526.919255,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751956886.236316,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751964066.61021,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751964084.05632,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751965334.51151,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751965651.02033,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1751967950.962105,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1751976066.8652182,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752000057.112081,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752002039.3956041,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752007119.11931,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752041908.9744,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752043732.109246,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752070365.465363,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752076406.3141541,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752076557.788415,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752079116.703871,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752091445.081248,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752092198.453316,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752092309.9828959,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752093220.483296,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752094769.6340709,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752095516.899148,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752096089.401322,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752111706.685107,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752132236.52369,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752149768.822184,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752155682.575903,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752155691.9385161,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752163135.899921,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752180884.76825,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752182576.3708792,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752214035.8096771,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752219692.595581,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752235253.68625,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752237692.3198218,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752237835.532542,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752238266.469493,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752241042.1944032,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752275825.2558641,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752302989.307248,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752307891.798296,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752307970.446704,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752315839.718174,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752316816.642315,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752316864.180054,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752317559.8444061,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752318188.0191941,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752329391.783606,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752329422.221997,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752330650.471554,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752331879.510612,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752331961.7245831,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752333362.4182801,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752339759.1325111,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752339862.022972,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752340840.854814,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752351561.565937,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752353001.266094,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752388177.49859,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752394662.678035,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752406493.1856608,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752408413.957581,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752409262.066125,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752414446.04395,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752414523.2447739,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752415921.976519,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752420700.983995,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752436095.9109,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752437092.872534,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752439866.929136,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752451513.734766,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752467436.726396,3.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752476794.2820702,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752487917.7935882,3.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752493402.170836,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752528039.3131099,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752528828.58034,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752528949.760624,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752529410.244632,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752529736.675941,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752564339.753871,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752564455.4094748,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752565617.8199592,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752568189.324934,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752568664.156775,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752568772.0465841,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752569926.306003,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752572634.537167,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752572744.459795,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752578292.327529,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752578309.758836,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752602096.301997,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752610915.035277,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752610968.74678,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752611029.161295,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752674735.206348,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752674779.068169,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752675102.650391,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752675898.719749,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752675928.0538092,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752681676.025216,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752697265.485446,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752724599.7797852,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752742021.984606,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752752665.403342,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752753209.628783,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752753470.6803598,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752762395.193697,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752774427.032034,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752792096.279089,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752821589.208003,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752846148.902261,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752847102.201721,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752848091.8092,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752848446.009542,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752848552.5687861,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752852614.376038,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752877140.6124048,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752878374.850995,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752878387.999624,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752911070.227985,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752920105.4933228,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752920119.091979,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752922710.002819,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752923437.08534,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752927566.465683,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752928321.853662,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752928350.547545,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752928509.457571,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752929458.265017,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752931893.462284,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752932175.1852021,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752932372.8814712,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752933079.662405,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752934318.2829962,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752937745.042249,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752938338.2774239,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752938993.840599,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752954578.657187,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752955908.367581,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752957481.9560199,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752957567.547468,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752959565.5661988,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752963113.5400891,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752963161.092606,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752963178.551543,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1752963205.236267,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752963284.27626,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752963343.088862,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1752994129.242175,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753012001.075177,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753014592.424705,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753016355.549981,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753020457.1462998,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753022591.7523742,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753023620.609149,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753024926.950986,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753026450.072167,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753036756.198616,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753040524.115159,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753042974.468308,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753043693.962539,6.0,False,dismissedAppOpening,instagram,Europe/Rome
breathingExercise,1753044063.458259,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753073629.492038,6.0,False,openedApp,instagram,Europe/Rome
breathingExercise,1753096085.768024,6.0,False,openedApp,instagram,Europe/Rome
