interventionType,timezone,timeIntervalUntilReIntervention,timestamp,interventionDuration,isReIntervention,app,resolution
breathingExercise,Australia/Sydney,420.0,1752058363.903343,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752058839.90063,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,900.0,1752058858.108622,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,780.0,1752059027.176962,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1140.0,1752061089.6989632,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1752061523.23383,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752062322.989613,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1080.0,1752096702.648581,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752097624.687686,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,840.0,1752102333.12381,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752104346.0635881,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752106900.434423,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,660.0,1752107011.7185268,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752107127.863291,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,720.0,1752111148.4084182,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1752112772.4027529,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752113270.8971992,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752114005.60323,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,660.0,1752119737.3826098,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1752121746.818277,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,720.0,1752123681.335701,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752123995.093647,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,540.0,1752124540.434105,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752125549.504263,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1752130970.416228,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752131184.418222,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,780.0,1752132549.883934,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752132617.423657,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1752138318.764966,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752138358.8264542,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,540.0,1752139346.564702,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,720.0,1752150568.020582,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1752153265.252991,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752153969.2088661,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,660.0,1752153989.478327,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752186957.317668,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1752195075.020671,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1752198433.395194,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,780.0,1752206875.319262,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752209669.118785,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,240.0,1752209698.3391461,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1320.0,1752209953.102484,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752210601.455301,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,1320.0,1752211944.482317,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1080.0,1752214754.722327,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752216336.502089,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,420.0,1752216407.613488,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752218039.524014,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,,1752218985.419312,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,540.0,1752275981.64146,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752277683.668597,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,1140.0,1752281376.5967798,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752294717.51719,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,720.0,1752300746.2534242,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,900.0,1752301670.892107,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,900.0,1752302666.154156,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752305531.95968,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752306668.661098,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,1020.0,1752309717.942418,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,300.0,1752310754.006175,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752311416.075632,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,1020.0,1752311431.584547,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752311760.842021,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,720.0,1752311793.701731,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752315546.094959,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752315769.845392,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,780.0,1752317275.801198,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,960.0,1752317372.8497,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752318176.1182961,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1020.0,1752363128.21344,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752364096.4983501,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,,1752364100.871711,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,840.0,1752364183.556344,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752367858.8164039,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,840.0,1752369300.13966,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752369300.472412,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,780.0,1752373735.0908508,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,840.0,1752398354.530515,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,840.0,1752399124.6178079,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752400209.61075,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,1200.0,1752400220.305831,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1140.0,1752401434.300994,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1020.0,1752401895.8512301,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752402192.562109,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,720.0,1752405050.4839292,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1752407260.318812,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752446478.17572,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752447808.578788,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752449838.956643,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1140.0,1752450696.4942741,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752457964.019145,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,960.0,1752463105.881789,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752467314.584389,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752467314.896632,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,720.0,1752478644.408464,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,180.0,1752479380.850717,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,720.0,1752480695.573164,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,720.0,1752480704.758309,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,780.0,1752483453.444079,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,840.0,1752483804.384625,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,960.0,1752484938.171567,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,300.0,1752485134.695777,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752485600.803543,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,,1752488100.031424,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,600.0,1752488110.264317,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752489739.5666242,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752494764.228411,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752549634.92317,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1752549825.639497,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752554505.4211369,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,,1752563712.4369478,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,600.0,1752567985.114831,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,300.0,1752571319.32402,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752572145.084698,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,780.0,1752572223.003794,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,780.0,1752579214.260828,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,180.0,1752579696.426503,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752580029.5754461,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,420.0,1752613879.188436,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752634221.081798,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,840.0,1752634252.491188,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752637698.782146,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1752644699.111517,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,840.0,1752645224.266,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752648431.5359411,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,480.0,1752648522.295395,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1752650672.458057,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,300.0,1752657186.16833,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,300.0,1752657895.293793,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752658455.499656,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,420.0,1752660590.145599,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1020.0,1752661036.567004,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,60.0,1752663542.443341,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1752701127.8689818,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752702370.7133431,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,360.0,1752702381.888654,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1752708682.667921,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,240.0,1752711699.4794831,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752712542.633274,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,480.0,1752712781.632186,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1752714524.443968,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752717125.4265351,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,660.0,1752718362.992391,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752719425.800084,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,,1752722535.199084,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,480.0,1752722545.980723,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,840.0,1752724200.417666,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1752726226.2331262,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752729693.529498,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,360.0,1752731195.0819159,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752731195.412373,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,,1752731688.629404,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,60.0,1752732316.227992,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1752733084.4284148,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,720.0,1752736582.087455,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752738228.9493961,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,540.0,1752738645.6956558,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752742908.5704699,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,1020.0,1752744355.6670241,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752745400.283852,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,600.0,1752745409.860548,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752745875.410331,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,240.0,1752747242.881423,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,300.0,1752747499.679071,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752747806.163803,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,540.0,1752749633.3390598,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752751218.419337,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1752793764.301821,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1752795187.769257,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1752796988.944162,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1752802634.772258,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,240.0,1752803130.368917,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,780.0,1752807241.0398889,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1752808658.176923,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1752811095.222148,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1752812671.4118829,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1752814775.340959,3,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752815092.684052,3,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,360.0,1752818519.274653,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,300.0,1752818659.173584,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1752819000.147557,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1752819441.9348311,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1752842869.707011,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752843402.674182,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,,1752881044.429817,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,900.0,1752881247.7470279,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1752883001.20309,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,300.0,1752885069.381568,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1752887894.310062,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752894247.274105,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752897102.200228,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1752905531.282222,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1752905666.366466,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,240.0,1752906900.5283,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,780.0,1752907467.73907,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,540.0,1752907592.354414,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752907696.348005,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,,1752907699.488214,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,540.0,1752907719.852097,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752908523.488622,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,780.0,1752911128.327702,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,660.0,1752915257.673734,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752915427.5749779,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,480.0,1752923105.283689,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752927226.988346,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,720.0,1752927242.567059,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752928002.753041,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,960.0,1752928021.170529,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1752929073.128086,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1752929675.985986,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1752930311.89917,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1752962578.261119,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752962658.211544,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,600.0,1752966532.880703,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,900.0,1752966619.9095159,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752967697.9887981,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,480.0,1752968023.1461701,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1752968540.32126,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752968892.610487,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,420.0,1752973433.996016,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,60.0,1752975284.114543,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752975880.337607,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,360.0,1752978207.655205,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1752978622.230987,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,420.0,1752978734.444684,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1753001208.7582521,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,420.0,1753003565.926207,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,300.0,1753004181.358141,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,480.0,1753005379.55461,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,180.0,1753006504.858302,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,420.0,1753008245.2296739,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,180.0,1753010469.230511,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,180.0,1753048217.9440022,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,300.0,1753051334.809986,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1753051664.603342,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,360.0,1753054443.571219,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1753057165.5188189,6,False,instagram,dismissedAppOpening
breathingExercise,Australia/Sydney,60.0,1753057179.704979,6,False,instagram,openedApp
breathingExercise,Australia/Sydney,,1753057285.455096,6,False,instagram,dismissedAppOpening
