resolution,interventionDuration,app,timestamp,timezone,isReIntervention,interventionType
dismissedAppOpening,6,instagram,1751924961.353776,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1751924976.065552,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1751925047.451827,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1751984428.038785,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1751984498.6570802,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1751986417.096417,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1751986483.307561,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1751992982.993541,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1751996499.547841,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1751996771.5961828,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1751996830.604074,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1751998823.671427,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752000246.87413,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752003357.414013,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752007070.535244,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752047828.122208,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752048731.9605021,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752049363.531198,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752051138.4687738,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752051347.211832,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752051672.384406,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752051723.9621449,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752065498.7339091,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752065779.867951,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752066023.61128,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752066915.244038,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752068560.911309,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752100099.5888538,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752126047.3378491,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752142408.81655,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752143288.5352302,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752143291.175921,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752144376.858254,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752144788.722561,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752150428.004302,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752159650.163539,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752159834.4611769,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752166075.019599,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752175829.038723,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752176619.608232,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752178805.306526,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752224737.399657,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752226399.214738,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752232140.125105,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752233541.806119,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752233729.413039,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752234095.558815,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752234383.2948909,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752234695.970048,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752235030.884618,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752238216.893433,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752243715.369549,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752244197.2335238,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752244621.631709,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752244902.6653252,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752246913.052294,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752248240.553236,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752248698.841124,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752270366.1584349,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752271987.153414,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752273351.2746348,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752275850.448693,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752311607.357302,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752314456.457707,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752315184.404903,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752318791.969449,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752319366.533362,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752328415.568407,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752330453.3075728,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752330634.592731,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752331735.7797399,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752336382.368266,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752340057.840238,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752342166.627887,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752342339.43673,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752343203.817091,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752344438.3602672,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752344463.040501,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752370777.799855,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752371053.6998072,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752371206.619225,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752371355.070589,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752371778.778966,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752390946.264001,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752391550.182723,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752392616.607956,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752401354.763674,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752409366.19349,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752420752.100813,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752423645.337798,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752426615.723923,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752430884.9661288,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752431454.156528,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752497456.939856,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752502105.35899,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752502141.368701,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752502633.05265,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752502835.241747,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752508300.31288,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752508446.227009,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752508518.910421,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752508858.2550468,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752511872.280014,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752516255.954791,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752558427.472639,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752581789.6980438,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752584936.966608,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752595430.96445,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752614055.16569,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752614305.264576,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752649264.293394,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752669333.435391,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752670055.0753698,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752670180.333777,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752670270.98576,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752670323.904701,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752670360.125548,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752673082.090766,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752675683.247798,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752702311.862369,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752704997.5165439,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752730906.965292,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752739658.718044,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752745125.927753,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752748017.126522,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752766663.748835,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752766861.4609551,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752768680.834074,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752784026.781777,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752791076.2942162,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752792891.068591,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752817247.3287,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752817319.7944942,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752845917.8752131,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752845922.501955,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752845964.5408611,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752846501.2903528,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752846517.491652,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752846587.258862,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752848864.153778,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752851572.931349,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752853336.807014,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752853899.814674,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752858370.77123,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752858739.566308,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752877750.621324,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752912233.930201,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752914063.447365,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752914642.121191,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752935477.348599,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752959088.58447,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752967408.6030269,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752968480.984016,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752968557.404529,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752971320.4288669,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752971343.8413548,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752972963.802588,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752973138.3670359,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752973139.9428802,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752973141.464675,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1752973143.1571069,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752973198.5527601,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752973334.992042,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1752974860.7278318,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753003486.7570848,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753006272.333091,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753009203.3893619,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753022899.471931,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753022992.4725251,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753038225.071768,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753040175.7280521,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753051343.4399838,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753052863.995997,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753084505.816051,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753086098.9640222,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753086481.50946,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753086707.516753,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753093297.0396261,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753095965.015136,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753099194.289895,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753106346.7286282,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753106467.7227411,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753116575.906551,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753119157.649475,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753120939.832168,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753120954.606698,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753163134.321711,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753171106.671067,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753171746.035291,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753180004.0982919,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753183957.2838778,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753186913.661699,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753200608.365927,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753216059.9646878,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753216846.0414681,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753216921.755766,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753218907.536624,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753219584.63911,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753219634.422593,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753254689.5739079,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753256312.997665,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753258120.6334991,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753259234.733886,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753269286.654035,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753269351.808033,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753269571.025303,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753270256.40831,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753296450.368324,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753337977.419122,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753371821.961298,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753374607.2944021,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753374713.834477,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753374751.696272,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753390215.7380981,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753390366.237572,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753391310.973398,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753391457.456841,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753393455.536201,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753394050.442899,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753394277.049385,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753394384.240096,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753394645.999023,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753394873.744361,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753395012.8000932,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753422261.984853,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753435994.5575109,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753449512.468746,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753450835.5297,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753450955.300494,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753451011.01784,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753453334.2407808,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753453383.231386,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753453428.7223248,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753459746.759917,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753463724.844051,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753466572.2086139,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753466575.230492,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753466589.170714,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753468661.1275182,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753471629.332135,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753471650.6855989,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753475848.659391,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753476015.229652,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753476247.022485,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476451.8315802,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476533.0270529,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476534.2829309,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476535.416459,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476538.917026,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476540.06371,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476541.583949,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476546.628833,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476549.036137,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476554.251515,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476562.367332,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476564.263726,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476566.38843,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476567.4443312,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476568.898289,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476579.4322538,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476580.84803,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476583.0318651,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476584.4622068,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476587.53807,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753476588.59023,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753476602.164962,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753476663.021144,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753476811.6034698,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753477165.7869492,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753477461.605277,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753477539.757856,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753477659.37204,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753477780.066124,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753478088.021961,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753478145.2505012,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753478185.2800179,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753478189.150795,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753514103.126844,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753531294.246581,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753531417.637892,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753532322.28265,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753532333.378708,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753532589.7324018,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753532652.049645,Europe/Berlin,False,breathingExercise
dismissedAppOpening,6,instagram,1753532666.205937,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753535861.8096728,Europe/Berlin,False,breathingExercise
openedApp,6,instagram,1753536203.418446,Europe/Berlin,False,breathingExercise
