timeIntervalUntilReIntervention,interventionType,timezone,resolution,timestamp,interventionDuration,app,isReIntervention
,,America/Los_Angeles,closedApp,1751573985.461722,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751575442.059797,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751575731.477579,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751575748.765067,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751577382.771868,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751583650.448353,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751584666.547512,6.0,facebook,False
300.0,breathingExercise,America/Los_Angeles,openedApp,1751584983.5234551,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751585026.7835112,,facebook,False
,,America/Los_Angeles,closedApp,1751585134.693119,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751588602.997467,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751589081.98416,6.0,facebook,False
600.0,breathingExercise,America/Los_Angeles,openedApp,1751589142.135328,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751589227.0310168,,facebook,False
600.0,breathingExercise,America/Los_Angeles,openedApp,1751590570.898401,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751639746.2571979,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751640128.844866,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751593686.586852,,instagram,False
,,America/Los_Angeles,closedApp,1751590655.015444,,facebook,False
,,America/Los_Angeles,closedApp,1751590982.834805,,facebook,False
,,America/Los_Angeles,closedApp,1751593378.357243,,facebook,False
,,America/Los_Angeles,closedApp,1751594010.164678,,facebook,False
,,America/Los_Angeles,closedApp,1751594834.849732,,facebook,False
,,America/Los_Angeles,closedApp,1751596866.296516,,facebook,False
,,America/Los_Angeles,closedApp,1751603187.9286308,,facebook,False
,,America/Los_Angeles,closedApp,1751604198.907486,,facebook,False
,,America/Los_Angeles,closedApp,1751604522.8910909,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751640130.956053,6.0,facebook,False
600.0,breathingExercise,America/Los_Angeles,openedApp,1751640267.416132,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751640485.166864,,facebook,False
,,America/Los_Angeles,closedApp,1751640602.328979,,facebook,False
60.0,breathingExercise,America/Los_Angeles,openedApp,1751641661.453827,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751641685.372446,,facebook,False
600.0,breathingExercise,America/Los_Angeles,openedApp,1751641746.337916,6.0,instagram,False
,,America/Los_Angeles,closedApp,1751641819.699039,,instagram,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751644832.6990972,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751648584.048198,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751649044.168962,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751650814.150764,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751650817.125864,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751650820.6612759,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751650965.950234,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751659759.03985,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751660418.735722,,facebook,False
,,America/Los_Angeles,closedApp,1751660567.872666,,facebook,False
,,America/Los_Angeles,closedApp,1751660823.157403,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751661520.9185119,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751664018.672696,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751664526.688978,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751664673.620205,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751664696.064715,6.0,instagram,False
,,America/Los_Angeles,closedApp,1751664791.2184381,,instagram,False
,,America/Los_Angeles,closedApp,1751664869.676377,,instagram,False
,,America/Los_Angeles,closedApp,1751664907.705584,,instagram,False
,,America/Los_Angeles,closedApp,1751664932.268145,,instagram,False
,breathingExercise,America/Los_Angeles,openedApp,1751664967.5137591,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751665023.7701402,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751667990.6150131,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751668006.343111,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751668369.9919538,,facebook,False
,,America/Los_Angeles,closedApp,1751668720.2315311,,facebook,False
,,America/Los_Angeles,closedApp,1751668759.552586,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751671726.202898,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751672146.6974149,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751688485.790385,,instagram,False
,,America/Los_Angeles,closedApp,1751688721.457484,,instagram,False
,,America/Los_Angeles,closedApp,1751672238.943816,,facebook,False
,,America/Los_Angeles,closedApp,1751681263.913996,,facebook,False
,,America/Los_Angeles,closedApp,1751681439.398629,,facebook,False
,,America/Los_Angeles,closedApp,1751681677.125222,,facebook,False
,,America/Los_Angeles,closedApp,1751681773.967454,,facebook,False
,,America/Los_Angeles,closedApp,1751682475.286337,,facebook,False
,,America/Los_Angeles,closedApp,1751687989.1303148,,facebook,False
,,America/Los_Angeles,closedApp,1751688030.607355,,facebook,False
,,America/Los_Angeles,closedApp,1751688324.3784518,,facebook,False
,,America/Los_Angeles,closedApp,1751688416.100762,,facebook,False
,,America/Los_Angeles,closedApp,1751688780.381268,,facebook,False
,,America/Los_Angeles,closedApp,1751689213.966296,,facebook,False
,,America/Los_Angeles,closedApp,1751689864.9125519,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751718854.577975,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751718857.8452802,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751718989.8980908,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751719832.214592,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751721041.455123,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751721379.306847,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751723190.161907,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751723228.262838,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751723829.750221,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751723951.5710812,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751726450.891799,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751726468.449702,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751726819.328346,,facebook,False
,,America/Los_Angeles,closedApp,1751727120.9673219,,facebook,False
,,America/Los_Angeles,closedApp,1751727316.970309,,facebook,False
,,America/Los_Angeles,closedApp,1751727574.1570768,,facebook,False
,,America/Los_Angeles,closedApp,1751727854.8547568,,facebook,False
,,America/Los_Angeles,closedApp,1751727956.176282,,facebook,False
,,America/Los_Angeles,closedApp,1751728125.569675,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751729324.757524,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751732077.7735891,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751732092.05456,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751733037.82299,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751733107.748275,,facebook,False
,,America/Los_Angeles,closedApp,1751733261.468427,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751733989.0156488,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751734004.106834,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751735068.162066,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751735093.790475,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751735651.036849,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751735795.422071,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751736645.093717,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751737020.400663,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751738031.630079,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751738247.107346,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751739583.085119,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751740528.6526232,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751740677.316122,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751745406.60395,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751745482.258912,,facebook,False
,,America/Los_Angeles,closedApp,1751745720.9321032,,facebook,False
,,America/Los_Angeles,closedApp,1751745770.320579,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751747842.684536,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751747872.442774,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751748573.1162891,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751748607.7820191,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751748842.871789,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751749268.315695,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751749473.6114922,,facebook,False
,,America/Los_Angeles,closedApp,1751749551.569391,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751753868.86763,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751754262.385199,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751754748.747377,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751754797.772215,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751755039.4367828,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751755097.973901,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751755303.220799,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751755317.5983958,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751755378.708218,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751755732.9886441,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751755746.3936958,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751756795.452465,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751756902.909945,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751757813.132782,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751773541.164003,,facebook,False
,,America/Los_Angeles,closedApp,1751773573.729782,,facebook,False
,,America/Los_Angeles,closedApp,1751773607.2164478,,facebook,False
,,America/Los_Angeles,closedApp,1751773623.9142551,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751814703.9096441,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751815309.068619,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751815365.406177,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751815451.427524,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751815531.643599,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751815717.5122828,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751815821.2482538,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751815840.88511,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751815880.684932,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751816098.856854,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751817032.211783,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751817829.7253351,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751817859.410783,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751818468.4463701,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751819259.346702,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751819289.2281032,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751819475.729981,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751819525.013445,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751819571.315772,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751819588.379113,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751824567.815819,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751824754.045107,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751824785.948811,,facebook,False
,,America/Los_Angeles,closedApp,1751824816.129455,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751826994.272886,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751827888.456581,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751827892.749991,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751828241.3606272,6.0,instagram,False
,,America/Los_Angeles,closedApp,1751828405.798496,,instagram,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751830208.089839,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751830280.200275,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751830377.374243,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751831336.5160751,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751831395.283856,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751831419.1441588,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751832112.684783,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751832116.579346,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751835038.413913,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751837437.8372111,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751837786.3288531,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751837813.000761,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751837838.408128,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751838147.892616,,facebook,False
,,America/Los_Angeles,closedApp,1751838195.868277,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751838435.36183,6.0,instagram,False
,,America/Los_Angeles,closedApp,1751838555.0161319,,instagram,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751838559.847197,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751838574.58497,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751838918.882444,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751843479.615336,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751844901.209449,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751844983.039719,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751858348.636465,,facebook,False
,,America/Los_Angeles,closedApp,1751860070.519839,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751893454.223553,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751893500.867303,,facebook,False
,,America/Los_Angeles,closedApp,1751893569.667603,,facebook,False
,,America/Los_Angeles,closedApp,1751893765.357794,,facebook,False
,,America/Los_Angeles,closedApp,1751894277.851845,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751894290.909276,6.0,instagram,False
,,America/Los_Angeles,closedApp,1751894744.145979,,instagram,False
,breathingExercise,America/Los_Angeles,openedApp,1751894805.1992168,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751894935.937509,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751895193.652983,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751895210.7485309,6.0,instagram,False
,,America/Los_Angeles,closedApp,1751895550.008903,,instagram,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751900642.080332,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751902314.79457,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751903898.503185,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751903912.777101,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751904013.0561628,,facebook,False
,,America/Los_Angeles,closedApp,1751904067.1011071,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751911308.171682,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751912454.14742,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751914832.170905,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751915993.7856998,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751916781.684643,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751916784.2920551,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751918586.413651,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751920459.064487,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751926245.613266,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751926333.130426,,facebook,False
,,America/Los_Angeles,closedApp,1751926432.278511,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751929165.833811,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751929208.069211,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751929228.078527,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751929468.500073,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751929990.9402308,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751930006.288857,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751930151.019161,,facebook,False
,,America/Los_Angeles,closedApp,1751930465.285677,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751932416.055732,6.0,instagram,False
,,America/Los_Angeles,closedApp,1751932555.9118629,,instagram,False
,breathingExercise,America/Los_Angeles,openedApp,1751932866.7795858,6.0,instagram,False
,,America/Los_Angeles,closedApp,1751933055.6077108,,instagram,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751934616.019949,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751934619.309249,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751934945.9254498,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751937255.586337,,facebook,False
,,America/Los_Angeles,closedApp,1751948095.1488972,,facebook,False
,,America/Los_Angeles,closedApp,1751948960.233103,,facebook,False
,,America/Los_Angeles,closedApp,1751949097.914415,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751982175.977442,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751982209.986079,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751984841.5828218,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751984865.769062,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751985382.171186,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751985408.75298,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751986945.663073,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751986949.756209,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751987971.0289469,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751992070.0073972,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751992084.030582,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751992102.1621761,,facebook,False
,,America/Los_Angeles,closedApp,1751992130.4682798,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751992466.759182,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751997555.880769,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1751997858.430396,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1751998158.843869,6.0,facebook,False
,,America/Los_Angeles,closedApp,1751998183.098727,,facebook,False
,,America/Los_Angeles,closedApp,1751998327.985779,,facebook,False
,,America/Los_Angeles,closedApp,1751998414.5545158,,facebook,False
,,America/Los_Angeles,closedApp,1751998605.652288,,facebook,False
,,America/Los_Angeles,closedApp,1751998815.5941792,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1752000135.2653809,6.0,facebook,False
,,America/Los_Angeles,closedApp,1752000249.6880898,,facebook,False
,,America/Los_Angeles,closedApp,1752000591.4441009,,facebook,False
,,America/Los_Angeles,closedApp,1752001514.365082,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752002289.844728,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752002292.81316,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752002295.504098,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752008058.871688,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1752008073.1780539,6.0,facebook,False
,,America/Los_Angeles,closedApp,1752008145.0904841,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1752008564.910347,6.0,facebook,False
,,America/Los_Angeles,closedApp,1752008645.639958,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752011784.318596,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752013872.297532,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752013875.846916,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752013896.235468,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752013955.655271,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1752014516.118829,6.0,facebook,False
,,America/Los_Angeles,closedApp,1752014536.971071,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1752015303.1448112,6.0,facebook,False
,,America/Los_Angeles,closedApp,1752015338.098271,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752016509.267394,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752017534.6601028,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752017559.744942,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752017780.762434,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752017805.2351,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752018246.167891,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752018294.021531,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752019112.218884,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1752022304.0006351,6.0,instagram,False
,,America/Los_Angeles,closedApp,1752022421.99233,,instagram,False
,,America/Los_Angeles,closedApp,1752022559.9021878,,instagram,False
,,America/Los_Angeles,closedApp,1752026187.643436,,facebook,False
,,America/Los_Angeles,closedApp,1752034883.7638102,,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752068889.873921,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752069053.537241,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752069061.1132069,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752069371.703058,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752069393.944483,6.0,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1752070825.411223,6.0,facebook,False
,,America/Los_Angeles,closedApp,1752070897.360487,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1752071101.024122,6.0,facebook,False
,breathingExercise,America/Los_Angeles,dismissedAppOpening,1752072435.534758,6.0,facebook,False
,,America/Los_Angeles,closedApp,1752071484.686063,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1752073550.297536,6.0,facebook,False
,,America/Los_Angeles,closedApp,1752073564.936173,,facebook,False
,,America/Los_Angeles,closedApp,1752073762.092488,,facebook,False
,,America/Los_Angeles,closedApp,1752074265.705388,,facebook,False
,breathingExercise,America/Los_Angeles,openedApp,1752075075.7041469,6.0,facebook,False
,,America/Los_Angeles,closedApp,1752075209.440371,,facebook,False
