timeIntervalUntilReIntervention,isReIntervention,interventionType,app,resolution,timezone,interventionDuration,timestamp
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748468483.488288
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748471723.0827541
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748471726.033134
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748471742.618957
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748471825.256981
300.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748472267.969784
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748473790.155355
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748474659.379242
720.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748477759.107513
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748478663.826309
300.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748479043.8438458
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748482306.335877
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748483319.845053
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748485146.1220489
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748486401.591714
,False,breathingExercise,youtube,dismissedAppOpening,America/Denver,6,1748488736.949442
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748488753.372467
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748490816.499474
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748491135.3468451
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748491382.766827
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748492779.6613932
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748532585.967266
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748533468.345427
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748535746.8266559
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748535939.950222
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748537181.843607
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748537227.956666
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748540874.801374
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748540927.104496
,False,breathingExercise,tikTok,dismissedAppOpening,America/Denver,6,1748541189.51551
,False,breathingExercise,youtube,openedApp,America/Denver,6,1748541220.87009
,False,breathingExercise,youtube,dismissedAppOpening,America/Denver,6,1748541254.6201339
,False,breathingExercise,youtube,openedApp,America/Denver,6,1748541269.593318
,False,breathingExercise,tikTok,openedApp,America/Denver,6,1748541305.524231
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748543581.244728
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748543898.976116
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748544318.668648
480.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748544506.323323
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748544664.439692
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748544974.3290849
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748546267.024036
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748546734.410723
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748547445.8802829
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748553186.788511
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748565382.879158
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748565457.448664
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748565460.204942
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748565479.778362
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748567079.757316
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748567517.512342
1200.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748567676.442539
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748569857.131082
540.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748569926.8178868
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748570555.905437
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748570896.853067
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748573288.465147
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748576448.265163
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748663492.655383
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748702965.089013
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748703341.967984
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748703378.561614
,True,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748703881.5520248
120.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748704790.627845
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748704928.746232
480.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748705365.4809089
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748710820.287582
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748711228.921191
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748711498.599052
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748711555.101279
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748711586.690363
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748711614.351208
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748711641.095303
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748718530.602345
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748718648.268002
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748719321.321052
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748724831.364476
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748724831.453232
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748725150.67083
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748725715.164805
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748725765.2993941
180.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748725842.9250631
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748730350.887135
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748730816.877034
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748730920.97047
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748738804.619653
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748742484.297739
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748792871.183866
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748792886.890425
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748793010.968571
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748793032.181217
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748800490.792767
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748801292.9194078
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748801650.88444
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748801716.436451
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748804075.922803
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748812120.440124
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748812199.381413
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748812575.5569491
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748813012.6858258
240.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748813448.00909
300.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748813707.631274
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748814024.23977
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748816020.995017
240.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748816039.199288
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748823267.961931
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748823346.7916322
240.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748823611.47016
300.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748823868.354725
300.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748824182.1119971
,False,breathingExercise,tikTok,dismissedAppOpening,America/Denver,6,1748826408.856632
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748826455.166895
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748830746.4495358
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748832746.512024
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748834115.143073
240.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748834197.4626498
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748836311.666121
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748837769.007251
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748837815.67516
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748873598.2189898
300.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748873917.4465652
240.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748874234.040595
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748874526.5555139
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748877975.023175
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748878234.594728
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748878670.313257
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748879106.4644651
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748881538.534718
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748881798.156546
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748884776.032209
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748885469.83302
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748885852.692975
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748886342.874356
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748887145.754959
480.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748887291.73743
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748887791.436983
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748888226.819597
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748893438.192594
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748893602.1951041
300.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748893980.4598389
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748894809.828092
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748895645.846208
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748895945.181638
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748898830.0796142
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748898898.873104
,False,breathingExercise,tikTok,openedApp,America/Denver,6,1748900801.2380471
,False,breathingExercise,tikTok,openedApp,America/Denver,6,1748902749.808095
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748905187.861479
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748906773.39742
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748907877.835887
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748910074.908972
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748910181.856323
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748910183.992415
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748915018.559853
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748916528.783465
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748919011.8454309
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748919236.6959019
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748919498.606975
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748920253.2597399
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748920483.254467
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748920703.9397311
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748966788.8679771
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748967706.6243591
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748969632.134798
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748971332.3569741
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748971771.162434
480.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748972170.654556
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748972301.599804
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748972372.5051079
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1748972716.7080169
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748973372.598988
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748976973.154845
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748981759.418734
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748982443.324091
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748983865.5233731
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748984857.6914601
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748985521.002348
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748988114.180781
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748989612.810017
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748991216.52192
480.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748991597.0943298
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748993900.7593699
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748994557.039651
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748994615.632685
240.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748994723.41733
480.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1748994845.816263
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1748995156.621735
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749001695.969133
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749002078.895303
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749011919.213876
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749012214.57984
540.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749012849.817436
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749050429.279542
300.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749050749.257472
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749050806.855552
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749053511.8749309
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1749053717.288404
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749053732.4825191
240.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749054170.941025
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749054427.344489
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749055684.654457
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749056123.1674318
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1749056463.219981
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749056766.804391
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1749060829.482171
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749061280.9311008
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749065196.984747
300.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749065636.424098
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1749066699.270348
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749066818.933111
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749075629.493707
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749077227.895629
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749077418.788643
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749077860.5802832
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749078575.316008
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1749079683.271503
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749083901.120209
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749084004.767859
480.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749084751.2692142
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749086294.571321
480.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749086869.742848
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749088049.629873
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749088918.888185
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749090972.6657228
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749094810.177631
420.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749095187.484586
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749095234.3281388
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1749095528.370082
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749136199.164353
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749136577.459312
480.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749137798.645468
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749138299.955017
60.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749140744.8769212
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749142549.8216748
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749142743.3890119
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749144643.1541262
540.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749148834.5874062
480.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749149393.445584
360.0,True,breathingExercise,instagram,openedApp,America/Denver,6,1749149890.1830459
360.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749152399.4055939
420.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749153743.117351
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1749154841.867727
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1749154846.426445
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1749154850.6983042
,False,breathingExercise,instagram,dismissedAppOpening,America/Denver,6,1749154867.2641559
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749158794.0214438
480.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749164237.7106209
300.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749168151.305186
540.0,False,breathingExercise,instagram,openedApp,America/Denver,6,1749170925.3971272
420.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749184247.262492
480.0,True,breathingExercise,instagram,openedApp,America/Phoenix,6,1749184687.33315
480.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749185671.650375
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749185865.060497
420.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749187301.926094
,False,breathingExercise,instagram,dismissedAppOpening,America/Phoenix,6,1749187537.318927
,False,breathingExercise,instagram,dismissedAppOpening,America/Phoenix,6,1749187584.36829
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749187602.96805
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749188054.3895779
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749188870.002077
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749223383.647839
300.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749226013.311462
420.0,True,breathingExercise,instagram,openedApp,America/Phoenix,6,1749226331.723568
300.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749227095.1145601
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749229841.868277
720.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749231544.336214
420.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749233712.220392
480.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749233850.547384
420.0,True,breathingExercise,instagram,openedApp,America/Phoenix,6,1749234350.326676
480.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749235078.9796438
60.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749235235.817964
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749237406.810538
300.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749238043.242018
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749238667.305716
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749239978.736971
,False,breathingExercise,instagram,dismissedAppOpening,America/Phoenix,6,1749240371.60374
480.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749244284.482434
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749244421.962532
,False,breathingExercise,youtube,dismissedAppOpening,America/Phoenix,6,1749245808.8303351
,False,breathingExercise,youtube,openedApp,America/Phoenix,6,1749245823.694638
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749252069.9912028
300.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749253938.5371408
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749255842.894242
720.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749256491.924817
300.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749258226.625016
480.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749258949.992159
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749267320.7427669
240.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749272740.136919
,True,breathingExercise,instagram,dismissedAppOpening,America/Phoenix,6,1749272992.5642471
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749274222.084718
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749274514.8936481
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749304012.058981
300.0,True,breathingExercise,instagram,openedApp,America/Phoenix,6,1749304391.04106
180.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749305853.0921679
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749306552.171046
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749308200.6151772
420.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749312610.5433512
,False,breathingExercise,instagram,dismissedAppOpening,America/Phoenix,6,1749312840.632057
,False,breathingExercise,instagram,dismissedAppOpening,America/Phoenix,6,1749312842.1023002
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749312864.066431
420.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749315217.851084
480.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749316047.4606938
540.0,True,breathingExercise,instagram,openedApp,America/Phoenix,6,1749316545.76809
540.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749317458.0413709
540.0,True,breathingExercise,instagram,openedApp,America/Phoenix,6,1749318014.3634691
,False,breathingExercise,instagram,dismissedAppOpening,America/Phoenix,6,1749318202.3693461
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749318217.778832
420.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749318573.4231892
240.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749318704.714247
480.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749318832.6386142
420.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749318954.435161
,False,breathingExercise,youtube,dismissedAppOpening,America/Phoenix,6,1749319906.944714
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749320319.014967
360.0,True,breathingExercise,instagram,openedApp,America/Phoenix,6,1749320698.0146542
420.0,True,breathingExercise,instagram,openedApp,America/Phoenix,6,1749321072.6898432
420.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749324451.489696
480.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749327429.4834461
300.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749328537.40114
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749331393.30635
480.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749335139.7770681
240.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749341551.006254
840.0,True,breathingExercise,instagram,openedApp,America/Phoenix,6,1749341808.7797232
300.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749345141.6173038
,False,breathingExercise,instagram,dismissedAppOpening,America/Phoenix,6,1749352726.606906
60.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749352759.7624059
240.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749359460.04265
420.0,True,breathingExercise,instagram,openedApp,America/Phoenix,6,1749359717.206075
360.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749360448.213448
300.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749360652.450264
540.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749400045.387095
300.0,False,breathingExercise,instagram,openedApp,America/Phoenix,6,1749400650.297277
540.0,True,breathingExercise,instagram,openedApp,America/Phoenix,6,1749400970.473651
