interventionDuration,timezone,isReIntervention,app,resolution,interventionType,timestamp,timeIntervalUntilReIntervention
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754170842.319672,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754174644.997813,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754174927.690813,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754204966.9404268,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754205650.709961,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754212695.8410292,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1754213318.435769,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754218146.838307,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754218485.712244,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754219225.465242,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754220328.3404078,540.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1754221313.225415,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754224354.762897,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754254784.305914,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754255425.600446,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754281093.3791552,
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754307482.535987,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754311029.908071,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1754311651.367285,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754312120.252295,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754312884.27697,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754312908.525043,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1754313547.532089,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754319968.948083,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754322032.256701,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754326120.7986078,600.0
6,Europe/Berlin,True,instagram,openedApp,breathingExercise,1754326743.949449,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754328482.4414902,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754328597.300946,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754329049.643935,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754330715.604439,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754333728.364768,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754337161.3651428,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754343612.978514,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754343740.333179,600.0
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754372452.937207,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754373017.589013,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754387576.073351,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754388098.9690871,
6,Europe/Berlin,False,instagram,openedApp,breathingExercise,1754401114.023497,600.0
6,Europe/Berlin,False,instagram,dismissedAppOpening,breathingExercise,1754406981.8898501,
