timezone,isReIntervention,purpose,interventionType,resolution,timestamp,interventionDuration,app
America/Toronto,False,,breathingExercise,dismissedAppOpening,1749926090.101476,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749940517.50816,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749941230.320135,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1749945395.2408419,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750002386.6540542,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1750017277.6995358,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750017529.721076,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750044800.884877,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750085013.025883,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750114573.279951,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750183077.714746,6,youtube
America/Toronto,False,Relax,breathingExercise,openedApp,1750185183.478853,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750187643.2445722,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750203629.148507,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1750207469.772759,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750208641.287632,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750303485.476924,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750304678.304322,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1750355880.398405,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750356060.9603472,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750454563.582916,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750464808.925827,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1750641780.459601,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750649973.266248,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750693227.64853,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750707934.977267,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750716898.3081,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750718113.382843,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750718274.0644078,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750720763.135882,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750792739.587462,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750793880.801949,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750805131.015311,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750818620.850671,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750866288.07226,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750903528.903037,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750909639.28379,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1750955209.3144531,6,youtube
America/Toronto,False,,breathingExercise,dismissedAppOpening,1750957612.015648,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1751031802.9844708,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1751032370.089405,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1751084139.4828749,6,youtube
America/Toronto,False,Break,breathingExercise,openedApp,1751084213.275217,6,youtube
