isReIntervention,timestamp,resolution,timezone,interventionType,interventionDuration,app,timeIntervalUntilReIntervention,purpose
False,1751474517.9152532,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751524334.175071,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,240.0,
False,1751524356.7911649,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
False,1751524376.1328402,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,360.0,
False,1751524399.5605202,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,300.0,
False,1751524421.3693361,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,300.0,
False,1751524462.334451,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Entspannung
False,1751524483.886362,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751524497.751038,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751525835.991878,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,snapchat,,
False,1751525920.430295,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751525925.743905,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,420.0,
False,1751526031.394679,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,romeo,,
False,1751527427.104384,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,300.0,
False,1751527546.6964889,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,snapchat,,
False,1751527551.043754,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,snapchat,,
False,1751528174.1676831,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,300.0,
False,1751528426.295103,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,telegram,,
False,1751528961.1180391,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,360.0,
False,1751529006.2462249,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751532344.4611979,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751532381.917368,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751532401.7505388,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,snapchat,,
False,1751532425.496282,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Auf dem Laufenden bleiben
False,1751532473.585758,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751532735.542283,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751532778.7524772,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751532785.502499,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751532833.0288858,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Schnell beim zum Platz laufen die Zeit noch „maximal ausnutzen“ indem ich Nachrichten checke von Roy
False,1751535297.8699188,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751535308.947548,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751535320.568102,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751535329.593205,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751535337.844269,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751535345.765635,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751535352.259496,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751535354.694274,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751535391.043604,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Schnell beim zum Platz laufen die Zeit noch „maximal ausnutzen“ indem ich Nachrichten checke von Roy
False,1751535789.4310179,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751535810.053638,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Schnell beim zum Platz laufen die Zeit noch „maximal ausnutzen“ indem ich Nachrichten checke von Roy
False,1751535890.241265,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751535947.1137838,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Schnell beim zum Platz laufen die Zeit noch „maximal ausnutzen“ indem ich Nachrichten checke von Roy
False,1751536641.548201,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751536664.158351,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Infos suchen
False,1751537028.22479,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,telegram,,
False,1751537161.423358,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,telegram,,
False,1751537167.4416099,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,telegram,,
False,1751538432.8634481,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751542251.7682672,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Infos suchen
False,1751542589.408331,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751544872.123193,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751544877.8506498,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751544889.564498,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751544955.1089091,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Klo
False,1751545586.216922,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751545734.671809,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751546228.256723,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751547350.3023682,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Infos suchen
False,1751547667.1667829,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751548752.637315,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751549125.344892,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Nachricht / Schreiben
False,1751550988.626919,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,360.0,
False,1751551505.169591,openedApp,Europe/Berlin,breathingExercise,6.0,snapchat,300.0,Crush stalken
False,1751552428.4228768,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,180.0,
False,1751553050.0782819,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
False,1751553653.872289,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751554323.9818301,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,telegram,,
False,1751554338.2262568,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751554495.32653,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
False,1751554534.3777661,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751554553.13547,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Nachricht / Schreiben
False,1751555198.887151,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Infos suchen
False,1751556548.052709,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
False,1751556569.853353,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751557269.682526,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751557437.675669,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,telegram,,
False,1751557565.404434,openedApp,Europe/Berlin,breathingExercise,6.0,telegram,60.0,Crush stalken
False,1751561276.930067,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751561304.80964,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
False,1751561333.3941898,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Infos suchen
False,1751562407.744705,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751562558.683535,openedApp,Europe/Berlin,breathingExercise,6.0,telegram,60.0,Crush stalken
False,1751563151.853746,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751563197.35212,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751563781.7433128,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751563841.365252,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751564376.7796369,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,360.0,
False,1751564443.9366941,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751564590.1950278,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751565846.076807,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751565849.6450949,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751565852.024104,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,telegram,,
False,1751565861.438445,openedApp,Europe/Berlin,askForTimeLimit,6.0,romeo,60.0,
True,1751565976.857075,openedApp,Europe/Berlin,breathingExercise,6.0,romeo,600.0,Sexsuche
False,1751566073.3413038,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751566117.699531,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751566138.790715,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751566914.2890549,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751566917.976194,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751566934.833493,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751567154.367404,openedApp,Europe/Berlin,breathingExercise,6.0,romeo,60.0,Crush stalken
False,1751567402.8729749,openedApp,Europe/Berlin,breathingExercise,6.0,romeo,60.0,Crush stalken
False,1751567556.15971,openedApp,Europe/Berlin,breathingExercise,6.0,romeo,60.0,Crush stalken
False,1751567673.514175,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751569029.9341521,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751569256.691773,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751571187.707391,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751571258.901555,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751571271.040114,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751571577.164582,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Klo
False,1751572203.1486359,openedApp,Europe/Berlin,askForTimeLimit,6.0,jodel,60.0,
False,1751572324.5182061,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751572676.475846,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751572953.249162,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Klo
False,1751573934.859853,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751574444.274339,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751575471.79988,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Klo
False,1751576968.655843,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751577203.972505,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751578755.278926,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Nachricht / Schreiben
False,1751579546.917306,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751580457.582926,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Ablenkung
False,1751585199.120074,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751585324.269785,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751587053.981353,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751587070.012321,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751587088.3855681,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Kann nicht schlafen
False,1751607549.3797832,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751607962.087127,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Aufgewacht
False,1751609048.773036,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751612839.410677,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Nachricht / Schreiben
False,1751614057.134304,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Infos suchen
False,1751616517.5784888,openedApp,Europe/Berlin,askForTimeLimit,6.0,jodel,60.0,
False,1751617698.9512029,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751617840.276132,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751617848.429585,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751618933.1159968,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751618936.801291,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751619630.7103581,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751620376.305706,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751620467.074975,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,420.0,
False,1751621098.733913,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751621201.7131882,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751624652.36068,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,240.0,
False,1751626060.5026932,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751626081.8266668,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751626717.991832,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,240.0,
False,1751627011.447721,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751627471.219749,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,360.0,
False,1751628137.9224272,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,snapchat,,
False,1751628142.734776,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751628150.74702,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751628153.4105868,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751628398.723176,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
True,1751628681.921204,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,snapchat,,
False,1751628751.4059029,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,snapchat,,
False,1751629846.23779,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751630915.550519,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751631201.166916,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751631327.3338299,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751631833.4770598,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,snapchat,,
False,1751631840.1066241,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,300.0,
False,1751632121.881054,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751632254.6973848,openedApp,Europe/Berlin,breathingExercise,6.0,telegram,360.0,Crush stalken
False,1751632683.4178162,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
True,1751632762.600147,openedApp,Europe/Berlin,breathingExercise,6.0,telegram,420.0,Crush stalken
False,1751632853.098442,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751632858.775742,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751633044.5196528,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751633636.563976,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751634454.7320309,dismissedAppOpening,Europe/Berlin,askForTimeLimit,6.0,snapchat,,
False,1751634461.613182,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,420.0,
False,1751634685.543989,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751635327.616051,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751635345.192922,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751636102.7414079,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751636116.6778588,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,360.0,
False,1751636287.6256828,openedApp,Europe/Berlin,breathingExercise,6.0,telegram,60.0,Crush stalken
True,1751636627.458076,openedApp,Europe/Berlin,breathingExercise,6.0,snapchat,240.0,Crush stalken
False,1751637840.095933,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751638512.1192,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751639629.228928,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751640013.651887,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751643132.2147841,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751643484.72184,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,300.0,
False,1751644475.2765188,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751652475.715358,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,300.0,
False,1751659349.667863,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751660017.785712,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751661293.1537042,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751661938.51021,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751663640.678866,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751664803.950479,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751665780.050107,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751665795.672184,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
False,1751665908.282747,openedApp,Europe/Berlin,breathingExercise,6.0,snapchat,60.0,Crush stalken
False,1751666450.603918,openedApp,Europe/Berlin,breathingExercise,6.0,snapchat,780.0,Crush stalken
False,1751692164.134131,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,420.0,
False,1751692312.211327,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751692370.8983278,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751693015.765841,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,300.0,
False,1751693039.017493,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751695357.955939,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,360.0,
True,1751695937.578371,openedApp,Europe/Berlin,breathingExercise,6.0,snapchat,480.0,Crush stalken
False,1751697507.157237,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751698387.470142,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751701252.4856482,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,660.0,
False,1751712988.415094,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Klo
False,1751713192.1447759,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751714599.608832,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Kann nicht schlafen
False,1751716041.482852,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751716362.905562,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
False,1751716749.485436,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Infos suchen
False,1751717769.784347,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751718170.384381,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,60.0,
True,1751718261.7451339,openedApp,Europe/Berlin,breathingExercise,6.0,snapchat,180.0,Crush stalken
False,1751718336.8443918,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,300.0,
False,1751718464.030509,dismissedAppOpening,Europe/Berlin,breathingExercise,6.0,instagram,,
False,1751719288.453618,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,300.0,
False,1751719832.124702,openedApp,Europe/Berlin,askForTimeLimit,6.0,snapchat,600.0,
False,1751719950.12134,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Infos suchen
False,1751722688.5696821,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Infos suchen
False,1751728032.592536,openedApp,Europe/Berlin,breathingExercise,6.0,instagram,,Crush stalken
False,1751732019.136162,openedApp,Europe/Berlin,askForTimeLimit,6.0,telegram,60.0,
