app,interventionType,resolution,timezone,timestamp,interventionDuration,isReIntervention
instagram,,dismissedAppOpening,America/Los_Angeles,1750113520.176444,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1750149554.5493999,3.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1750362032.739332,3.0,False
instagram,,openedApp,America/Los_Angeles,1750385748.627715,,False
instagram,,closedApp,America/Los_Angeles,1750386348.627715,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1750386348.627716,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1750441753.066416,3.0,False
instagram,,openedApp,America/Los_Angeles,1750444190.291394,,False
instagram,,closedApp,America/Los_Angeles,1750444790.291395,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1750444790.291395,,False
instagram,,openedApp,America/Los_Angeles,1750637888.173706,,False
instagram,,closedApp,America/Los_Angeles,1750638488.173706,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1750638488.173706,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1750653297.727539,3.0,False
instagram,,openedApp,America/Los_Angeles,1750657130.403315,,False
instagram,,closedApp,America/Los_Angeles,1750657730.403315,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1750657730.403315,,False
instagram,,openedApp,America/Los_Angeles,1750718281.1120691,,False
instagram,,closedApp,America/Los_Angeles,1750718881.11207,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1750718881.11207,,False
instagram,,openedApp,America/Los_Angeles,1750723203.883202,,False
instagram,,closedApp,America/Los_Angeles,1750723803.883202,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1750723803.883202,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1750750904.698241,3.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1750795006.9586549,3.0,False
instagram,,openedApp,America/Los_Angeles,1750841002.8633718,,False
instagram,,closedApp,America/Los_Angeles,1750841602.863373,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1750841602.863373,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1750842862.184146,6.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1750988162.674669,6.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751086516.2504969,6.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751089721.544738,6.0,False
instagram,,openedApp,America/Los_Angeles,1751133778.458582,,False
instagram,,closedApp,America/Los_Angeles,1751134378.458582,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1751134378.458582,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751173822.0882092,6.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751307649.533661,6.0,False
instagram,,openedApp,America/Los_Angeles,1751307774.771287,,False
instagram,,closedApp,America/Los_Angeles,1751308374.771287,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1751308374.771287,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751344902.9065251,6.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751348539.810875,6.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751359063.7309508,6.0,False
instagram,,openedApp,America/Los_Angeles,1751358203.339392,,False
instagram,,closedApp,America/Los_Angeles,1751358803.3393931,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1751358803.3393931,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751430184.040211,6.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751507657.693892,6.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751508804.815273,6.0,False
instagram,,openedApp,America/Los_Angeles,1751764467.734278,,False
instagram,,closedApp,America/Los_Angeles,1751765067.734278,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1751765067.734278,,False
instagram,,openedApp,America/Los_Angeles,1751816848.226834,,False
instagram,,closedApp,America/Los_Angeles,1751817448.226835,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1751817448.226835,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751856915.038803,6.0,False
instagram,,openedApp,America/Los_Angeles,1751914833.575243,,False
instagram,,closedApp,America/Los_Angeles,1751915433.575243,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1751915433.575243,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751928562.577291,6.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751956777.517762,6.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1751997429.250154,6.0,False
instagram,,openedApp,America/Los_Angeles,1752088223.346733,,False
instagram,,closedApp,America/Los_Angeles,1752088823.346733,,False
instagram,,dismissedAppOpening,America/Los_Angeles,1752088823.346733,,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1752088845.5365062,6.0,False
instagram,breathingExercise,openedApp,America/Los_Angeles,1752094288.6587949,6.0,False
instagram,,openedApp,America/New_York,1752094883.0540152,,False
instagram,,closedApp,America/New_York,1752095483.0540152,,False
instagram,,dismissedAppOpening,America/New_York,1752095483.0540152,,False
instagram,breathingExercise,openedApp,America/New_York,1752124909.5200338,6.0,False
instagram,breathingExercise,openedApp,America/New_York,1752301205.614592,6.0,False
instagram,breathingExercise,openedApp,America/New_York,1752341315.602717,6.0,False
