timezone,app,isReIntervention,interventionType,resolution,timestamp,purpose,interventionDuration,timeIntervalUntilReIntervention
America/Los_Angeles,safari,False,breathingExercise,openedApp,1754010140.13621,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1754020284.069971,,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1754092843.318789,,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1754092862.036758,Bored,3.0,480.0
America/Los_Angeles,safari,False,breathingExercise,openedApp,1754092952.5752301,Bored,3.0,420.0
America/Los_Angeles,safari,False,breathingExercise,openedApp,1754096308.909377,Bored,3.0,180.0
America/Los_Angeles,safari,False,breathingExercise,openedApp,1754104022.9426131,Search Info,3.0,420.0
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1754116014.15503,,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1754274043.483026,Escape / Avoid,3.0,360.0
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1754274435.332053,,3.0,
