isReIntervention,timezone,timestamp,app,interventionType,resolution,interventionDuration
False,Europe/Berlin,1751295953.9783669,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751296231.486855,instagram,,closedApp,
False,Europe/Berlin,1751296279.015094,instagram,,closedApp,
False,Europe/Berlin,1751305512.903538,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751305808.611315,instagram,,closedApp,
False,Europe/Berlin,1751305823.612622,instagram,,closedApp,
False,Europe/Berlin,1751314197.36971,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1751314209.505847,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751314539.847206,instagram,,closedApp,
False,Europe/Berlin,1751314553.463883,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1751351081.059232,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751351341.738295,instagram,,closedApp,
False,Europe/Berlin,1751351419.4005399,instagram,,closedApp,
False,Europe/Berlin,1751351973.106174,instagram,,closedApp,
False,Europe/Berlin,1751375034.6604981,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751375604.717763,instagram,,closedApp,
False,Europe/Berlin,1751375912.412424,instagram,,closedApp,
False,Europe/Berlin,1751375930.3062549,instagram,,closedApp,
False,Europe/Berlin,1751391266.510624,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751468333.1351151,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1751468344.057668,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751468455.949151,instagram,,closedApp,
False,Europe/Berlin,1751472246.185575,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751472536.036308,instagram,,closedApp,
False,Europe/Berlin,1751524428.2986479,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751524766.438356,instagram,,closedApp,
False,Europe/Berlin,1751525003.283692,instagram,,closedApp,
False,Europe/Berlin,1751525451.693522,instagram,,closedApp,
False,Europe/Berlin,1751541518.06431,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751541829.70575,instagram,,closedApp,
False,Europe/Berlin,1751542091.666326,instagram,,closedApp,
False,Europe/Berlin,1751542137.344678,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751542247.304071,instagram,,closedApp,
False,Europe/Berlin,1751542746.988445,instagram,,closedApp,
False,Europe/Berlin,1751542756.424374,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1751562056.9011002,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751562129.348287,instagram,,closedApp,
False,Europe/Berlin,1751562191.07962,instagram,,closedApp,
False,Europe/Berlin,1751634395.732551,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751634545.946799,instagram,,closedApp,
False,Europe/Berlin,1751634637.467486,instagram,,closedApp,
False,Europe/Berlin,1751649793.695928,instagram,,closedApp,
False,Europe/Berlin,1751714804.193626,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751714880.999263,instagram,,closedApp,
False,Europe/Berlin,1751716555.517861,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751716790.5964708,instagram,,closedApp,
False,Europe/Berlin,1751717188.744549,instagram,,closedApp,
False,Europe/Berlin,1751720913.155802,instagram,,closedApp,
False,Europe/Berlin,1751785417.926481,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751786006.854268,instagram,,closedApp,
False,Europe/Berlin,1751786085.046365,instagram,,closedApp,
False,Europe/Berlin,1751789067.449613,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751789178.89739,instagram,,closedApp,
False,Europe/Berlin,1751799712.298986,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751800142.872398,instagram,,closedApp,
False,Europe/Berlin,1751804020.851675,instagram,breathingExercise,dismissedAppOpening,3.0
False,Europe/Berlin,1751804030.438482,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751804376.596302,instagram,,closedApp,
False,Europe/Berlin,1751804389.453213,instagram,breathingExercise,openedApp,3.0
False,Europe/Berlin,1751804639.13975,instagram,,closedApp,
False,Europe/Berlin,1751892627.9215999,instagram,breathingExercise,dismissedAppOpening,6.0
False,Europe/Berlin,1751906052.161346,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1751906741.5674438,instagram,,closedApp,
False,Europe/Berlin,1751906878.8992481,instagram,breathingExercise,dismissedAppOpening,6.0
False,Europe/Berlin,1751906911.049732,instagram,breathingExercise,dismissedAppOpening,6.0
False,Europe/Berlin,1751906926.248722,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1751907316.4810162,instagram,,closedApp,
False,Europe/Berlin,1751971104.793472,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1751971204.405015,instagram,,closedApp,
False,Europe/Berlin,1751972550.402514,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1751972880.017188,instagram,,closedApp,
False,Europe/Berlin,1751973232.277899,instagram,,closedApp,
False,Europe/Berlin,1751973264.5426779,instagram,,closedApp,
False,Europe/Berlin,1751973479.5147638,instagram,breathingExercise,dismissedAppOpening,6.0
False,Europe/Berlin,1751991240.743233,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1751991486.371992,instagram,,closedApp,
False,Europe/Berlin,1751991505.310981,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1751991776.2362518,instagram,,closedApp,
False,Europe/Berlin,1751991905.326867,instagram,,closedApp,
False,Europe/Berlin,1751992083.698236,instagram,,closedApp,
False,Europe/Berlin,1751992185.699897,instagram,,closedApp,
False,Europe/Berlin,1752048678.47721,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752048709.155164,instagram,,closedApp,
False,Europe/Berlin,1752051738.909093,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752051797.8869882,instagram,,closedApp,
False,Europe/Berlin,1752067013.097044,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752067235.978514,instagram,,closedApp,
False,Europe/Berlin,1752205940.7259002,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752206132.223592,instagram,,closedApp,
False,Europe/Berlin,1752206151.37993,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752206208.987687,instagram,,closedApp,
False,Europe/Berlin,1752206315.585932,instagram,,closedApp,
False,Europe/Berlin,1752206358.8000689,instagram,,closedApp,
False,Europe/Berlin,1752209339.5974689,instagram,,closedApp,
False,Europe/Berlin,1752246280.117642,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752246514.291985,instagram,,closedApp,
False,Europe/Berlin,1752246825.926803,instagram,,closedApp,
False,Europe/Berlin,1752246883.818371,instagram,breathingExercise,dismissedAppOpening,6.0
False,Europe/Berlin,1752256123.172826,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752260604.030456,instagram,breathingExercise,dismissedAppOpening,6.0
False,Europe/Berlin,1752256171.384659,instagram,,closedApp,
False,Europe/Berlin,1752301272.814139,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752301342.802546,instagram,,closedApp,
False,Europe/Berlin,1752302598.550746,instagram,,closedApp,
False,Europe/Berlin,1752336912.44493,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752336988.453027,instagram,,closedApp,
False,Europe/Berlin,1752338382.525403,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752338686.829206,instagram,,closedApp,
False,Europe/Berlin,1752338809.7947822,instagram,,closedApp,
False,Europe/Berlin,1752338929.1035218,instagram,,closedApp,
False,Europe/Berlin,1752404112.332674,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752404132.848633,instagram,,closedApp,
False,Europe/Berlin,1752412799.513186,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752413024.369224,instagram,,closedApp,
False,Europe/Berlin,1752413938.4882479,instagram,,closedApp,
False,Europe/Berlin,1752417952.677949,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752418283.76424,instagram,,closedApp,
False,Europe/Berlin,1752561810.8185549,instagram,breathingExercise,dismissedAppOpening,6.0
False,Europe/Berlin,1752561829.229447,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752561887.157845,instagram,,closedApp,
False,Europe/Berlin,1752574273.6394181,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752574491.537312,instagram,,closedApp,
False,Europe/Berlin,1752574572.2499661,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752575946.245846,instagram,,closedApp,
False,Europe/Berlin,1752645801.654057,youtube,,closedApp,
False,Europe/Berlin,1752645907.099924,youtube,,closedApp,
False,Europe/Berlin,1752648266.1191812,youtube,,closedApp,
False,Europe/Berlin,1752672684.3139138,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752673145.818279,instagram,,closedApp,
False,Europe/Berlin,1752673165.174895,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752673223.588125,instagram,,closedApp,
False,Europe/Berlin,1752673328.967266,instagram,,closedApp,
False,Europe/Berlin,1752673673.8846169,instagram,,closedApp,
False,Europe/Berlin,1752674780.7684278,instagram,,closedApp,
False,Europe/Berlin,1752674863.0146399,instagram,,closedApp,
False,Europe/Berlin,1752747693.4563951,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752748956.547395,instagram,breathingExercise,dismissedAppOpening,6.0
False,Europe/Berlin,1752747819.906424,instagram,,closedApp,
False,Europe/Berlin,1752748122.256769,instagram,,closedApp,
False,Europe/Berlin,1752766507.9706268,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752766843.184608,instagram,,closedApp,
False,Europe/Berlin,1752767075.691283,instagram,,closedApp,
False,Europe/Berlin,1752773464.735631,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752773826.232963,instagram,,closedApp,
False,Europe/Berlin,1752775235.525817,instagram,,closedApp,
False,Europe/Berlin,1752823811.867317,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752824010.907038,instagram,,closedApp,
False,Europe/Berlin,1752824420.1955361,instagram,,closedApp,
False,Europe/Berlin,1752834991.005684,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752835258.0033731,instagram,,closedApp,
False,Europe/Berlin,1752835369.2248921,instagram,,closedApp,
False,Europe/Berlin,1752836072.185163,instagram,,closedApp,
False,Europe/Berlin,1752836268.962187,instagram,,closedApp,
False,Europe/Berlin,1752844644.114836,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1752844760.114871,instagram,,closedApp,
False,Europe/Berlin,1752844950.5424051,instagram,breathingExercise,dismissedAppOpening,6.0
False,Europe/Berlin,1753014716.8706908,youtube,,closedApp,
False,Europe/Berlin,1753014795.046544,youtube,,closedApp,
False,Europe/Berlin,1753015187.020155,youtube,,closedApp,
False,Europe/Berlin,1753015282.5758061,youtube,,closedApp,
False,Europe/Berlin,1753016007.640414,youtube,,closedApp,
False,Europe/Berlin,1753114663.298203,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753114989.1535501,instagram,,closedApp,
False,Europe/Berlin,1753115124.864368,instagram,,closedApp,
False,Europe/Berlin,1753115143.376704,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753115639.2663321,instagram,,closedApp,
False,Europe/Berlin,1753174500.744689,youtube,,closedApp,
False,Europe/Berlin,1753174812.466542,youtube,,closedApp,
False,Europe/Berlin,1753175011.871376,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753175265.877604,instagram,,closedApp,
False,Europe/Berlin,1753177746.97488,youtube,,closedApp,
False,Europe/Berlin,1753178473.1621861,youtube,,closedApp,
False,Europe/Berlin,1753282461.854296,instagram,breathingExercise,dismissedAppOpening,6.0
False,Europe/Berlin,1753282509.1265311,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753282861.4720511,instagram,,closedApp,
False,Europe/Berlin,1753283609.716577,instagram,,closedApp,
False,Europe/Berlin,1753283814.823104,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753284455.4073439,instagram,,closedApp,
False,Europe/Berlin,1753287802.308945,instagram,,closedApp,
False,Europe/Berlin,1753342276.8445048,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753342487.976476,instagram,,closedApp,
False,Europe/Berlin,1753343816.638233,instagram,,closedApp,
False,Europe/Berlin,1753343850.265768,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753343873.660752,instagram,,closedApp,
False,Europe/Berlin,1753343909.635819,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753343934.287898,instagram,,closedApp,
False,Europe/Berlin,1753344049.344414,instagram,breathingExercise,dismissedAppOpening,6.0
False,Europe/Berlin,1753368685.027514,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753368814.997816,instagram,,closedApp,
False,Europe/Berlin,1753370987.802791,instagram,,closedApp,
False,Europe/Berlin,1753371867.034421,youtube,,closedApp,
False,Europe/Berlin,1753377051.2341452,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753377203.396675,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753377321.583045,instagram,,closedApp,
False,Europe/Berlin,1753377997.75224,instagram,,closedApp,
False,Europe/Berlin,1753440734.80084,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753440991.100944,instagram,,closedApp,
False,Europe/Berlin,1753441114.400846,instagram,,closedApp,
False,Europe/Berlin,1753441541.4195461,instagram,,closedApp,
False,Europe/Berlin,1753535861.6192,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753536104.043326,instagram,,closedApp,
False,Europe/Berlin,1753617673.7135382,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753618317.062611,instagram,,closedApp,
False,Europe/Berlin,1753618634.004844,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753618803.5635772,instagram,,closedApp,
False,Europe/Berlin,1753629208.5599818,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753629506.999621,instagram,,closedApp,
False,Europe/Berlin,1753629613.783074,instagram,,closedApp,
False,Europe/Berlin,1753629665.5029612,instagram,,closedApp,
False,Europe/Berlin,1753705447.0408502,youtube,,closedApp,
False,Europe/Berlin,1753705771.712085,youtube,,closedApp,
False,Europe/Berlin,1753706476.739958,youtube,,closedApp,
False,Europe/Berlin,1753723939.583074,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753724351.527258,instagram,,closedApp,
False,Europe/Berlin,1753724768.803036,instagram,,closedApp,
False,Europe/Berlin,1753725996.7126942,instagram,,closedApp,
False,Europe/Berlin,1753726085.482061,instagram,,closedApp,
False,Europe/Berlin,1753726320.820581,instagram,,closedApp,
False,Europe/Berlin,1753798078.087359,instagram,breathingExercise,openedApp,6.0
False,Europe/Berlin,1753798103.680496,instagram,breathingExercise,openedApp,6.0
