isReIntervention,interventionDuration,timestamp,app,timezone,interventionType,resolution,timeIntervalUntilReIntervention
False,3.0,1752414273.045669,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752414582.5339231,instagram,Europe/Berlin,,closedApp,
False,3.0,1752423357.003139,instagram,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752423769.442317,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752423651.876796,instagram,Europe/Berlin,,closedApp,
False,,1752423797.703989,instagram,Europe/Berlin,,closedApp,
False,3.0,1752476071.018217,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752476324.6168861,instagram,Europe/Berlin,,closedApp,
False,3.0,1752476359.413166,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752476475.785627,instagram,Europe/Berlin,,closedApp,
False,3.0,1752483134.4897718,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752484105.9810128,instagram,Europe/Berlin,,closedApp,
False,,1752485213.643413,instagram,Europe/Berlin,,closedApp,
False,3.0,1752492175.799963,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752493226.640784,instagram,Europe/Berlin,,closedApp,
False,3.0,1752493452.6128058,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752494521.361114,youtube,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,3.0,1752502100.030791,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752502153.403516,instagram,Europe/Berlin,,closedApp,
False,3.0,1752516748.790501,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752516820.1823611,instagram,Europe/Berlin,,closedApp,
False,3.0,1752524355.487715,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752524419.2950249,instagram,Europe/Berlin,,closedApp,
False,3.0,1752525276.194407,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752527715.447112,instagram,Europe/Berlin,,closedApp,
False,3.0,1752556722.886026,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752558655.9966989,instagram,Europe/Berlin,,closedApp,
False,3.0,1752559848.17701,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,3.0,1752559859.057203,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752560055.9263902,instagram,Europe/Berlin,,closedApp,
False,3.0,1752564895.7337189,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752573028.5014338,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752600746.802218,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752601253.788261,instagram,Europe/Berlin,,closedApp,
False,3.0,1752604465.935435,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,3.0,1752604535.120096,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752605020.511812,instagram,Europe/Berlin,,closedApp,
False,3.0,1752610277.078459,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752612609.577313,instagram,Europe/Berlin,,closedApp,
False,3.0,1752645541.482656,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752645602.3290272,instagram,Europe/Berlin,,closedApp,
False,,1752646479.821913,instagram,Europe/Berlin,,closedApp,
False,3.0,1752649830.659121,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752650210.403038,instagram,Europe/Berlin,,closedApp,
False,3.0,1752657085.076604,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752658981.193495,instagram,Europe/Berlin,,closedApp,
False,3.0,1752665096.39404,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752665680.070843,instagram,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752701774.629554,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752666489.858186,instagram,Europe/Berlin,,closedApp,
False,,1752703142.661228,instagram,Europe/Berlin,,closedApp,
False,3.0,1752729818.423537,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,3.0,1752729898.8518062,instagram,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752733546.561826,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752734413.2200751,instagram,Europe/Berlin,,closedApp,
False,3.0,1752785396.805355,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752785913.1381478,instagram,Europe/Berlin,,closedApp,
False,3.0,1752785950.878011,instagram,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752809519.099059,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752786006.2497668,instagram,Europe/Berlin,,closedApp,
False,,1752812214.761215,instagram,Europe/Berlin,,closedApp,
False,3.0,1752812239.626576,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752812830.653191,instagram,Europe/Berlin,,closedApp,
False,3.0,1752852989.780132,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,3.0,1752853001.8972669,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752853031.404625,instagram,Europe/Berlin,,closedApp,
False,3.0,1752853479.629045,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,3.0,1752853636.491251,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752853957.210063,instagram,Europe/Berlin,,closedApp,
False,,1752854428.908334,instagram,Europe/Berlin,,closedApp,
False,3.0,1752857997.666966,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752858624.096408,instagram,Europe/Berlin,,closedApp,
False,3.0,1752867924.659398,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752867983.208175,instagram,Europe/Berlin,,closedApp,
False,3.0,1752909293.26715,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752909938.251884,instagram,Europe/Berlin,,closedApp,
False,3.0,1752917822.9789538,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752918003.328382,instagram,Europe/Berlin,,closedApp,
False,3.0,1752918051.618029,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752919438.683027,instagram,Europe/Berlin,,closedApp,
False,3.0,1752928157.674292,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752928258.412274,instagram,Europe/Berlin,,closedApp,
False,3.0,1752929155.3065162,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752929186.270859,instagram,Europe/Berlin,,closedApp,
False,3.0,1752930622.712872,instagram,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752996865.624126,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752931185.978778,instagram,Europe/Berlin,,closedApp,
False,,1752997073.2868,instagram,Europe/Berlin,,closedApp,
False,,1752998123.24535,instagram,Europe/Berlin,,closedApp,
False,3.0,1752998280.248547,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752999391.547759,instagram,Europe/Berlin,,closedApp,
False,6.0,1753012633.247535,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753012966.264584,instagram,Europe/Berlin,,closedApp,
False,6.0,1753018775.947814,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753018911.1969109,instagram,Europe/Berlin,,closedApp,
False,6.0,1753022981.359566,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753023108.3260489,instagram,Europe/Berlin,,closedApp,
False,6.0,1753026155.739603,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753027401.347163,instagram,Europe/Berlin,,closedApp,
False,6.0,1753038049.821074,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753038179.375156,instagram,Europe/Berlin,,closedApp,
False,6.0,1753042764.0702848,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753045204.914956,instagram,Europe/Berlin,,closedApp,
False,6.0,1753089277.6586409,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753090086.2897081,instagram,Europe/Berlin,,closedApp,
False,6.0,1753090463.242939,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753092006.9129481,instagram,Europe/Berlin,,closedApp,
False,6.0,1753172855.6722531,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753174769.869241,instagram,Europe/Berlin,,closedApp,
False,6.0,1753177541.5870008,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753179320.7491689,instagram,Europe/Berlin,,closedApp,
False,6.0,1753181779.184614,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753182337.124452,instagram,Europe/Berlin,,closedApp,
False,6.0,1753183614.425778,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,6.0,1753201198.4271379,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753201891.644618,instagram,Europe/Berlin,,closedApp,
False,6.0,1753211740.915019,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,6.0,1753211842.1601539,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753212093.7396898,instagram,Europe/Berlin,,closedApp,
False,6.0,1753212119.775564,instagram,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753214070.212934,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,,1753214011.934037,instagram,Europe/Berlin,,closedApp,
False,6.0,1753216010.0085301,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753217392.715302,instagram,Europe/Berlin,,closedApp,
False,6.0,1753249913.033452,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753250402.6430879,instagram,Europe/Berlin,,closedApp,
False,,1753252082.70884,instagram,Europe/Berlin,,closedApp,
False,6.0,1753253656.066553,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753253711.873909,instagram,Europe/Berlin,,closedApp,
False,6.0,1753253922.093817,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753253935.068686,instagram,Europe/Berlin,,closedApp,
False,6.0,1753255076.832799,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753257204.146827,instagram,Europe/Berlin,,closedApp,
False,6.0,1753266894.78951,youtube,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753280226.625952,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753280425.134234,instagram,Europe/Berlin,,closedApp,
False,,1753280526.853713,instagram,Europe/Berlin,,closedApp,
False,6.0,1753284445.380227,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,6.0,1753341097.670689,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753341140.0116,instagram,Europe/Berlin,,closedApp,
False,6.0,1753341162.634781,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753341934.177445,instagram,Europe/Berlin,,closedApp,
False,6.0,1753348101.4624748,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753349139.8097382,instagram,Europe/Berlin,,closedApp,
False,6.0,1753355481.6397061,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753355880.097549,instagram,Europe/Berlin,,closedApp,
False,6.0,1753356033.167224,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753356605.9735231,instagram,Europe/Berlin,,closedApp,
False,6.0,1753359924.593924,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753360259.023758,instagram,Europe/Berlin,,closedApp,
False,,1753360298.149866,instagram,Europe/Berlin,,closedApp,
False,6.0,1753380615.700924,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753381411.4931889,instagram,Europe/Berlin,,closedApp,
False,6.0,1753386157.025505,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753386466.607811,instagram,Europe/Berlin,,closedApp,
False,6.0,1753386575.622305,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,6.0,1753389283.608893,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753389414.5088491,instagram,Europe/Berlin,,closedApp,
False,,1753389562.333323,instagram,Europe/Berlin,,closedApp,
False,6.0,1753389599.75687,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,6.0,1753389615.721496,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753390267.083966,instagram,Europe/Berlin,,closedApp,
False,6.0,1753424470.7650042,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753425077.234415,instagram,Europe/Berlin,,closedApp,
False,6.0,1753437660.309834,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753438490.003063,instagram,Europe/Berlin,,closedApp,
False,6.0,1753440155.295825,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753441895.757689,instagram,Europe/Berlin,,closedApp,
False,6.0,1753441922.777773,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,6.0,1753441978.058622,youtube,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753442629.674242,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753443158.747637,instagram,Europe/Berlin,,closedApp,
False,6.0,1753461282.3154101,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753461424.118287,instagram,Europe/Berlin,,closedApp,
False,6.0,1753476876.314455,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753477817.2148662,instagram,Europe/Berlin,,closedApp,
False,6.0,1753519408.364133,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753519872.028679,instagram,Europe/Berlin,,closedApp,
False,6.0,1753524671.314639,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753524724.070379,instagram,Europe/Berlin,,closedApp,
False,6.0,1753562460.490855,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753563156.304,instagram,Europe/Berlin,,closedApp,
False,6.0,1753605766.3821778,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753606433.297418,instagram,Europe/Berlin,,closedApp,
False,6.0,1753606490.232641,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753606538.733154,instagram,Europe/Berlin,,closedApp,
False,6.0,1753606577.5290952,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753608966.586724,instagram,Europe/Berlin,,closedApp,
False,6.0,1753619104.83358,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753619368.8724751,instagram,Europe/Berlin,,closedApp,
False,6.0,1753627053.340555,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753627156.677898,instagram,Europe/Berlin,,closedApp,
False,6.0,1753630983.829181,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753633962.988725,instagram,Europe/Berlin,,closedApp,
False,6.0,1753634732.675651,youtube,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753643922.6930199,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753644175.866287,instagram,Europe/Berlin,,closedApp,
False,,1753645001.921943,instagram,Europe/Berlin,,closedApp,
False,6.0,1753695210.718851,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753695295.963521,instagram,Europe/Berlin,,closedApp,
False,6.0,1753695909.953938,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753696926.594967,instagram,Europe/Berlin,,closedApp,
False,6.0,1753708507.5142,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753709455.654336,instagram,Europe/Berlin,,closedApp,
False,6.0,1753728379.341851,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753728812.383153,instagram,Europe/Berlin,,closedApp,
False,6.0,1753776239.4352279,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753777821.266926,instagram,Europe/Berlin,,closedApp,
False,6.0,1753783400.66289,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753784541.037143,instagram,Europe/Berlin,,closedApp,
False,6.0,1753808618.37414,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753809969.5330539,instagram,Europe/Berlin,,closedApp,
False,6.0,1753810004.389079,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753811749.3146272,instagram,Europe/Berlin,,closedApp,
False,6.0,1753818382.845155,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753818907.437959,instagram,Europe/Berlin,,closedApp,
False,6.0,1753819070.5138168,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753820193.336905,instagram,Europe/Berlin,,closedApp,
False,6.0,1753874082.588259,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753874683.5028849,instagram,Europe/Berlin,,closedApp,
False,6.0,1753877395.0471082,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,6.0,1753877422.655488,instagram,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753880412.0823112,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,,1753880336.677171,instagram,Europe/Berlin,,closedApp,
False,6.0,1753882510.243226,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753883296.9817529,instagram,Europe/Berlin,,closedApp,
False,6.0,1753887992.9994931,youtube,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753888836.3910542,youtube,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753889548.7081409,youtube,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,6.0,1753889747.490437,youtube,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753890047.653483,youtube,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,6.0,1753890822.037619,youtube,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753891226.8700662,youtube,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753891471.4589581,youtube,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753891755.6999831,youtube,Europe/Berlin,breathingExercise,openedApp,
False,6.0,1753901743.170395,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753902049.552881,instagram,Europe/Berlin,,closedApp,
False,6.0,1753902208.773075,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753902884.6961799,instagram,Europe/Berlin,,closedApp,
False,6.0,1753941068.813772,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1753941603.6385632,instagram,Europe/Berlin,,closedApp,
False,,1753944651.483635,instagram,Europe/Berlin,,closedApp,
False,6.0,1753958585.5327091,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,6.0,1753958603.998179,instagram,Europe/Berlin,breathingExercise,openedApp,
