timezone,timestamp,isReIntervention,interventionDuration,app,interventionType,resolution
America/New_York,1754052129.363334,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754052372.053684,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754052428.7054272,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754052573.7986279,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754052718.359417,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754052785.6198602,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754053106.063339,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754053220.265047,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754053325.295659,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754053484.730741,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754053597.756151,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754053742.038523,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1754053757.816036,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754054130.5471659,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754058601.890153,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754100321.360697,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1754100329.3547,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754136473.5140429,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754136533.732763,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754143141.116086,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1754176630.883881,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754183841.5006862,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754223951.348494,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754224581.879818,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754224720.1321712,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754224816.9623399,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754263294.200516,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754308422.9247708,False,6.0,youtube,breathingExercise,openedApp
America/New_York,1754309245.5501971,False,6.0,youtube,breathingExercise,dismissedAppOpening
America/New_York,1754313576.4051929,False,6.0,youtube,breathingExercise,dismissedAppOpening
America/New_York,1754313594.086544,False,6.0,youtube,breathingExercise,openedApp
America/New_York,1754355212.148768,False,6.0,youtube,breathingExercise,openedApp
America/New_York,1754355866.213509,False,6.0,youtube,breathingExercise,dismissedAppOpening
America/New_York,1754355883.166843,False,6.0,youtube,breathingExercise,openedApp
America/New_York,1754358500.2595,False,6.0,youtube,breathingExercise,openedApp
America/New_York,1754358724.169918,False,6.0,youtube,breathingExercise,openedApp
America/New_York,1754360346.488099,False,6.0,youtube,breathingExercise,openedApp
America/New_York,1754395425.641249,False,6.0,youtube,breathingExercise,openedApp
