interventionType,timestamp,interventionDuration,resolution,app,timezone,isReIntervention
breathingExercise,1750707538.6877608,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750721117.0506291,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750776721.1363978,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750779430.236291,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750779455.388834,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750781210.722817,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750785085.8323889,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750785214.965416,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750786945.801525,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750787176.068098,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750793013.514179,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750794711.684036,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750794904.1852741,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750798941.5459142,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750801034.738117,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750814672.680357,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750815356.5713549,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750815387.426292,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750815591.36503,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750815918.5951371,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750852834.3126369,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750864381.754949,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750868480.235584,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750868651.40068,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750868712.832374,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750868780.893724,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750869641.4515991,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750869700.06738,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750871520.755018,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750876309.096292,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750877940.307307,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750878342.3443398,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750878444.629677,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750878567.596461,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750879068.6780028,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750879371.713794,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750881109.5941591,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750886173.2561312,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750886244.554288,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750887578.8856359,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750888443.6774411,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750890683.592778,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750890691.492171,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750890757.190332,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750890791.060542,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750891273.899755,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750899430.880435,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750899435.657516,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750899442.841416,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750934147.1311312,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750938102.245872,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750956571.275731,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750956956.7117372,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750957026.9241,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750957271.3660998,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750957323.068046,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750957407.997322,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750958600.458442,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750962519.4811258,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750963788.962761,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750967978.3976622,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750968355.4358702,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750970832.7529001,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750971993.928359,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750972002.015376,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750972017.142919,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750973741.836831,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750974039.243919,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750974227.28924,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750980706.076992,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750980979.4203439,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750985001.316787,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750987581.452345,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750989532.697851,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750989783.752804,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751021455.646939,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751021508.4285269,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751021841.5954762,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751021939.90828,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751022022.823657,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751022131.161498,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751022256.511746,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751022377.792398,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751022633.1847801,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751022759.207653,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751022889.585531,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751023011.632627,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751023139.718473,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751023217.926511,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751023624.08745,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751023641.044578,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751024713.661139,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751031985.454442,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751032018.4168038,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751035441.235238,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751037463.812025,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751047390.59519,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751051477.2968059,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751059289.769345,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751067821.2718391,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751068259.863768,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751068575.519284,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751069159.837271,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751070212.118277,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751070621.359023,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751070742.252445,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751070818.8272738,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751070925.061111,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751107804.7214851,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751107912.039372,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751108721.7712998,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751109153.3871121,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751109635.7417002,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751109950.545762,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751113398.6541991,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751114917.111736,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751115266.493458,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751115686.633276,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751120900.714198,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751123328.838853,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751123495.645856,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751125181.247468,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751125506.746408,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751125736.9332051,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751128771.932547,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751128813.5534182,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751132531.601252,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751133537.914837,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751133929.626509,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751138092.0192552,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751138538.543011,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751138653.862654,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751139515.807406,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751140799.714792,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751141102.652138,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751141223.483214,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751141761.463101,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1751142574.245784,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751143231.9138088,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751143339.018616,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751149226.0539598,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751149347.97722,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751149658.057516,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751149883.3217812,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751152458.454414,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751152642.2898211,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751152675.813978,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751197043.177876,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751197227.705782,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751197312.6852,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751197410.235563,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751197488.379181,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751198224.263144,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751198659.81199,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751209212.360886,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751210770.42469,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751210964.6693769,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751211039.04396,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751211146.263746,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751211232.2964048,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751211339.846766,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751211422.0771918,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751211538.697418,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751211662.988797,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751226524.033926,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751231841.3380241,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751232030.037761,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751232194.880641,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751233148.283102,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751236278.480684,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751236369.3510299,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751236620.588375,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1751236735.6519141,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751281307.0431151,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751281571.653181,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751281744.296407,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751281766.369728,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751281871.0286531,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751282851.761899,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751283184.142717,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751289425.1176739,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751289915.7657928,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1751296211.943289,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751296232.086505,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1751296254.940946,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751298268.104113,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751298537.1376271,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751298627.282158,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751298642.482492,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751298721.151571,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751301332.082525,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751301611.842626,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751306010.226207,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751310023.647737,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751310796.8769732,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751311268.988174,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751313964.874063,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751322436.379405,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751322577.075995,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751329427.442428,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751333491.35747,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751334263.0367541,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1751369150.803928,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751369573.408912,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751369646.760597,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751369905.4026818,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751370005.502902,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751370089.024967,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751370111.1055899,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751370199.901576,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751370277.100834,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751378657.92543,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751381301.203768,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751384555.313425,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1751388860.741284,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751390279.979967,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751390391.217011,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1751393020.415022,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751399573.1522322,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751403964.4765239,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751404444.9724588,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751404743.227674,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751406386.206846,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751408502.0927281,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751408608.162097,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751408674.1843162,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751408887.824851,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751408962.2511191,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751409465.791337,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751409569.230393,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751411991.6815372,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751419419.048335,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751451605.06025,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1751451616.197276,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751451984.6729941,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751452646.164577,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751452777.837239,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751454422.271934,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751455780.286936,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751455888.8057718,1.5,openedApp,safari,America/New_York,False
breathingExercise,1751456010.537218,1.5,openedApp,safari,America/New_York,False
