app,interventionType,timezone,timestamp,resolution,isReIntervention,interventionDuration
instagram,,Europe/London,1753197895.716511,closedApp,False,
instagram,breathingExercise,Europe/London,1753199155.195008,openedApp,False,1.5
instagram,,Europe/London,1753199372.77009,closedApp,False,
mail,breathingExercise,Europe/London,1753199618.8179588,openedApp,False,1.5
mail,,Europe/London,1753199673.610775,closedApp,False,
mail,,Europe/London,1753200158.264607,closedApp,False,
mail,,Europe/London,1753200873.9547749,closedApp,False,
mail,breathingExercise,Europe/London,1753207104.438538,openedApp,False,1.5
gmail,breathingExercise,Europe/London,1753207109.858333,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753207968.4414248,openedApp,False,1.5
safari,,Europe/London,1753208037.793694,closedApp,False,
safari,breathingExercise,Europe/London,1753217423.6783972,openedApp,False,1.5
safari,,Europe/London,1753217453.4818702,closedApp,False,
safari,breathingExercise,Europe/London,1753218762.25191,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753261589.542903,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753261681.099111,openedApp,False,1.5
mail,,Europe/London,1753261703.018475,closedApp,False,
safari,breathingExercise,Europe/London,1753261734.916706,openedApp,False,1.5
mail,,Europe/London,1753262011.7415218,closedApp,False,
mail,,Europe/London,1753262080.377481,closedApp,False,
safari,,Europe/London,1753261854.6651669,closedApp,False,
facebook,breathingExercise,Europe/London,1753262133.966579,openedApp,False,1.5
facebook,,Europe/London,1753262354.643764,closedApp,False,
mail,breathingExercise,Europe/London,1753262927.798073,openedApp,False,1.5
mail,,Europe/London,1753262941.966515,closedApp,False,
facebook,breathingExercise,Europe/London,1753266078.1487598,openedApp,False,1.5
facebook,,Europe/London,1753266412.490932,closedApp,False,
facebook,,Europe/London,1753266496.724798,closedApp,False,
facebook,,Europe/London,1753266620.843347,closedApp,False,
facebook,,Europe/London,1753266684.469702,closedApp,False,
facebook,,Europe/London,1753266951.93277,closedApp,False,
facebook,,Europe/London,1753267188.490253,closedApp,False,
mail,breathingExercise,Europe/London,1753267804.08548,openedApp,False,1.5
mail,,Europe/London,1753267836.197874,closedApp,False,
mail,breathingExercise,Europe/London,1753269198.143341,openedApp,False,1.5
mail,,Europe/London,1753269229.3635879,closedApp,False,
gmail,breathingExercise,Europe/London,1753269236.9997358,openedApp,False,1.5
gmail,,Europe/London,1753269251.910903,closedApp,False,
mail,breathingExercise,Europe/London,1753272164.042554,openedApp,False,1.5
mail,,Europe/London,1753272196.909931,closedApp,False,
gmail,breathingExercise,Europe/London,1753274047.106808,openedApp,False,1.5
gmail,,Europe/London,1753274099.671514,closedApp,False,
safari,breathingExercise,Europe/London,1753274203.3216681,openedApp,False,1.5
safari,,Europe/London,1753274264.663923,closedApp,False,
safari,,Europe/London,1753274382.743227,closedApp,False,
safari,,Europe/London,1753274405.1666331,closedApp,False,
mail,breathingExercise,Europe/London,1753278830.698096,openedApp,False,1.5
gmail,breathingExercise,Europe/London,1753278852.4625812,openedApp,False,1.5
facebook,breathingExercise,Europe/London,1753279439.493777,openedApp,False,1.5
facebook,,Europe/London,1753279803.400492,closedApp,False,
gmail,,Europe/London,1753278881.213733,closedApp,False,
instagram,breathingExercise,Europe/London,1753279821.312074,openedApp,False,1.5
instagram,,Europe/London,1753279836.40521,closedApp,False,
safari,breathingExercise,Europe/London,1753281216.448766,openedApp,False,1.5
safari,,Europe/London,1753281256.1513119,closedApp,False,
safari,,Europe/London,1753281770.544719,closedApp,False,
safari,,Europe/London,1753281811.0456228,closedApp,False,
mail,breathingExercise,Europe/London,1753281822.3522758,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753282141.2610989,dismissedAppOpening,False,1.5
facebook,breathingExercise,Europe/London,1753282151.1318588,openedApp,False,1.5
facebook,,Europe/London,1753282349.97456,closedApp,False,
mail,breathingExercise,Europe/London,1753282357.509258,openedApp,False,1.5
mail,,Europe/London,1753282372.278535,closedApp,False,
safari,breathingExercise,Europe/London,1753282451.015686,openedApp,False,1.5
gmail,breathingExercise,Europe/London,1753283277.226212,openedApp,False,1.5
mail,,Europe/London,1753282558.933013,closedApp,False,
mail,,Europe/London,1753282817.0750198,closedApp,False,
gmail,,Europe/London,1753283330.367971,closedApp,False,
safari,,Europe/London,1753282464.416051,closedApp,False,
safari,,Europe/London,1753282978.09778,closedApp,False,
safari,,Europe/London,1753283271.677326,closedApp,False,
instagram,breathingExercise,Europe/London,1753283384.096355,openedApp,False,1.5
instagram,,Europe/London,1753284074.887923,closedApp,False,
mail,,Europe/London,1753283376.3415089,closedApp,False,
safari,breathingExercise,Europe/London,1753284477.5119572,openedApp,False,1.5
safari,,Europe/London,1753284693.238872,closedApp,False,
safari,,Europe/London,1753287116.7106972,closedApp,False,
gmail,breathingExercise,Europe/London,1753287331.821881,openedApp,False,1.5
gmail,breathingExercise,Europe/London,1753301477.1148381,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753301674.215961,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753305287.3186002,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753305370.74969,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753305382.367491,openedApp,False,1.5
mail,,Europe/London,1753305417.661082,closedApp,False,
safari,breathingExercise,Europe/London,1753306169.1823158,openedApp,False,1.5
safari,,Europe/London,1753306250.399229,closedApp,False,
safari,,Europe/London,1753306270.2054548,closedApp,False,
safari,,Europe/London,1753306556.7795482,closedApp,False,
safari,,Europe/London,1753306683.0715752,closedApp,False,
safari,,Europe/London,1753306842.84816,closedApp,False,
mail,breathingExercise,Europe/London,1753306846.5624719,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753306856.1902142,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753307181.3477368,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753337672.898917,openedApp,False,1.5
mail,,Europe/London,1753337834.4843302,closedApp,False,
gmail,,Europe/London,1753306874.539973,closedApp,False,
gmail,,Europe/London,1753307145.652554,closedApp,False,
gmail,,Europe/London,1753307178.5954552,closedApp,False,
safari,breathingExercise,Europe/London,1753337840.055197,openedApp,False,1.5
gmail,breathingExercise,Europe/London,1753337864.1257238,dismissedAppOpening,False,1.5
mail,,Europe/London,1753337896.7414122,closedApp,False,
safari,,Europe/London,1753337962.224849,closedApp,False,
gmail,breathingExercise,Europe/London,1753340100.894548,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753340116.027687,openedApp,False,1.5
mail,,Europe/London,1753340223.953104,closedApp,False,
safari,breathingExercise,Europe/London,1753340229.730256,openedApp,False,1.5
safari,,Europe/London,1753340267.158767,closedApp,False,
mail,breathingExercise,Europe/London,1753341932.850663,openedApp,False,1.5
mail,,Europe/London,1753341963.157383,closedApp,False,
facebook,breathingExercise,Europe/London,1753341978.610076,openedApp,False,1.5
facebook,,Europe/London,1753342239.8717709,closedApp,False,
facebook,,Europe/London,1753342336.833496,closedApp,False,
safari,breathingExercise,Europe/London,1753343127.695942,openedApp,False,1.5
safari,,Europe/London,1753343225.3656049,closedApp,False,
mail,breathingExercise,Europe/London,1753343230.2054281,openedApp,False,1.5
mail,,Europe/London,1753343243.5219378,closedApp,False,
safari,,Europe/London,1753343291.2677422,closedApp,False,
safari,,Europe/London,1753343312.519709,closedApp,False,
safari,,Europe/London,1753344897.549224,closedApp,False,
mail,breathingExercise,Europe/London,1753351253.958662,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753352794.50331,openedApp,False,1.5
safari,,Europe/London,1753353073.7498631,closedApp,False,
safari,,Europe/London,1753353553.1643028,closedApp,False,
safari,,Europe/London,1753353768.846674,closedApp,False,
mail,breathingExercise,Europe/London,1753354901.895945,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753354910.700131,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753354922.0298939,openedApp,False,1.5
mail,,Europe/London,1753354971.852442,closedApp,False,
mail,breathingExercise,Europe/London,1753356141.926948,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753357019.061603,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753357374.7941341,openedApp,False,1.5
safari,,Europe/London,1753357563.576033,closedApp,False,
safari,,Europe/London,1753357728.506044,closedApp,False,
safari,breathingExercise,Europe/London,1753358492.498488,openedApp,False,1.5
safari,,Europe/London,1753358825.03061,closedApp,False,
gmail,breathingExercise,Europe/London,1753358841.717547,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753358850.1531692,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753360211.745337,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753360844.089769,openedApp,False,1.5
mail,,Europe/London,1753360858.348339,closedApp,False,
gmail,breathingExercise,Europe/London,1753360863.797647,openedApp,False,1.5
gmail,,Europe/London,1753360895.4692678,closedApp,False,
facebook,breathingExercise,Europe/London,1753360904.249628,openedApp,False,1.5
facebook,,Europe/London,1753361414.721336,closedApp,False,
safari,breathingExercise,Europe/London,1753361420.502265,openedApp,False,1.5
facebook,,Europe/London,1753362106.508239,closedApp,False,
safari,,Europe/London,1753361816.319378,closedApp,False,
safari,,Europe/London,1753361875.200146,closedApp,False,
gmail,breathingExercise,Europe/London,1753362108.321234,dismissedAppOpening,False,1.5
facebook,,Europe/London,1753362170.809828,closedApp,False,
instagram,breathingExercise,Europe/London,1753362234.923301,openedApp,False,1.5
instagram,,Europe/London,1753363534.213382,closedApp,False,
instagram,breathingExercise,Europe/London,1753374265.77878,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753374281.009029,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753374299.8501248,openedApp,False,1.5
gmail,,Europe/London,1753374484.031052,closedApp,False,
gmail,,Europe/London,1753374552.6791759,closedApp,False,
gmail,,Europe/London,1753374608.283711,closedApp,False,
gmail,,Europe/London,1753374692.631034,closedApp,False,
gmail,,Europe/London,1753374756.541681,closedApp,False,
gmail,,Europe/London,1753374791.7408009,closedApp,False,
gmail,,Europe/London,1753374834.3967261,closedApp,False,
mail,breathingExercise,Europe/London,1753374841.5273561,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753374847.978263,openedApp,False,1.5
mail,,Europe/London,1753374867.341583,closedApp,False,
mail,,Europe/London,1753375216.726383,closedApp,False,
gmail,,Europe/London,1753374986.81109,closedApp,False,
gmail,,Europe/London,1753375106.4157948,closedApp,False,
gmail,,Europe/London,1753375176.0825071,closedApp,False,
instagram,breathingExercise,Europe/London,1753375732.313541,openedApp,False,1.5
instagram,,Europe/London,1753376113.230201,closedApp,False,
instagram,,Europe/London,1753377038.020708,closedApp,False,
safari,breathingExercise,Europe/London,1753377086.251756,openedApp,False,1.5
safari,,Europe/London,1753377102.124414,closedApp,False,
safari,,Europe/London,1753377147.705117,closedApp,False,
safari,,Europe/London,1753377239.52861,closedApp,False,
mail,breathingExercise,Europe/London,1753377390.1419249,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753377395.955724,openedApp,False,1.5
gmail,,Europe/London,1753377413.1952028,closedApp,False,
mail,breathingExercise,Europe/London,1753377417.494831,openedApp,False,1.5
mail,,Europe/London,1753377439.708836,closedApp,False,
safari,,Europe/London,1753377519.3453388,closedApp,False,
instagram,breathingExercise,Europe/London,1753379533.285311,openedApp,False,1.5
instagram,,Europe/London,1753379592.711954,closedApp,False,
safari,breathingExercise,Europe/London,1753379597.633287,openedApp,False,1.5
safari,,Europe/London,1753379614.889655,closedApp,False,
instagram,,Europe/London,1753379691.3200731,closedApp,False,
instagram,,Europe/London,1753379740.378347,closedApp,False,
instagram,breathingExercise,Europe/London,1753384110.196965,openedApp,False,1.5
instagram,,Europe/London,1753384124.6818,closedApp,False,
instagram,,Europe/London,1753384166.948147,closedApp,False,
instagram,,Europe/London,1753384420.662517,closedApp,False,
safari,breathingExercise,Europe/London,1753384425.234124,openedApp,False,1.5
instagram,,Europe/London,1753384470.889957,closedApp,False,
instagram,,Europe/London,1753384619.075739,closedApp,False,
instagram,,Europe/London,1753384838.0620441,closedApp,False,
instagram,,Europe/London,1753385058.988011,closedApp,False,
instagram,,Europe/London,1753385358.3481588,closedApp,False,
safari,,Europe/London,1753384449.833023,closedApp,False,
safari,,Europe/London,1753384657.747031,closedApp,False,
mail,breathingExercise,Europe/London,1753385376.2073622,openedApp,False,1.5
instagram,,Europe/London,1753385542.0331988,closedApp,False,
safari,breathingExercise,Europe/London,1753385967.339164,openedApp,False,1.5
safari,,Europe/London,1753386463.364913,closedApp,False,
instagram,breathingExercise,Europe/London,1753386466.770728,dismissedAppOpening,False,1.5
instagram,breathingExercise,Europe/London,1753386469.842372,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753386475.957026,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753428927.668256,openedApp,False,1.5
gmail,,Europe/London,1753428950.102312,closedApp,False,
mail,breathingExercise,Europe/London,1753428955.639303,openedApp,False,1.5
mail,,Europe/London,1753429124.200429,closedApp,False,
safari,breathingExercise,Europe/London,1753429129.031949,openedApp,False,1.5
safari,,Europe/London,1753429338.8856568,closedApp,False,
facebook,breathingExercise,Europe/London,1753429366.288807,openedApp,False,1.5
facebook,,Europe/London,1753430054.9916558,closedApp,False,
mail,breathingExercise,Europe/London,1753430432.231032,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753432568.603221,openedApp,False,1.5
safari,,Europe/London,1753432642.414288,closedApp,False,
safari,,Europe/London,1753432752.4533648,closedApp,False,
safari,breathingExercise,Europe/London,1753433440.527318,openedApp,False,1.5
safari,,Europe/London,1753433796.681621,closedApp,False,
safari,,Europe/London,1753433819.63019,closedApp,False,
safari,breathingExercise,Europe/London,1753438368.620376,openedApp,False,1.5
safari,,Europe/London,1753438526.180052,closedApp,False,
safari,,Europe/London,1753438917.098707,closedApp,False,
gmail,breathingExercise,Europe/London,1753439024.858862,dismissedAppOpening,False,1.5
safari,,Europe/London,1753439107.366352,closedApp,False,
safari,,Europe/London,1753439320.787195,closedApp,False,
mail,breathingExercise,Europe/London,1753439334.2341309,openedApp,False,1.5
mail,,Europe/London,1753439653.521236,closedApp,False,
mail,,Europe/London,1753440137.6380181,closedApp,False,
safari,,Europe/London,1753439380.6114469,closedApp,False,
safari,,Europe/London,1753439428.945379,closedApp,False,
safari,,Europe/London,1753439501.4548612,closedApp,False,
gmail,breathingExercise,Europe/London,1753440475.87958,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753440515.4080849,openedApp,False,1.5
safari,,Europe/London,1753440998.3101,closedApp,False,
safari,,Europe/London,1753441030.6768079,closedApp,False,
mail,breathingExercise,Europe/London,1753441035.5885592,openedApp,False,1.5
mail,,Europe/London,1753441077.191805,closedApp,False,
mail,,Europe/London,1753441256.2790198,closedApp,False,
safari,,Europe/London,1753441120.349105,closedApp,False,
safari,breathingExercise,Europe/London,1753442111.79395,openedApp,False,1.5
safari,,Europe/London,1753442198.758494,closedApp,False,
mail,breathingExercise,Europe/London,1753442206.438541,openedApp,False,1.5
mail,,Europe/London,1753442223.658835,closedApp,False,
gmail,breathingExercise,Europe/London,1753446367.326185,openedApp,False,1.5
gmail,,Europe/London,1753446430.051412,closedApp,False,
safari,breathingExercise,Europe/London,1753446535.791333,openedApp,False,1.5
safari,,Europe/London,1753446682.880374,closedApp,False,
mail,breathingExercise,Europe/London,1753447439.703404,openedApp,False,1.5
mail,,Europe/London,1753447465.8943229,closedApp,False,
safari,breathingExercise,Europe/London,1753447470.675638,openedApp,False,1.5
safari,,Europe/London,1753447503.464302,closedApp,False,
gmail,breathingExercise,Europe/London,1753448112.269374,openedApp,False,1.5
gmail,,Europe/London,1753448235.6971679,closedApp,False,
mail,breathingExercise,Europe/London,1753448682.141731,openedApp,False,1.5
mail,,Europe/London,1753448703.927257,closedApp,False,
gmail,breathingExercise,Europe/London,1753449687.857481,openedApp,False,1.5
gmail,,Europe/London,1753449825.094789,closedApp,False,
mail,breathingExercise,Europe/London,1753449828.699805,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753451515.149362,openedApp,False,1.5
gmail,,Europe/London,1753454678.3379102,closedApp,False,
safari,breathingExercise,Europe/London,1753454683.367192,openedApp,False,1.5
safari,,Europe/London,1753456079.5910711,closedApp,False,
safari,breathingExercise,Europe/London,1753457300.737409,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753459386.6533542,openedApp,False,1.5
mail,,Europe/London,1753459439.258879,closedApp,False,
safari,breathingExercise,Europe/London,1753461606.9066339,openedApp,False,1.5
safari,,Europe/London,1753461653.9526381,closedApp,False,
safari,,Europe/London,1753461899.525021,closedApp,False,
safari,,Europe/London,1753463965.97269,closedApp,False,
safari,,Europe/London,1753465673.972312,closedApp,False,
gmail,breathingExercise,Europe/London,1753465701.4145288,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753466095.7103128,openedApp,False,1.5
safari,,Europe/London,1753466256.036623,closedApp,False,
instagram,breathingExercise,Europe/London,1753466688.964083,openedApp,False,1.5
instagram,,Europe/London,1753466841.773439,closedApp,False,
mail,breathingExercise,Europe/London,1753466860.209265,openedApp,False,1.5
mail,,Europe/London,1753467003.874504,closedApp,False,
gmail,breathingExercise,Europe/London,1753470401.872479,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753470409.445531,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753471078.308824,openedApp,False,1.5
safari,,Europe/London,1753471242.960966,closedApp,False,
gmail,breathingExercise,Europe/London,1753471244.709909,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753471891.570397,openedApp,False,1.5
safari,,Europe/London,1753471945.5556278,closedApp,False,
safari,breathingExercise,Europe/London,1753516727.405402,openedApp,False,1.5
safari,,Europe/London,1753516784.593176,closedApp,False,
mail,breathingExercise,Europe/London,1753516795.032022,openedApp,False,1.5
mail,,Europe/London,1753516823.180865,closedApp,False,
mail,,Europe/London,1753516875.292128,closedApp,False,
gmail,breathingExercise,Europe/London,1753516879.969012,openedApp,False,1.5
gmail,,Europe/London,1753516962.114392,closedApp,False,
safari,,Europe/London,1753517086.440335,closedApp,False,
safari,,Europe/London,1753517229.8923512,closedApp,False,
safari,,Europe/London,1753517475.309466,closedApp,False,
mail,breathingExercise,Europe/London,1753517796.968085,dismissedAppOpening,False,1.5
facebook,breathingExercise,Europe/London,1753517862.024684,openedApp,False,1.5
facebook,,Europe/London,1753518315.018765,closedApp,False,
mail,breathingExercise,Europe/London,1753518356.5525742,openedApp,False,1.5
safari,breathingExercise,Europe/London,1753518984.445177,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753519536.970858,dismissedAppOpening,False,1.5
safari,,Europe/London,1753519412.2273932,closedApp,False,
safari,,Europe/London,1753519455.752932,closedApp,False,
safari,,Europe/London,1753519510.892184,closedApp,False,
safari,,Europe/London,1753519529.313895,closedApp,False,
safari,,Europe/London,1753520074.076528,closedApp,False,
safari,,Europe/London,1753520246.323144,closedApp,False,
safari,,Europe/London,1753520393.361487,closedApp,False,
safari,,Europe/London,1753520541.340551,closedApp,False,
safari,,Europe/London,1753520912.592187,closedApp,False,
safari,,Europe/London,1753520985.291611,closedApp,False,
safari,,Europe/London,1753522295.533409,closedApp,False,
safari,breathingExercise,Europe/London,1753524191.616808,openedApp,False,1.5
safari,,Europe/London,1753524348.617632,closedApp,False,
safari,,Europe/London,1753524405.002537,closedApp,False,
safari,,Europe/London,1753524611.576302,closedApp,False,
safari,,Europe/London,1753524701.877063,closedApp,False,
safari,,Europe/London,1753524789.662988,closedApp,False,
safari,,Europe/London,1753525726.542532,closedApp,False,
mail,breathingExercise,Europe/London,1753525734.653539,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753525740.5508451,openedApp,False,1.5
safari,,Europe/London,1753526142.668566,closedApp,False,
gmail,breathingExercise,Europe/London,1753526851.549969,openedApp,False,1.5
safari,breathingExercise,Europe/London,1753526866.3896298,openedApp,False,1.5
safari,,Europe/London,1753527040.619684,closedApp,False,
safari,breathingExercise,Europe/London,1753528540.3864012,openedApp,False,1.5
safari,,Europe/London,1753528655.625941,closedApp,False,
safari,breathingExercise,Europe/London,1753529270.3456101,openedApp,False,1.5
safari,,Europe/London,1753529348.678268,closedApp,False,
safari,breathingExercise,Europe/London,1753530085.046901,openedApp,False,1.5
safari,,Europe/London,1753530182.292029,closedApp,False,
instagram,breathingExercise,Europe/London,1753530189.819243,openedApp,False,1.5
instagram,,Europe/London,1753530374.776947,closedApp,False,
instagram,,Europe/London,1753530450.615808,closedApp,False,
safari,,Europe/London,1753530223.436687,closedApp,False,
safari,breathingExercise,Europe/London,1753530873.538969,openedApp,False,1.5
safari,,Europe/London,1753530975.008646,closedApp,False,
safari,,Europe/London,1753533028.662602,closedApp,False,
safari,breathingExercise,Europe/London,1753535324.507113,openedApp,False,1.5
safari,,Europe/London,1753535367.433617,closedApp,False,
safari,,Europe/London,1753535394.1468868,closedApp,False,
safari,breathingExercise,Europe/London,1753537173.126298,openedApp,False,1.5
safari,,Europe/London,1753537338.887047,closedApp,False,
safari,,Europe/London,1753537645.64108,closedApp,False,
safari,,Europe/London,1753537760.768104,closedApp,False,
gmail,breathingExercise,Europe/London,1753537766.731415,openedApp,False,1.5
instagram,breathingExercise,Europe/London,1753537946.322585,openedApp,False,1.5
gmail,,Europe/London,1753537779.936977,closedApp,False,
safari,,Europe/London,1753537859.801883,closedApp,False,
mail,breathingExercise,Europe/London,1753538305.2525182,openedApp,False,1.5
mail,,Europe/London,1753538358.384403,closedApp,False,
safari,breathingExercise,Europe/London,1753538976.3123,openedApp,False,1.5
