interventionType,timezone,interventionDuration,app,timestamp,isReIntervention,resolution,purpose,timeIntervalUntilReIntervention,terminationReason
breathingExercise,Asia/Shanghai,1.5,chrome,1753418092.8543491,0.0,openedApp,Escape / Avoid,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753424570.1817632,0.0,openedApp,Escape / Avoid,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753432118.152833,0.0,openedApp,Stay In the Loop,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753435144.681139,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753437560.5758572,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753441699.802596,0.0,openedApp,Escape / Avoid,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753448136.445674,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753451401.195297,0.0,openedApp,Search Info,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753486938.5959458,0.0,openedApp,Porn,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753494871.808795,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753494881.829375,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753496594.7734308,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753496668.1204162,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753497579.044754,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753497998.524279,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753499226.862642,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753500020.2436872,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753504639.5321732,0.0,openedApp,Search Info,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753504764.695218,0.0,openedApp,Escape / Avoid,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753586275.924489,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753586284.135322,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753590331.986917,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753591161.9459581,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753593137.679202,0.0,openedApp,Message,2340.0,
breathingExercise,Asia/Shanghai,1.5,youtube,1753594189.6136122,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753596131.67224,1.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753598919.0125961,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753599579.410855,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753603037.2965112,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753603045.896873,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753603181.4098802,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753603495.412477,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753603631.367331,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753604103.0980592,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753606108.016602,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753606332.6495628,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753607200.098356,0.0,openedApp,Bored,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753612065.111438,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753617850.118154,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753622588.9840221,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753623124.247371,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753628288.027863,0.0,openedApp,Porn,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753628478.7552838,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753667585.488535,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753675167.928688,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753678448.918304,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753679452.506515,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753679835.2908459,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753680164.541492,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753680210.607552,0.0,openedApp,Message,960.0,
breathingExercise,Asia/Shanghai,1.5,chrome,1753681143.210619,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753681704.7441611,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753682551.412404,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753683040.008637,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753683043.445576,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753683207.4769778,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753683893.6104898,0.0,openedApp,Entertainment,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753687675.6030111,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753688521.785493,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753693096.362224,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753695567.9509602,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753698275.116329,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753698288.8298411,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753699967.544368,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753703602.390074,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753703787.1946058,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753704134.688365,0.0,dismissedAppOpening,,,
,,,,1753704165.565292,,,,,terminatedByUser
