interventionType,resolution,app,timestamp,timezone,interventionDuration,isReIntervention,timeIntervalUntilReIntervention,purpose
breathingExercise,dismissedAppOpening,instagram,1753179075.657433,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,grinder,1753179146.487972,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753179249.821423,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,instagram,1753184722.91011,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,instagram,1753188097.686749,Europe/Vienna,1.5,False,180.0,Search Info
,closedApp,instagram,1753188118.6029181,Europe/Vienna,,False,,
breathingExercise,openedApp,grinder,1753198970.693964,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753199160.660001,Europe/Vienna,,False,,
,closedApp,grinder,1753199208.343607,Europe/Vienna,,False,,
breathingExercise,openedApp,grinder,1753199770.009835,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753200442.945098,Europe/Vienna,,False,,
,closedApp,grinder,1753200623.2793288,Europe/Vienna,,False,,
,closedApp,grinder,1753200657.430695,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,instagram,1753200661.9080129,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,grinder,1753201199.413437,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753201242.270766,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,instagram,1753202496.0408711,Europe/Vienna,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753203006.686543,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,grinder,1753203015.5260139,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753203033.7150722,Europe/Vienna,,False,,
breathingExercise,openedApp,grinder,1753207601.5612411,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753207620.309891,Europe/Vienna,,False,,
breathingExercise,openedApp,grinder,1753211666.9955292,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753211744.360911,Europe/Vienna,,False,,
,closedApp,grinder,1753212047.923326,Europe/Vienna,,False,,
,closedApp,grinder,1753212226.159014,Europe/Vienna,,False,,
breathingExercise,openedApp,instagram,1753212243.693232,Europe/Vienna,1.5,False,300.0,Bored
,closedApp,instagram,1753212522.502353,Europe/Vienna,,False,,
breathingExercise,openedApp,grinder,1753212529.0673199,Europe/Vienna,1.5,False,,Bored
,closedApp,instagram,1753212574.592941,Europe/Vienna,,False,,
,closedApp,grinder,1753212547.553524,Europe/Vienna,,False,,
,closedApp,grinder,1753212634.347849,Europe/Vienna,,False,,
breathingExercise,openedApp,grinder,1753223740.57606,Europe/Vienna,1.5,False,,Bored
,closedApp,grinder,1753223793.856055,Europe/Vienna,,False,,
breathingExercise,openedApp,instagram,1753229757.1999779,Europe/Vienna,1.5,False,360.0,Bored
,closedApp,instagram,1753230124.549502,Europe/Vienna,,False,,
breathingExercise,dismissedAppOpening,instagram,1753230622.4844608,Europe/Vienna,1.5,False,,
breathingExercise,openedApp,instagram,1753261116.544734,Europe/Prague,1.5,False,240.0,Bored
,closedApp,instagram,1753261361.9911308,Europe/Prague,,False,,
breathingExercise,dismissedAppOpening,instagram,1753261466.034316,Europe/Prague,1.5,False,,
breathingExercise,openedApp,grinder,1753262277.1981878,Europe/Prague,1.5,False,,Bored
,closedApp,grinder,1753262298.3983278,Europe/Prague,,False,,
,closedApp,grinder,1753262455.231518,Europe/Prague,,False,,
breathingExercise,openedApp,grinder,1753267301.854331,Europe/Prague,1.5,False,,Bored
,closedApp,grinder,1753267325.218915,Europe/Prague,,False,,
,closedApp,grinder,1753267328.829338,Europe/Prague,,False,,
breathingExercise,openedApp,instagram,1753270418.508919,Europe/Prague,1.5,False,900.0,Entertainment
,closedApp,instagram,1753270444.3236818,Europe/Prague,,False,,
breathingExercise,openedApp,grinder,1753270832.473578,Europe/Prague,1.5,False,,Entertainment
,closedApp,grinder,1753270931.829911,Europe/Prague,,False,,
breathingExercise,dismissedAppOpening,instagram,1753271428.3720078,Europe/Prague,1.5,False,,
breathingExercise,openedApp,grinder,1753271445.5853891,Europe/Prague,1.5,False,,Entertainment
,closedApp,grinder,1753271512.885974,Europe/Prague,,False,,
,closedApp,grinder,1753271716.420508,Europe/Prague,,False,,
,closedApp,grinder,1753272005.129426,Europe/Prague,,False,,
breathingExercise,dismissedAppOpening,instagram,1753272102.671114,Europe/Prague,1.5,False,,
,closedApp,grinder,1753272161.946759,Europe/Prague,,False,,
breathingExercise,openedApp,grinder,1753272536.631387,Europe/Prague,1.5,False,,Entertainment
,closedApp,grinder,1753272560.824156,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753321788.336697,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1753322652.002259,America/New_York,1.5,False,660.0,Message
,closedApp,instagram,1753322691.4879808,America/New_York,,False,,
,closedApp,instagram,1753322828.6818662,America/New_York,,False,,
,closedApp,instagram,1753323917.1718302,America/New_York,,False,,
breathingExercise,openedApp,instagram,1753340172.102229,America/New_York,1.5,False,480.0,Bored
,closedApp,instagram,1753340247.1168718,America/New_York,,False,,
breathingExercise,openedApp,grinder,1753372960.9250422,America/New_York,1.5,False,,Bored
,closedApp,grinder,1753373017.380379,America/New_York,,False,,
,closedApp,grinder,1753373045.695064,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753446309.748952,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1753446324.698076,America/New_York,1.5,False,120.0,Stay In the Loop
breathingExercise,dismissedAppOpening,instagram,1753448118.7049952,America/New_York,1.5,False,,
breathingExercise,openedApp,grinder,1753448304.733014,America/New_York,1.5,False,,Bored
,closedApp,grinder,1753448318.7115722,America/New_York,,False,,
,closedApp,grinder,1753448421.5849252,America/New_York,,False,,
breathingExercise,openedApp,grinder,1753448934.286426,America/New_York,1.5,False,,Bored
,closedApp,grinder,1753449056.220484,America/New_York,,False,,
breathingExercise,openedApp,grinder,1753449325.404386,America/New_York,1.5,False,,Bored
,closedApp,grinder,1753449385.397647,America/New_York,,False,,
breathingExercise,openedApp,instagram,1753487833.788394,America/New_York,1.5,False,600.0,Bored
,closedApp,instagram,1753488103.834897,America/New_York,,False,,
breathingExercise,openedApp,grinder,1753488131.550571,America/New_York,1.5,False,,Bored
,closedApp,instagram,1753488344.237012,America/New_York,,False,,
,closedApp,grinder,1753488253.6709461,America/New_York,,False,,
breathingExercise,openedApp,instagram,1753490913.6426969,America/New_York,1.5,False,300.0,Message
,closedApp,instagram,1753491179.126509,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753497702.87573,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1753497719.917623,America/New_York,1.5,False,300.0,Bored
,closedApp,instagram,1753497782.935399,America/New_York,,False,,
breathingExercise,openedApp,grinder,1753497800.371855,America/New_York,1.5,False,,Message
breathingExercise,dismissedAppOpening,instagram,1753532231.258749,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753542677.117068,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753543021.0792089,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753556290.407848,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1753558184.0810661,America/New_York,1.5,False,600.0,Bored
,closedApp,instagram,1753558791.0993629,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753559783.281766,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1753572314.5457668,America/New_York,1.5,False,900.0,Bored
,closedApp,instagram,1753572542.894279,America/New_York,,False,,
breathingExercise,openedApp,instagram,1753590167.71894,America/New_York,1.5,False,900.0,Bored
,closedApp,instagram,1753590195.614131,America/New_York,,False,,
,closedApp,instagram,1753590318.98556,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753593109.509911,America/New_York,1.5,False,,
breathingExercise,openedApp,grinder,1753612887.729158,America/New_York,1.5,False,,Bored
,closedApp,grinder,1753613079.855731,America/New_York,,False,,
breathingExercise,openedApp,instagram,1753617955.8254008,America/New_York,1.5,False,180.0,Message
,closedApp,instagram,1753618141.829156,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753633514.9111261,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753633589.7403011,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753633592.866005,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1753747380.997946,America/New_York,1.5,False,600.0,Bored
,closedApp,instagram,1753747530.5870528,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753750706.151756,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753750720.325814,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753750769.050919,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1753750799.2893062,America/New_York,1.5,False,240.0,Toilet
,closedApp,instagram,1753750835.9849339,America/New_York,,False,,
,closedApp,instagram,1753751040.054141,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753751043.315916,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1753751053.4230242,America/New_York,1.5,False,300.0,Toilet
,closedApp,instagram,1753751067.768172,America/New_York,,False,,
breathingExercise,openedApp,instagram,1753759225.997133,America/New_York,1.5,False,420.0,Bored
,closedApp,instagram,1753759336.081409,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753765956.624763,America/New_York,1.5,False,,
breathingExercise,openedApp,grinder,1753766007.363247,America/New_York,1.5,False,,Bored
,closedApp,grinder,1753766057.210788,America/New_York,,False,,
,closedApp,grinder,1753766539.007051,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753766543.015027,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753766773.757055,America/New_York,1.5,False,,
breathingExercise,openedApp,grinder,1753768607.579677,America/New_York,1.5,False,,Bored
,closedApp,grinder,1753766766.09824,America/New_York,,False,,
,closedApp,grinder,1753766927.99613,America/New_York,,False,,
,closedApp,grinder,1753767109.22539,America/New_York,,False,,
,closedApp,grinder,1753768668.553247,America/New_York,,False,,
breathingExercise,openedApp,grinder,1753783689.76243,America/New_York,1.5,False,,Bored
,closedApp,grinder,1753783768.890147,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753794847.50532,America/New_York,1.5,False,,
,closedApp,grinder,1753783797.294497,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753794855.012023,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753802846.994038,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1753802862.491224,America/New_York,1.5,False,300.0,Bored
,closedApp,instagram,1753802908.5394158,America/New_York,,False,,
breathingExercise,openedApp,youtube,1753803221.954555,America/New_York,1.5,False,,Bored
breathingExercise,dismissedAppOpening,hulu,1753803233.317554,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753803290.9882898,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,hulu,1753803410.343189,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753806635.831855,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753806656.705717,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753806663.331857,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,youtube,1753806675.52967,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753810726.493545,America/New_York,1.5,False,,
breathingExercise,openedApp,youtube,1753812467.13271,America/New_York,1.5,False,1800.0,Search Info
,closedApp,youtube,1753813512.5487409,America/New_York,,False,,
,closedApp,youtube,1753814280.3328671,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753815829.227937,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753817279.422982,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,youtube,1753827035.764545,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1753827055.7877588,America/New_York,1.5,False,900.0,Stay In the Loop
,closedApp,instagram,1753827171.8128061,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753827442.67943,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753828147.836844,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1753837569.260587,America/New_York,1.5,False,600.0,Bored
,closedApp,instagram,1753837790.7209558,America/New_York,,False,,
,closedApp,instagram,1753838056.648344,America/New_York,,False,,
,closedApp,instagram,1753838107.646216,America/New_York,,False,,
,closedApp,instagram,1753841651.411634,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753844229.578349,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1753844287.457607,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,youtube,1753845778.323594,America/New_York,1.5,False,,
breathingExercise,openedApp,youtube,1753845797.8584008,America/New_York,1.5,False,2700.0,Bored
,closedApp,youtube,1753848536.648299,America/New_York,,False,,
,closedApp,youtube,1753873293.142276,America/New_York,,False,,
breathingExercise,openedApp,youtube,1753874133.6203,America/New_York,1.5,False,2700.0,Stay In the Loop
,closedApp,youtube,1753874167.9256291,America/New_York,,False,,
breathingExercise,dismissedAppOpening,youtube,1753875205.120596,America/New_York,1.5,False,,
breathingExercise,openedApp,youtube,1753875219.422272,America/New_York,1.5,False,2700.0,Bored
,closedApp,youtube,1753875698.362217,America/New_York,,False,,
,closedApp,youtube,1753875716.401544,America/New_York,,False,,
breathingExercise,openedApp,youtube,1753876578.648591,America/New_York,1.5,False,2700.0,Search Info
,closedApp,youtube,1753878383.028836,America/New_York,,False,,
breathingExercise,openedApp,hulu,1753878864.220423,America/New_York,1.5,False,,Bored
,closedApp,hulu,1753878898.0723581,America/New_York,,False,,
,closedApp,hulu,1753878937.221974,America/New_York,,False,,
breathingExercise,openedApp,youtube,1753880150.331815,America/New_York,1.5,False,2700.0,Stay In the Loop
,closedApp,youtube,1753880896.000216,America/New_York,,False,,
,closedApp,youtube,1753880934.194226,America/New_York,,False,,
,closedApp,youtube,1753881411.632323,America/New_York,,False,,
,closedApp,youtube,1753881589.061207,America/New_York,,False,,
breathingExercise,openedApp,youtube,1753882953.3288078,America/New_York,1.5,False,2700.0,Bored
,closedApp,youtube,1753883365.062718,America/New_York,,False,,
breathingExercise,openedApp,hulu,1753883382.565175,America/New_York,1.5,False,,Entertainment
breathingExercise,dismissedAppOpening,hulu,1753884809.426866,America/New_York,1.5,False,,
breathingExercise,openedApp,hulu,1753884819.448308,America/New_York,1.5,False,,Entertainment
breathingExercise,openedApp,hulu,1753887188.093106,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753887780.862599,America/New_York,,False,,
,closedApp,hulu,1753889090.5650759,America/New_York,,False,,
,closedApp,hulu,1753897589.758439,America/New_York,,False,,
breathingExercise,dismissedAppOpening,hulu,1753898843.212482,America/New_York,1.5,False,,
breathingExercise,openedApp,hulu,1753899276.896339,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753899572.3220549,America/New_York,,False,,
breathingExercise,openedApp,hulu,1753903226.5670729,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753907121.929308,America/New_York,,False,,
,closedApp,hulu,1753907267.059552,America/New_York,,False,,
breathingExercise,openedApp,hulu,1753907555.125269,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753909418.215471,America/New_York,,False,,
,closedApp,hulu,1753911393.425281,America/New_York,,False,,
,closedApp,hulu,1753913393.947153,America/New_York,,False,,
,closedApp,hulu,1753915312.3596392,America/New_York,,False,,
breathingExercise,openedApp,hulu,1753924263.945425,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753925024.302742,America/New_York,,False,,
breathingExercise,openedApp,hulu,1753925699.624597,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753927215.702464,America/New_York,,False,,
,closedApp,hulu,1753929468.833647,America/New_York,,False,,
breathingExercise,openedApp,hulu,1753930026.7937222,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753931728.797884,America/New_York,,False,,
,closedApp,hulu,1753933634.4608889,America/New_York,,False,,
,closedApp,hulu,1753953537.101465,America/New_York,,False,,
breathingExercise,openedApp,hulu,1753959285.388005,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753959575.962072,America/New_York,,False,,
,closedApp,hulu,1753960334.563425,America/New_York,,False,,
breathingExercise,dismissedAppOpening,hulu,1753960809.689532,America/New_York,1.5,False,,
breathingExercise,openedApp,hulu,1753961070.149737,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753962391.036108,America/New_York,,False,,
,closedApp,hulu,1753964123.4300919,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1753964126.85059,America/New_York,1.5,False,,
breathingExercise,openedApp,hulu,1753964462.473366,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753964475.961329,America/New_York,,False,,
breathingExercise,openedApp,hulu,1753964887.778716,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753964981.792554,America/New_York,,False,,
breathingExercise,openedApp,hulu,1753965309.153954,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753971568.820283,America/New_York,,False,,
,closedApp,hulu,1753978323.450273,America/New_York,,False,,
,closedApp,hulu,1753979944.8187141,America/New_York,,False,,
,closedApp,hulu,1753980637.972917,America/New_York,,False,,
breathingExercise,openedApp,hulu,1753980852.07126,America/New_York,1.5,False,,Entertainment
,closedApp,hulu,1753982846.334567,America/New_York,,False,,
,closedApp,hulu,1753983133.644096,America/New_York,,False,,
,closedApp,hulu,1753985815.642149,America/New_York,,False,,
,closedApp,hulu,1753986088.732243,America/New_York,,False,,
,closedApp,hulu,1753986484.266595,America/New_York,,False,,
breathingExercise,openedApp,instagram,1753997936.030216,America/New_York,1.5,False,240.0,Message
,closedApp,instagram,1753997992.2179132,America/New_York,,False,,
,closedApp,instagram,1753998071.4233398,America/New_York,,False,,
breathingExercise,dismissedAppOpening,instagram,1754005450.463489,America/New_York,1.5,False,,
breathingExercise,dismissedAppOpening,instagram,1754014048.534487,America/New_York,1.5,False,,
breathingExercise,openedApp,instagram,1754014072.523349,America/New_York,1.5,False,600.0,Toilet
breathingExercise,dismissedAppOpening,instagram,1754017371.345429,America/New_York,1.5,False,,
breathingExercise,openedApp,hulu,1754018540.7488241,America/New_York,1.5,False,,Entertainment
,closedApp,instagram,1754014225.952602,America/New_York,,False,,
,closedApp,instagram,1754014623.522366,America/New_York,,False,,
,closedApp,instagram,1754014727.457094,America/New_York,,False,,
,closedApp,instagram,1754016943.758356,America/New_York,,False,,
,closedApp,hulu,1754019449.802665,America/New_York,,False,,
,closedApp,hulu,1754020318.2398338,America/New_York,,False,,
breathingExercise,openedApp,youtube,1754020333.234379,America/New_York,1.5,False,2700.0,Entertainment
,closedApp,youtube,1754022084.372479,America/New_York,,False,,
,closedApp,youtube,1754045509.7625299,America/New_York,,False,,
breathingExercise,openedApp,youtube,1754046183.51434,America/New_York,1.5,False,2700.0,Entertainment
,closedApp,youtube,1754046580.27897,America/New_York,,False,,
,closedApp,youtube,1754046836.130456,America/New_York,,False,,
