isReIntervention,interventionDuration,resolution,interventionType,timestamp,timezone,app
False,1.5,openedApp,breathingExercise,1749616421.84289,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749616454.6118522,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749616513.6490932,US/Eastern,hinge
False,1.5,dismissedAppOpening,breathingExercise,1749616543.766315,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749616878.976692,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749617286.4873319,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749617315.501682,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749618457.880265,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749618638.273622,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749618860.878758,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749619203.520875,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749642898.318507,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749648905.400876,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749649915.013163,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749650431.96566,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749650955.802806,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749651012.58994,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749651834.3574119,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749653395.696776,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749653490.355916,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749653573.071128,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749653625.726511,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749654423.786322,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749654552.67047,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749654672.7359638,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749654939.076425,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749655090.133339,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749655091.767535,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749655124.628797,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749655242.088912,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749656171.51645,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749656904.722478,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749657408.451648,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749657647.8719249,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749658427.9187741,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749658684.388452,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749658689.214536,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749659900.6396642,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749661486.758278,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749661517.286169,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749661572.639124,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749661590.039758,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749661809.282541,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749661848.3196611,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749662299.819664,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749670412.1208549,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749670515.2756371,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749671081.518852,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749676350.262187,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749676456.554065,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749678066.590456,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749678125.364771,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749678301.333509,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749678377.538152,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749680114.607337,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749680240.2695332,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749680281.263832,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749680464.53742,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749681546.501031,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749681578.2540011,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749681713.637547,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749681865.6380758,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749689042.011512,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749689075.2891788,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749691339.245562,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749695051.750273,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749695228.430881,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749695255.6666532,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749696178.1810908,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749696231.951201,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749696344.6429,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749696427.2341661,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749696457.007247,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749703494.7436008,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749703506.676563,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749740310.068438,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749740497.104269,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749740565.8563519,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749740888.1559849,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749741962.598964,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749742584.160627,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749742750.769257,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749745765.977785,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749745896.14237,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749746265.586442,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749746657.865367,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749747215.177876,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749747226.838134,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749747484.655954,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749753130.235493,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749753408.272624,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749756966.48878,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749756978.493631,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749757013.725554,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749757047.283062,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749757090.775851,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749757262.288947,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749757318.922883,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749757484.9212132,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749760339.47538,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749761493.099546,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749764148.227934,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749765327.048106,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749765447.550523,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749766781.22314,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749769841.687499,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749771070.962249,US/Eastern,hinge
False,1.5,dismissedAppOpening,breathingExercise,1749771383.8395329,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749771471.965121,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749777255.0884619,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749777728.1964622,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749777744.976406,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749779837.0201612,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749779907.2897902,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749780976.867408,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749781074.7575312,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749782472.154063,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749782489.1722689,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749785886.761184,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749788448.311648,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749799013.04558,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749799348.334593,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749801577.610876,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749801820.885854,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749802118.038604,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749802618.072756,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749803146.409387,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749803177.911975,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749803525.43545,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749804003.292848,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749804081.7431211,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749804091.831943,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749804436.4939451,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749805551.33285,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749805669.550383,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749806144.6940842,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749806322.277608,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749817249.041813,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749817317.360196,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749817346.608087,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749817358.9333792,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749817812.3371959,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749831062.98343,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749831209.181435,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749831340.049077,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749831540.795855,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749832158.720049,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749832988.781641,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749833339.721381,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749834120.4033961,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749835587.258357,US/Eastern,hinge
False,1.5,dismissedAppOpening,breathingExercise,1749835688.0009809,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749835893.7411819,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749836663.932863,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749836874.5685601,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749837133.371979,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749837289.23628,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749837568.6334372,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749838560.237656,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749839418.0129762,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749840042.258008,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749849829.72684,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749851039.435708,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749856918.178184,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749856951.050809,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749856963.739227,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749859557.246427,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749859904.8753572,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749860398.148005,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749865246.130484,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749865419.5483088,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749865441.873258,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749865483.591837,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749882147.7549648,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749886368.1694422,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749890102.4980102,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749890220.0521312,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749890245.860446,US/Eastern,hinge
False,1.5,dismissedAppOpening,breathingExercise,1749890491.783924,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749891627.8965678,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749892620.271831,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749892675.827344,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749892854.692091,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749893044.76132,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749893044.7723842,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749893044.7786741,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749893044.784297,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749893044.791037,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749893049.90722,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749893049.934349,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749893049.9416451,US/Eastern,tikTok
False,1.5,dismissedAppOpening,breathingExercise,1749893084.4477448,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749893096.841433,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749893431.949792,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749893876.30667,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749894043.0695271,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749894217.889719,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749912110.28771,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749912302.5278,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749912565.916707,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749912773.364036,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749913318.27444,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749913763.299969,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749914245.79282,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749914660.061492,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749915542.525439,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749915817.2029,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749916255.642232,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749917031.363892,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749917637.090163,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749921025.56827,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749922551.951459,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749922573.238277,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749923200.309081,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749923517.213702,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749924660.996594,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749924674.3450131,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749927635.750352,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749927873.839288,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749928119.573441,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749929577.365302,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749929982.3307772,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749930083.731224,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749930442.862956,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749930442.873229,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749930442.880045,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749930442.886338,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749930442.8930879,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749930442.899806,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749930629.567097,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749930629.695842,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749930629.730339,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749931193.9030619,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749931842.823806,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749934911.193538,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749936238.412177,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749938282.6955462,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749938293.1829848,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749938541.6427221,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749938993.378582,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939006.834934,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.09108,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.1060991,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.114536,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.122812,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.130765,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.1387038,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.1467,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.154803,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.163103,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.170402,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.1776671,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.1847649,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.191627,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.198848,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.206109,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749939011.212646,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749947138.108707,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749947174.078405,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749947178.3173962,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749947178.327839,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749947407.066471,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749947407.0892591,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749947407.0965152,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749975886.953658,US/Eastern,hinge
False,1.5,dismissedAppOpening,breathingExercise,1749976404.9157948,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749976415.111405,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749978593.004708,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749979625.06887,US/Eastern,tinder
False,1.5,dismissedAppOpening,breathingExercise,1749979700.091913,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1750000373.314266,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750000582.8214269,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1750000600.52278,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1750001297.77374,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1750001309.190219,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1750001950.2800689,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750001950.5468268,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750001951.2134008,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750005522.525926,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1750021719.350275,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750030606.2654471,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750033359.270416,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750033359.437135,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750033407.1697102,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1750033658.450429,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750033659.684341,US/Eastern,hinge
False,1.5,dismissedAppOpening,breathingExercise,1750033699.154134,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750043511.497746,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750065661.5866718,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1750067251.660927,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1750068100.924389,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1750084429.476994,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1750084732.276974,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1750084740.345773,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750084740.812159,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750084741.545535,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750085050.853435,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1750085482.606363,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1750085813.804714,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1750086025.709656,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1750088019.551549,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1750089190.875493,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1750089541.175157,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1750089815.71318,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1750090553.871666,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1750094074.336543,US/Eastern,hinge
