interventionDuration,timezone,timestamp,resolution,timeIntervalUntilReIntervention,isReIntervention,app,interventionType
,America/St_Johns,1749006260.250864,closedApp,,False,youtube,
,America/St_Johns,1749006287.248794,closedApp,,False,youtube,
,America/St_Johns,1749006936.8963351,closedApp,,False,youtube,
1.5,America/St_Johns,1749006959.012212,openedApp,,False,youtube,breathingExercise
,America/St_Johns,1749007171.9353828,closedApp,,False,youtube,
,America/St_Johns,1749007269.2225451,closedApp,,False,youtube,
,America/St_Johns,1749007348.555037,closedApp,,False,youtube,
,America/St_Johns,1749007488.715424,closedApp,,False,youtube,
1.5,America/St_Johns,1749010119.539596,openedApp,,False,youtube,breathingExercise
1.5,America/St_Johns,1749036877.423069,dismissedAppOpening,,False,youtube,breathingExercise
,America/St_Johns,1749010133.383791,closedApp,,False,youtube,
1.5,America/St_Johns,1749037039.3561769,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749078889.808597,openedApp,900.0,False,youtube,breathingExercise
,America/St_Johns,1749079133.9498758,closedApp,,False,youtube,
,America/St_Johns,1749079197.338976,closedApp,,False,youtube,
,America/St_Johns,1749079900.713234,closedApp,,False,youtube,
1.5,America/St_Johns,1749079910.279652,openedApp,900.0,False,youtube,breathingExercise
,America/St_Johns,1749080531.578938,closedApp,,False,youtube,
,America/St_Johns,1749080798.93196,closedApp,,False,youtube,
1.5,America/St_Johns,1749080819.762394,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749080840.147615,openedApp,,False,youtube,breathingExercise
1.5,America/St_Johns,1749083928.949852,dismissedAppOpening,,False,youtube,breathingExercise
,America/St_Johns,1749081134.085671,closedApp,,False,youtube,
,America/St_Johns,1749081714.891813,closedApp,,False,youtube,
1.5,America/St_Johns,1749084273.105072,openedApp,,False,youtube,breathingExercise
,America/St_Johns,1749084314.5067592,closedApp,,False,youtube,
,America/St_Johns,1749084469.666631,closedApp,,False,youtube,
,America/St_Johns,1749084527.701194,closedApp,,False,youtube,
,America/St_Johns,1749084547.0685492,closedApp,,False,youtube,
,America/St_Johns,1749084629.0910702,closedApp,,False,youtube,
1.5,America/St_Johns,1749121659.48778,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749136750.571841,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749146065.6005511,openedApp,540.0,False,youtube,breathingExercise
,America/St_Johns,1749146143.464946,closedApp,,False,youtube,
,America/St_Johns,1749146229.867185,closedApp,,False,youtube,
,America/St_Johns,1749146247.672402,closedApp,,False,youtube,
,America/St_Johns,1749146670.16224,closedApp,,False,youtube,
,America/St_Johns,1749146731.4395452,closedApp,,False,youtube,
,America/St_Johns,1749146819.7830029,closedApp,,False,youtube,
,America/St_Johns,1749146925.792698,closedApp,,False,youtube,
,America/St_Johns,1749146956.919359,closedApp,,False,youtube,
,America/St_Johns,1749147004.511487,closedApp,,False,youtube,
1.5,America/St_Johns,1749147013.4920259,openedApp,900.0,True,youtube,breathingExercise
,America/St_Johns,1749147047.1570802,closedApp,,False,youtube,
,America/St_Johns,1749147652.2203841,closedApp,,False,youtube,
,America/St_Johns,1749147816.0242329,closedApp,,False,youtube,
,America/St_Johns,1749147959.397039,closedApp,,False,youtube,
,America/St_Johns,1749148079.334279,closedApp,,False,youtube,
,America/St_Johns,1749148120.714652,closedApp,,False,youtube,
1.5,America/St_Johns,1749148134.196183,openedApp,300.0,False,youtube,breathingExercise
1.5,America/St_Johns,1749153879.354953,dismissedAppOpening,,False,youtube,breathingExercise
,America/St_Johns,1749148458.613337,closedApp,,False,youtube,
1.5,America/St_Johns,1749159677.467228,openedApp,540.0,False,youtube,breathingExercise
,America/St_Johns,1749159774.01805,closedApp,,False,youtube,
,America/St_Johns,1749160760.272006,closedApp,,False,youtube,
1.5,America/St_Johns,1749170390.407438,openedApp,900.0,False,youtube,breathingExercise
,America/St_Johns,1749170568.400995,closedApp,,False,youtube,
,America/St_Johns,1749170778.4232512,closedApp,,False,youtube,
,America/St_Johns,1749171081.842523,closedApp,,False,youtube,
,America/St_Johns,1749171166.686809,closedApp,,False,youtube,
1.5,America/St_Johns,1749172988.017262,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749172993.953364,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749173129.229116,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749173763.267015,dismissedAppOpening,,False,youtube,breathingExercise
1.5,America/St_Johns,1749174088.4887,openedApp,600.0,False,youtube,breathingExercise
