interventionDuration,isReIntervention,timestamp,app,resolution,interventionType,timezone,timeIntervalUntilReIntervention
1.5,False,1751524190.2279592,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751524237.494786,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751524296.5351748,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751524427.340516,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751526097.768728,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751526101.0298018,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751526104.059085,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751526107.560313,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751526157.133749,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751526159.960998,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751526190.306291,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751543480.117285,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751548444.389121,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751548493.740525,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751548542.678961,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751548790.570983,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751548805.20168,instagram,openedApp,breathingExercise,Europe/Warsaw,420.0
,False,1751549223.6531758,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751550738.819623,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751550772.115924,instagram,openedApp,breathingExercise,Europe/Warsaw,420.0
,False,1751550934.74263,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751559678.6068711,instagram,openedApp,breathingExercise,Europe/Warsaw,120.0
,False,1751559804.5829911,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751559811.797217,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751559821.3153691,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
1.5,False,1751559851.5524921,instagram,openedApp,breathingExercise,Europe/Warsaw,180.0
,False,1751560036.129436,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751560043.369422,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751560172.9999871,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751568806.934888,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751568851.528538,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751568950.251309,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751568967.156735,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751569138.2547169,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751569325.864767,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751571088.080023,instagram,openedApp,breathingExercise,Europe/Warsaw,180.0
,False,1751571247.3330789,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751571298.947825,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751571360.73696,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751571364.433878,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751571379.542553,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751571639.964532,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751571949.78926,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751571971.648099,instagram,openedApp,breathingExercise,Europe/Warsaw,180.0
,False,1751572156.3082871,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751572164.2887769,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751572243.2055979,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751572562.0886312,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
,False,1751572628.551168,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751572636.3064399,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751572997.188628,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751573003.24925,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751573244.6960878,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751573854.81214,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751576184.384474,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
,False,1751576250.8382258,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751576257.88012,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751576492.1689801,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751577725.966737,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751578805.110241,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
,False,1751578870.4037561,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751578878.1922321,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751578901.343962,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751579343.628262,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751579380.1237268,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751579492.600779,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751579568.7291908,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751579683.332865,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
,False,1751579758.783773,instagram,closedApp,,Europe/Warsaw,
,False,1751579906.698194,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751581093.226346,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751610310.66295,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
,False,1751614019.553265,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751614022.051931,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751614101.235697,instagram,openedApp,breathingExercise,Europe/Warsaw,120.0
,False,1751614165.717859,instagram,closedApp,,Europe/Warsaw,
,False,1751614215.076901,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751624341.9633532,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751624359.761005,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751624853.740201,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751624905.559301,instagram,closedApp,,Europe/Warsaw,
,False,1751624958.936583,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751625191.556942,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751625557.427369,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751625565.8798141,instagram,openedApp,breathingExercise,Europe/Warsaw,600.0
,False,1751625663.740721,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751625709.145454,instagram,openedApp,breathingExercise,Europe/Warsaw,600.0
,False,1751626313.622552,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751632312.159121,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751633468.302042,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751637679.151554,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
,False,1751637707.2206821,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751640875.002609,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751640883.226367,instagram,openedApp,breathingExercise,Europe/Warsaw,180.0
,False,1751641039.091063,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751645334.593339,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751645365.422302,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751649666.959669,instagram,openedApp,breathingExercise,Europe/Warsaw,600.0
,False,1751650294.636692,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751650303.831615,instagram,openedApp,breathingExercise,Europe/Warsaw,540.0
,False,1751650462.3254929,instagram,closedApp,,Europe/Warsaw,
,False,1751650893.539449,instagram,closedApp,,Europe/Warsaw,
,False,1751650914.567616,instagram,closedApp,,Europe/Warsaw,
,False,1751651054.5329208,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751651868.23153,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751651927.25843,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751656337.014326,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751656420.827342,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751656423.7855148,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751656426.449002,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751656429.122947,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751660588.617125,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751660597.116694,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751660629.9498549,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751661240.1780581,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751661295.374188,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751662596.699022,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751663042.915141,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751663050.750607,instagram,openedApp,breathingExercise,Europe/Warsaw,180.0
,False,1751663233.622222,instagram,closedApp,,Europe/Warsaw,
,False,1751663692.5725288,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751664633.5716848,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751665759.278592,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751670964.938972,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751671477.185845,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751671546.959758,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751671720.180309,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751671784.232317,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751672823.259009,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751672835.4954119,instagram,openedApp,breathingExercise,Europe/Warsaw,180.0
,False,1751673020.5879889,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751673142.005568,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751673529.717613,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751703804.989665,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751703818.636296,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751707768.124749,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751733112.798133,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
,False,1751733147.347755,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751747364.547713,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
,False,1751747430.358906,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751808991.349975,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
,False,1751809063.336481,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751809078.615583,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751809168.265905,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751810672.013063,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
,False,1751810738.231594,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751810746.364046,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751810786.221132,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751816422.4924989,instagram,openedApp,breathingExercise,Europe/Warsaw,420.0
,False,1751816549.3023748,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751816626.118023,instagram,openedApp,breathingExercise,Europe/Warsaw,420.0
,False,1751816847.531423,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751816886.673853,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751816927.878272,instagram,closedApp,,Europe/Warsaw,
,False,1751817109.957025,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751817799.5823479,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751817822.213634,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751818026.95161,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751818102.544261,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751818291.435906,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751818319.675915,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751818380.476708,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
,False,1751818444.721784,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751818450.733776,instagram,openedApp,breathingExercise,Europe/Warsaw,540.0
,False,1751818508.18713,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751821769.4994059,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751822136.718629,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751822146.622136,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751822160.678288,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751822183.201521,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751822216.9367309,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751822258.824969,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751822354.1824598,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751822362.0996761,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751822407.4641,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751822604.600676,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751822663.058834,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751822801.9697661,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751822814.115305,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751822837.742463,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751822860.890627,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751822872.8071399,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751822875.70022,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751823177.257506,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751823459.005471,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751823703.17621,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751824656.6530929,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751824675.196838,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751824704.983455,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751825478.728159,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751825481.785738,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751825699.0471668,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751825766.758666,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751825798.586142,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
1.5,False,1751827303.833298,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
,False,1751825883.797425,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751832110.515147,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
,False,1751832133.5951,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751832164.3504581,instagram,openedApp,breathingExercise,Europe/Warsaw,180.0
,False,1751832290.517724,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751832647.257,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751866329.3263721,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751866337.002662,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751869717.3053432,instagram,openedApp,breathingExercise,Europe/Warsaw,60.0
1.5,False,1751869955.6606212,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
,False,1751869783.826112,instagram,closedApp,,Europe/Warsaw,
,False,1751871968.859562,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751872002.249792,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751872044.988665,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751873142.4143271,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751873145.232068,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751875277.524633,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751875284.0641398,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751884894.477622,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751885779.731461,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751885867.7407022,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751886976.320167,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751887015.7599978,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751887466.367579,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751887469.461547,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751887480.434757,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
1.5,False,1751888613.9104462,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751888622.937755,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1751888717.3280249,instagram,closedApp,,Europe/Warsaw,
,False,1751889211.582217,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751909548.8356938,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751909558.8988628,instagram,openedApp,breathingExercise,Europe/Warsaw,420.0
1.5,False,1751909961.7415009,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751910020.1152282,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751910141.419142,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751910306.889461,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751910358.718739,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751910383.979855,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751910386.996172,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751910392.640619,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751915577.821724,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751915652.4465408,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751915706.770107,instagram,openedApp,breathingExercise,Europe/Warsaw,180.0
,False,1751915839.3330169,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751915996.190304,instagram,openedApp,breathingExercise,Europe/Warsaw,360.0
,False,1751916163.459719,instagram,closedApp,,Europe/Warsaw,
1.5,False,1751916194.635028,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751916231.2428951,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751916911.229403,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751997527.716557,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1751997540.854105,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1751997564.909987,instagram,closedApp,,Europe/Warsaw,
1.5,False,1752007108.48823,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1752007314.26377,instagram,closedApp,,Europe/Warsaw,
1.5,False,1752010725.316503,instagram,openedApp,breathingExercise,Europe/Warsaw,300.0
,False,1752010837.3124309,instagram,closedApp,,Europe/Warsaw,
1.5,False,1752010900.31971,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1752025572.329822,instagram,openedApp,breathingExercise,Europe/Warsaw,240.0
,False,1752025815.45722,instagram,closedApp,,Europe/Warsaw,
1.5,False,1752059764.22491,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
1.5,False,1752062686.3502789,instagram,dismissedAppOpening,breathingExercise,Europe/Warsaw,
