timestamp,interventionType,isReIntervention,app,timezone,resolution,interventionDuration,purpose,timeIntervalUntilReIntervention
1753528278.0727859,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,660.0
1753528961.442337,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,600.0
1753529583.6903582,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,600.0
1753531984.799807,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753536557.445849,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,900.0
1753537175.748781,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753541230.061101,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,540.0
1753542349.448223,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753543131.046243,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753544229.349955,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,660.0
1753544638.967649,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753544641.2415261,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753544659.807107,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753544683.474446,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753544694.54755,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753544730.6585212,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753544947.447802,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753544947.755702,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753544950.940284,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753544965.505887,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753544971.220401,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753544998.677489,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753545027.925719,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,540.0
1753547963.4448938,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,540.0
1753547994.07779,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753548025.398299,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753548098.371254,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753548105.953576,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753550178.1698918,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753550202.577131,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753551750.071316,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753551782.799114,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753553048.230836,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,780.0
1753557116.012477,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,600.0
1753558139.3767772,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753558682.8471289,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753558804.260602,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753559672.413564,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753559680.768333,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753562400.738838,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,540.0
1753565055.830888,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753565060.946516,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753578237.407991,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,660.0
1753578864.4966311,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753578866.495027,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,780.0
1753578915.127054,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753579554.149662,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753580366.615909,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,540.0
1753580915.886364,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,6.0,,
1753581401.3961759,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,300.0
1753597556.6882958,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753603837.194627,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753605175.5765991,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753606684.83327,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753607764.539425,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753609043.503334,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,840.0
1753610178.5133572,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753610243.548317,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753615286.1200309,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753615294.617908,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753617108.5525742,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753617902.2496228,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,540.0
1753623899.994726,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753624550.266502,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,600.0
1753625172.940333,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753629288.639097,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753630689.684397,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753631933.606872,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753632664.2357469,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753633609.645242,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753635148.321778,askForTimeLimit,False,instagram,Asia/Aqtau,dismissedAppOpening,6.0,,
1753637008.698106,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,900.0
1753640062.186867,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753640975.11139,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,540.0
1753641801.864341,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,600.0
1753642422.549221,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,900.0
1753644896.609761,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,360.0
1753649520.3456311,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753650203.860641,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,660.0
1753681277.41413,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,360.0
1753681732.9785771,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,480.0
1753682702.58973,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,540.0
1753683481.0319,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753685088.313307,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,540.0
1753686151.958826,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753687245.278156,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753687983.8987,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753688635.715126,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,300.0
1753689512.430254,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753690961.054579,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,960.0
1753692511.302894,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753693571.877439,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,540.0
1753694649.212327,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753695841.84517,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753697213.8621268,askForTimeLimit,False,instagram,Asia/Aqtau,dismissedAppOpening,6.0,,
1753701662.5969992,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753703566.335242,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753706468.728074,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753707460.386314,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753708805.2676392,askForTimeLimit,False,instagram,Asia/Aqtau,dismissedAppOpening,6.0,,
1753708901.752821,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753708932.4604812,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753709055.350806,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753710639.911653,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753712576.560739,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,300.0
1753713741.918981,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753715685.943509,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753716180.620076,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753716195.854481,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753716199.826685,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753716218.51682,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753719937.415368,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753725286.068255,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753728208.4705849,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753730626.824059,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753731845.8702822,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753734551.10868,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753736467.542293,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753737040.436609,,False,pornhub,Asia/Aqtau,closedApp,,,
1753737096.9136682,,False,pornhub,Asia/Aqtau,closedApp,,,
1753737108.019572,,False,pornhub,Asia/Aqtau,closedApp,,,
1753736747.709509,,False,xhamster,Asia/Aqtau,closedApp,,,
1753737009.2820659,,False,xhamster,Asia/Aqtau,closedApp,,,
1753736608.334439,,False,xvideos,Asia/Aqtau,closedApp,,,
1753759268.132588,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,480.0
1753760190.9948602,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753760395.023839,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,360.0
1753774418.203166,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753775216.3126569,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753778296.686949,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,360.0
1753782032.3617802,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,360.0
1753783022.282987,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,540.0
1753783560.841871,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753783588.3385649,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753783634.423639,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753783662.704794,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753783704.858068,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753783762.3694491,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753783795.46019,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753783796.977689,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753783806.978029,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753784333.4895191,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753786433.508842,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753787707.7442698,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753788312.105359,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753788322.42429,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753788352.005368,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753789755.8128371,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,360.0
1753790371.70591,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753790528.833164,,False,amazon,Asia/Aqtau,closedApp,,,
1753796904.2666302,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753798109.518169,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753806333.412569,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753808090.06934,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753809171.153929,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753810788.663065,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753812256.9584599,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753813035.720602,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,360.0
1753814158.501924,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753816228.271883,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753816991.690239,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,720.0
1753817811.390592,,False,youtube,Asia/Aqtau,closedApp,,,
1753817815.375495,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753817889.799532,,False,youtube,Asia/Aqtau,closedApp,,,
1753818787.621485,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,300.0
1753819521.003533,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,6.0,,
1753819758.475831,breathingExercise,False,instagram,Asia/Aqtau,openedApp,6.0,Написать сообщение,660.0
1753820741.08316,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753821820.43746,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,480.0
1753823052.646184,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,300.0
1753826955.375968,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,420.0
1753827385.263191,breathingExercise,False,instagram,Asia/Aqtau,dismissedAppOpening,6.0,,
1753827703.2367082,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,300.0
1753847824.315392,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,300.0
1753848494.115816,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753849165.92903,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753849972.0707002,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753850130.5886369,,False,A6F10C8E-C5B2-426B-A208-43C0A072FA43,Asia/Aqtau,closedApp,,,
1753851252.7668738,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753852441.787101,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753854656.5467029,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,600.0
1753855954.4371629,askForTimeLimit,False,instagram,Asia/Aqtau,openedApp,6.0,,360.0
1753856797.675091,askForTimeLimit,False,instagram,Asia/Aqtau,dismissedAppOpening,6.0,,
