interventionType,timezone,timestamp,interventionDuration,purpose,resolution,isReIntervention,app
breathingExercise,Europe/Warsaw,1750588946.2844238,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750592048.691988,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750596584.695718,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750596627.58268,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750597027.765342,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750603201.17201,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1750597177.199779,,,closedApp,False,instagram
,Europe/Warsaw,1750600524.373081,,,closedApp,False,instagram
,Europe/Warsaw,1750603280.314167,,,closedApp,False,instagram
,Europe/Warsaw,1750603410.754029,,,closedApp,False,instagram
,Europe/Warsaw,1750603495.187016,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750603581.3379412,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750604071.064523,,,closedApp,False,instagram
,Europe/Warsaw,1750604606.8107781,,,closedApp,False,instagram
,Europe/Warsaw,1750605566.041147,,,closedApp,False,instagram
,Europe/Warsaw,1750605624.9093509,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750606567.743475,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750606721.499412,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750607454.4922361,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750608447.697515,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750609514.691752,,,closedApp,False,instagram
,Europe/Warsaw,1750609637.693913,,,closedApp,False,instagram
,Europe/Warsaw,1750609866.015019,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750609917.226603,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750610052.315796,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750613380.8276591,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750612995.9929152,,,closedApp,False,instagram
,Europe/Warsaw,1750613558.726084,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750613661.5189462,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750615130.462848,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750613760.175638,,,closedApp,False,instagram
,Europe/Warsaw,1750615307.425108,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750615373.855084,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750615401.842239,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750615470.430547,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750616570.896858,,,closedApp,False,instagram
,Europe/Warsaw,1750616767.681678,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750617021.031934,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750617190.6666389,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750617605.744956,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750617725.6569772,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750617872.647196,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750618321.851331,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750618702.0489879,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750619829.948163,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750620402.481067,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750620528.2010322,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750621005.307526,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750621759.523512,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750622294.5584378,,,closedApp,False,instagram
,Europe/Warsaw,1750622963.475213,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750623253.2244592,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750623754.7814531,,,closedApp,False,instagram
,Europe/Warsaw,1750624405.808981,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750624560.84834,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750624783.550267,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750627774.056577,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750628493.4817739,,,closedApp,False,instagram
,Europe/Warsaw,1750629459.273007,,,closedApp,False,instagram
,Europe/Warsaw,1750629751.9346719,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750656268.031252,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750656383.114304,,,closedApp,False,instagram
,Europe/Warsaw,1750656418.419286,,,closedApp,False,instagram
,Europe/Warsaw,1750656645.5124788,,,closedApp,False,instagram
,Europe/Warsaw,1750657200.900591,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750657589.457721,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750657763.246933,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750668355.798985,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750668428.568692,,,closedApp,False,instagram
,Europe/Warsaw,1750668439.638694,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750670305.3865108,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750670512.2607079,,,closedApp,False,instagram
,Europe/Warsaw,1750670954.400675,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750673688.7064838,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750674202.721952,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750674553.4293709,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750674829.031775,,,closedApp,False,instagram
,Europe/Warsaw,1750675830.917985,,,closedApp,False,instagram
,Europe/Warsaw,1750676358.968374,,,closedApp,False,instagram
,Europe/Warsaw,1750676796.106334,,,closedApp,False,instagram
,Europe/Warsaw,1750677421.163463,,,closedApp,False,instagram
,Europe/Warsaw,1750677454.585783,,,closedApp,False,instagram
,Europe/Warsaw,1750677477.530138,,,closedApp,False,instagram
,Europe/Warsaw,1750677538.43167,,,closedApp,False,instagram
,Europe/Warsaw,1750678761.429412,,,closedApp,False,instagram
,Europe/Warsaw,1750680707.732636,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750682868.040312,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750683280.975796,,,closedApp,False,instagram
,Europe/Warsaw,1750683599.8723311,,,closedApp,False,instagram
,Europe/Warsaw,1750685781.409704,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750690029.683887,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750691348.771771,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1750691370.276084,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750692283.967596,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750694530.151097,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750694566.8672771,,,closedApp,False,instagram
,Europe/Warsaw,1750694633.638188,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750695364.286485,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750709284.841381,1.5,,dismissedAppOpening,False,instagram
,Europe/Warsaw,1750695695.2329469,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750709289.480077,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750709422.964357,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750709450.7152119,,,closedApp,False,instagram
,Europe/Warsaw,1750709469.353959,,,closedApp,False,instagram
,Europe/Warsaw,1750709511.038515,,,closedApp,False,instagram
,Europe/Warsaw,1750709519.833794,,,closedApp,False,instagram
,Europe/Warsaw,1750709576.4285011,,,closedApp,False,instagram
,Europe/Warsaw,1750709670.760221,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750709745.64529,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750709854.893384,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750710553.492804,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750710720.818332,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750710723.9796228,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750710863.735188,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750710953.252658,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750713010.4394178,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750713198.647826,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750714156.766624,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750714192.887191,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750714270.6796699,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750714647.071698,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750715522.315552,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750715624.9319968,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750715647.573461,,,closedApp,False,instagram
,Europe/Warsaw,1750715958.737187,,,closedApp,False,instagram
,Europe/Warsaw,1750715961.207571,,,closedApp,False,instagram
,Europe/Warsaw,1750718039.168466,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750750217.3045778,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750750372.376243,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750750537.295191,,,closedApp,False,instagram
,Europe/Warsaw,1750751190.8368611,,,closedApp,False,instagram
,Europe/Warsaw,1750751769.143454,,,closedApp,False,instagram
,Europe/Warsaw,1750752208.2520452,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750752757.5451012,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750753030.856619,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750753094.234474,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750753470.760464,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750753580.641605,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750754557.5115418,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750761266.6182408,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750761388.202001,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750762529.879446,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750765008.187673,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750765864.482147,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750766959.625452,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750767069.471508,,,closedApp,False,instagram
,Europe/Warsaw,1750767209.891927,,,closedApp,False,instagram
,Europe/Warsaw,1750767346.1723928,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750771379.955742,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750772618.093081,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750772684.889631,,,closedApp,False,instagram
,Europe/Warsaw,1750772725.66499,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750772875.538157,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750774020.392479,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750774204.812958,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750774574.284645,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750774602.167488,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750775139.937066,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1750775251.199151,,,closedApp,False,instagram
,Europe/Warsaw,1750775414.7534409,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750777601.8897572,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750778281.3203712,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750778405.815486,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750779947.545405,,,closedApp,False,instagram
,Europe/Warsaw,1750781405.891613,,,closedApp,False,instagram
,Europe/Warsaw,1750781674.677857,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750781969.218991,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750796294.024963,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1750796494.7555509,,,closedApp,False,instagram
,Europe/Warsaw,1750797541.3528981,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750833870.525599,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750833897.276116,,,closedApp,False,instagram
,Europe/Warsaw,1750834294.888413,,,closedApp,False,instagram
,Europe/Warsaw,1750835666.860667,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750851948.712151,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750852029.684067,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750877699.313756,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750877840.929779,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750879099.2659578,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750879132.12071,,,closedApp,False,instagram
,Europe/Warsaw,1750890373.585226,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750890759.019465,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1750902216.775741,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750891466.6488872,,,closedApp,False,instagram
,Europe/Warsaw,1750902277.566459,,,closedApp,False,instagram
,Europe/Warsaw,1750902366.1984792,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750936922.20665,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750936969.1425982,,,closedApp,False,instagram
,Europe/Warsaw,1750937013.61488,,,closedApp,False,instagram
,Europe/Warsaw,1750937197.087109,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750939830.93751,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750940240.204111,,,closedApp,False,instagram
,Europe/Warsaw,1750941202.958898,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750958159.158165,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750958173.792646,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750963024.3257442,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750963321.6046371,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750963539.043346,1.5,,dismissedAppOpening,False,youtube
breathingExercise,Europe/Warsaw,1750963549.808648,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750964111.642644,,,closedApp,False,instagram
,Europe/Warsaw,1750964506.287421,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750964601.847095,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750965020.106896,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750965081.966459,1.5,Bored,openedApp,False,youtube
breathingExercise,Europe/Warsaw,1750967544.7518291,1.5,,dismissedAppOpening,False,instagram
breathingExercise,Europe/Warsaw,1750972438.4866428,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750972598.309511,,,closedApp,False,instagram
,Europe/Warsaw,1750975221.070905,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1750979205.849091,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1750981261.641114,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1751007028.040726,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1751007103.971575,,,closedApp,False,instagram
,Europe/Warsaw,1751007501.77322,,,closedApp,False,instagram
,Europe/Warsaw,1751008508.0010118,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1751009365.259283,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1751009381.629074,,,closedApp,False,instagram
,Europe/Warsaw,1751009784.806449,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1751010059.716751,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1751010115.325376,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1751010190.409255,1.5,Message,openedApp,False,instagram
,Europe/Warsaw,1751010360.128308,,,closedApp,False,instagram
,Europe/Warsaw,1751012716.8115,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1751015944.773828,1.5,Bored,openedApp,False,instagram
breathingExercise,Europe/Warsaw,1751023541.839242,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1751023588.0799708,,,closedApp,False,instagram
,Europe/Warsaw,1751023952.476974,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1751027100.509945,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1751027123.57789,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1751032228.860542,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1751032302.272462,,,closedApp,False,instagram
,Europe/Warsaw,1751032312.039486,,,closedApp,False,instagram
,Europe/Warsaw,1751032447.696764,,,closedApp,False,instagram
,Europe/Warsaw,1751032983.7866821,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1751033242.995245,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1751033616.241293,,,closedApp,False,instagram
,Europe/Warsaw,1751033746.388284,,,closedApp,False,instagram
,Europe/Warsaw,1751033971.9425302,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1751036183.229687,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1751036423.924056,,,closedApp,False,instagram
breathingExercise,Europe/Warsaw,1751039439.413723,1.5,Bored,openedApp,False,instagram
,Europe/Warsaw,1751039517.4561229,,,closedApp,False,instagram
