timezone,timestamp,interventionDuration,app,resolution,interventionType,isReIntervention
Europe/London,1750428672.335937,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750430667.387198,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750432423.057736,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750446557.769302,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750446874.73488,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750447645.082343,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750449637.4935641,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750451077.798522,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750451313.148334,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750452940.5394201,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750453151.6552892,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750453211.5103889,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750453441.3134298,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750454061.327594,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750455052.205275,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750455964.556639,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750460172.387022,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750460670.773612,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750460754.846229,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750462169.1365008,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750464708.591816,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750464871.332962,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750464874.941447,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750464905.9489589,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750464955.1707911,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750500292.66593,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750500355.407909,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750500420.042015,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750500479.2592359,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750500505.567913,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750500645.2658339,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750500661.102941,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750501093.119104,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750501125.560457,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750501946.8003569,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750502353.262851,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750504755.751965,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750510615.887883,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750510938.473473,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750514697.2982879,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750517179.3349671,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750524186.9363751,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750525684.8892698,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750548128.5097919,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750554085.208648,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750555448.010425,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750556167.2082648,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750585379.3601289,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750585918.896647,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750586906.634828,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750587638.931865,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750592517.5641031,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750595877.730268,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750597471.603909,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750598918.199408,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750614253.515098,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750620805.3891978,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750631658.4810572,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750632973.69783,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750680887.50124,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750681783.060924,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750688113.342438,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750688963.5540462,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750689479.563731,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750689512.6386929,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750701405.855641,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750707197.595691,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750709181.854764,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750709916.472899,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750711413.847131,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750712703.62678,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750715621.706604,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750720418.318112,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750721095.6520581,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750721347.110684,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750758221.342345,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750764072.7474809,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750764182.7535691,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1750769341.9938369,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750780485.106746,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750780723.4956121,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750784208.372017,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750787833.118515,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750805078.550751,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750805239.907841,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750805526.033678,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750845518.641636,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750858981.681205,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750864425.332252,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750864535.112428,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750867332.3253012,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750872500.176858,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750873731.468495,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750879350.2916322,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750880016.687564,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750883597.524179,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750884412.903356,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750885018.8640661,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750933847.4803991,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750934339.7113929,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750934567.998145,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750934670.710576,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750934862.135569,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750947328.0706758,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750981430.186449,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750981625.3779411,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750982357.404774,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1750982578.827363,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751012092.726233,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751015943.060303,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751018450.744937,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751019836.638206,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751020993.746589,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751021362.635202,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751022342.254572,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751022605.79637,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751022869.361816,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751023109.746279,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751024233.656464,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751024491.9235458,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751024542.071507,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751024665.784857,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751025167.20134,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751025761.936973,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751026254.791171,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751026576.637772,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751026870.1253572,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751026916.785819,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751027310.29917,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751027375.34566,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751027488.885148,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751027715.3428211,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751028579.078224,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751028603.808222,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751028689.4431381,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751028919.059681,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751032332.4974232,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751032338.3762941,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751032340.494936,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751058307.717505,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751058428.741243,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751058631.7408829,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751058815.959454,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751068599.118015,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751068957.704813,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751069346.05388,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751069903.598552,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751100638.6014528,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751106235.212597,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751106237.073269,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751108146.944603,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751108154.9106941,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751110683.227665,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751110750.8951302,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751110899.68358,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751111462.65394,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751111494.5558848,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751111600.411778,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751120335.1713672,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751120433.1776671,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751123061.702462,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751123520.167299,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751124332.7425652,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751124595.413373,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751128968.87059,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751131736.853332,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751132515.2954988,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751133184.8952641,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751134098.422326,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751135075.1722279,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751145779.2479591,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751145838.618926,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751146110.482583,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751146189.2614799,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751146234.526367,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751146293.558742,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751146331.578977,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751146515.0738668,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751146589.342047,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751146777.751816,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751147545.263247,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751147552.100182,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751148515.8602738,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751148691.535938,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751149524.299008,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751150132.6576362,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751150692.195002,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751151427.435298,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751156652.6920729,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751158071.084065,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751158391.157539,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751160274.987118,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751160657.002476,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751163379.211059,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751184855.537117,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751185011.537982,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751188199.6534572,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751189023.660355,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751192887.1916819,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751208184.528911,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751209222.5615978,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751213348.7709599,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751229061.728852,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751229088.177146,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751229313.233983,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751235806.785018,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751246397.348925,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751247567.272941,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751247574.397997,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751248869.083125,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751267850.47739,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751270241.126493,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751270705.1820002,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751271541.9223452,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751276610.771806,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751276669.680403,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751280965.268816,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751281365.111305,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751282804.657299,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751282856.946924,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751283178.663167,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751283843.5233212,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751287308.5002809,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751294243.041368,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751294615.143141,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751297464.2107491,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751297831.966679,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751298799.05366,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751307003.350645,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751307205.345803,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751308135.66675,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751313101.594932,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751318339.561298,1.5,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751318714.6857681,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751320344.052503,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751320642.081417,1.5,instagram,openedApp,breathingExercise,False
Europe/London,1751369601.303268,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751376994.8308458,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751377138.9659681,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751383253.6761708,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751383538.873406,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751393315.85288,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751393970.445719,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751397255.235574,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751405198.0074592,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751410733.7639232,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751412243.206486,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751412291.554718,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751412357.2883291,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751412628.801693,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751412667.877744,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751412746.190676,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751419238.709042,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751448070.085937,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751448751.024343,3.0,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751451736.002564,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751452439.192492,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751452519.935293,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751452653.644393,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751453273.8759398,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751453845.525497,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751457188.8278751,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751457581.677768,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751457840.224273,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751457921.03223,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751461512.279591,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751472507.1510592,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751473259.405826,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751474703.371912,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751475865.179652,3.0,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751475940.234346,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751477772.410058,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751477918.790711,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751479034.98613,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751479293.7970119,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751483554.8933759,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751483580.712435,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751492934.206429,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751494479.497436,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751497699.84763,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751500634.643353,3.0,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751501161.61173,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751538094.264532,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751538635.2859201,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751548239.6466851,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751554370.5421429,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751555870.487269,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751560293.790104,3.0,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751571371.812859,3.0,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751571385.8533502,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751586057.783073,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751595369.655837,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751642425.514206,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751645144.9002829,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751645483.2499619,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751646280.105098,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751647965.865817,3.0,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751648020.691999,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751648771.598352,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751658119.23088,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751663707.149462,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751674666.57181,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751711720.111895,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751717035.4562469,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751717228.205501,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751717371.369189,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751724027.333393,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751727388.446656,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751728754.014772,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751728988.1169472,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751729281.3447971,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751731354.8664331,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751732734.632082,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751753834.243902,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751754006.0781069,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751754539.042821,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751784329.504685,3.0,instagram,dismissedAppOpening,breathingExercise,False
Europe/London,1751798029.8757648,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751798184.361846,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751798828.3262482,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751799232.979403,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751801630.2399778,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751802222.543917,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751803969.5232549,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751806906.319663,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751806979.592435,3.0,instagram,openedApp,breathingExercise,False
Europe/London,1751807688.025206,3.0,instagram,openedApp,breathingExercise,False
Europe/Dublin,1751828446.403049,3.0,instagram,openedApp,breathingExercise,False
Europe/Dublin,1751836698.158406,3.0,instagram,openedApp,breathingExercise,False
Europe/Dublin,1751839303.682431,3.0,instagram,openedApp,breathingExercise,False
Europe/Dublin,1751839877.901353,3.0,instagram,openedApp,breathingExercise,False
Europe/Dublin,1751844747.8349009,3.0,instagram,openedApp,breathingExercise,False
