isReIntervention,app,resolution,timezone,interventionDuration,timestamp,timeIntervalUntilReIntervention,purpose,interventionType
False,instagram,closedApp,America/Toronto,,1748877927.648879,,,
False,instagram,openedApp,America/Toronto,1.5,1748878542.689872,540.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748878627.339392,,,
False,instagram,closedApp,America/Toronto,,1748878712.251443,,,
False,instagram,closedApp,America/Toronto,,1748879178.229548,,,
False,instagram,openedApp,America/Toronto,1.5,1748880036.096517,120.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748880103.7014608,,,
False,instagram,openedApp,America/Toronto,1.5,1748882993.625006,180.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748883187.648611,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748883588.288321,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748883591.72362,60.0,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748884386.170078,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1748884468.20258,120.0,Stay In the Loop,breathingExercise
False,instagram,closedApp,America/Toronto,,1748884456.22888,,,
False,instagram,closedApp,America/Toronto,,1748884734.5968652,,,
False,instagram,openedApp,America/Toronto,1.5,1748884792.714902,360.0,Stay In the Loop,breathingExercise
False,instagram,closedApp,America/Toronto,,1748885161.327488,,,
False,instagram,openedApp,America/Toronto,1.5,1748887726.587095,300.0,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748889465.024675,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1748889551.722794,1200.0,Entertainment,breathingExercise
False,instagram,closedApp,America/Toronto,,1748889535.155369,,,
False,instagram,closedApp,America/Toronto,,1748890162.9639192,,,
False,instagram,openedApp,America/Toronto,1.5,1748891668.636848,180.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748891860.553788,,,
False,instagram,openedApp,America/Toronto,1.5,1748895568.101928,60.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748895638.529059,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748896429.432569,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748897370.372715,,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748897367.964421,,,
False,instagram,openedApp,America/Toronto,1.5,1748902499.3302321,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1748902577.409195,900.0,Search Info,breathingExercise
False,instagram,closedApp,America/Toronto,,1748902568.4036999,,,
False,instagram,closedApp,America/Toronto,,1748902773.412596,,,
False,instagram,closedApp,America/Toronto,,1748902898.507403,,,
False,instagram,closedApp,America/Toronto,,1748902972.583076,,,
False,instagram,closedApp,America/Toronto,,1748903792.3489509,,,
False,instagram,openedApp,America/Toronto,1.5,1748904652.469648,1080.0,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748908420.373198,600.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748905739.4664478,,,
False,instagram,closedApp,America/Toronto,,1748906629.506147,,,
False,instagram,closedApp,America/Toronto,,1748908564.487905,,,
False,instagram,closedApp,America/Toronto,,1748908707.55602,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748909742.1395931,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748909747.6244211,,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748914415.719073,,,
False,instagram,closedApp,America/Toronto,,1748914659.6607919,,,
False,instagram,openedApp,America/Toronto,1.5,1748916084.713323,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1748916169.876573,780.0,Post something,breathingExercise
False,instagram,openedApp,America/Toronto,1.5,1748917122.3241348,180.0,Post something,breathingExercise
False,instagram,closedApp,America/Toronto,,1748916159.585435,,,
False,instagram,closedApp,America/Toronto,,1748916631.407401,,,
False,instagram,closedApp,America/Toronto,,1748916995.5903292,,,
False,instagram,closedApp,America/Toronto,,1748917029.729093,,,
False,instagram,closedApp,America/Toronto,,1748917105.58328,,,
False,instagram,closedApp,America/Toronto,,1748917319.6700401,,,
False,instagram,openedApp,America/Toronto,1.5,1748917353.759824,900.0,Stay In the Loop,breathingExercise
False,instagram,openedApp,America/Toronto,1.5,1748918358.986227,960.0,Message,breathingExercise
False,instagram,closedApp,America/Toronto,,1748917805.8744678,,,
False,instagram,closedApp,America/Toronto,,1748918240.8193069,,,
False,instagram,closedApp,America/Toronto,,1748918345.397262,,,
False,instagram,closedApp,America/Toronto,,1748918932.8452492,,,
False,instagram,closedApp,America/Toronto,,1748919170.937629,,,
False,instagram,closedApp,America/Toronto,,1748919372.560976,,,
False,instagram,openedApp,America/Toronto,1.5,1748919387.957047,780.0,Message,breathingExercise
False,instagram,closedApp,America/Toronto,,1748919977.049866,,,
False,instagram,closedApp,America/Toronto,,1748920020.243207,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748920673.233114,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748920678.634222,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748920684.0886312,60.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748920705.64453,,,
False,instagram,openedApp,America/Toronto,1.5,1748950747.993145,1440.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748950769.044582,,,
False,instagram,openedApp,America/Toronto,1.5,1748952654.796798,300.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1748952993.4575129,180.0,Stay In the Loop,breathingExercise
False,instagram,closedApp,America/Toronto,,1748952964.928652,,,
False,instagram,closedApp,America/Toronto,,1748953180.8871589,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748960364.598675,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748961722.551093,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748961726.2046251,660.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748961989.498785,,,
False,instagram,openedApp,America/Toronto,1.5,1748962767.253911,720.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748962991.114143,,,
False,instagram,openedApp,America/Toronto,1.5,1748966241.4637408,720.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748966818.4273891,,,
False,instagram,closedApp,America/Toronto,,1748966977.6129131,,,
False,instagram,openedApp,America/Toronto,1.5,1748968235.195836,540.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748968490.990407,,,
False,instagram,closedApp,America/Toronto,,1748968541.694144,,,
False,instagram,closedApp,America/Toronto,,1748968834.66125,,,
False,instagram,openedApp,America/Toronto,1.5,1748971080.621045,300.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748971100.6270452,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748971730.411581,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748971734.0658178,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748973245.63503,60.0,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748974415.12378,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748974417.824743,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748975914.12914,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748975916.023755,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748977997.290503,420.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748978024.4305248,,,
False,instagram,openedApp,America/Toronto,1.5,1748979320.3327842,660.0,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748980746.0595431,840.0,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748982194.252917,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748983142.175282,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748983143.898522,60.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748983318.674704,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748983337.752917,,,breathingExercise
False,instagram,openedApp,America/Toronto,1.5,1748983531.095815,600.0,Escape / Avoid,breathingExercise
False,instagram,closedApp,America/Toronto,,1748983552.5073261,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748984367.8084579,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748985632.9623342,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748985636.400608,420.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748985714.330011,,,
False,instagram,closedApp,America/Toronto,,1748986189.074126,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748987243.6632218,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748990259.855691,300.0,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748994961.909958,,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748990498.62276,,,
False,instagram,openedApp,America/Toronto,1.5,1748995102.053132,60.0,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748995557.942006,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748995560.6247811,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748995561.7469401,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748995567.360396,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1748996239.915066,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1748996291.691846,600.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748996315.544723,,,
False,instagram,openedApp,America/Toronto,1.5,1748999019.607963,1140.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1748999292.0804238,,,
False,instagram,closedApp,America/Toronto,,1748999544.8795118,,,
False,instagram,closedApp,America/Toronto,,1749000112.945534,,,
False,instagram,openedApp,America/Toronto,1.5,1749001066.7879481,540.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749001107.0998769,,,
False,instagram,openedApp,America/Toronto,1.5,1749001992.222519,420.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749002016.4778,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749003416.566306,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749003421.157165,1260.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749003955.997456,,,
False,instagram,closedApp,America/Toronto,,1749004153.348514,,,
False,instagram,closedApp,America/Toronto,,1749004998.883833,,,
False,instagram,openedApp,America/Toronto,1.5,1749005154.269958,840.0,Stay In the Loop,breathingExercise
False,instagram,closedApp,America/Toronto,,1749006670.183813,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749007380.628271,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749007383.491914,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749007388.753786,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749037319.860044,600.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1749037951.490237,420.0,Entertainment,breathingExercise
False,instagram,closedApp,America/Toronto,,1749037932.828028,,,
False,instagram,closedApp,America/Toronto,,1749038066.543038,,,
True,instagram,openedApp,America/Toronto,1.5,1749038425.818874,360.0,Stay In the Loop,breathingExercise
False,instagram,closedApp,America/Toronto,,1749038412.5394711,,,
True,instagram,openedApp,America/Toronto,1.5,1749038815.288954,240.0,Search Info,breathingExercise
False,instagram,closedApp,America/Toronto,,1749038800.027718,,,
False,instagram,closedApp,America/Toronto,,1749038916.1493812,,,
False,instagram,openedApp,America/Toronto,1.5,1749039429.697741,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1749039509.645225,180.0,Message,breathingExercise
False,instagram,closedApp,America/Toronto,,1749039501.120082,,,
False,instagram,closedApp,America/Toronto,,1749039534.291353,,,
False,instagram,closedApp,America/Toronto,,1749039713.459897,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749040068.3047109,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749042810.2987518,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749042812.140908,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749042819.934461,420.0,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749043403.207046,180.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749043465.946557,,,
False,instagram,closedApp,America/Toronto,,1749045334.071855,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749045949.507069,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749047969.1125798,360.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1749048352.826874,180.0,Entertainment,breathingExercise
False,instagram,closedApp,America/Toronto,,1749048340.611768,,,
True,instagram,openedApp,America/Toronto,1.5,1749048555.562084,540.0,Toilet,breathingExercise
False,instagram,closedApp,America/Toronto,,1749048546.950558,,,
False,instagram,closedApp,America/Toronto,,1749048856.63059,,,
False,instagram,closedApp,America/Toronto,,1749049626.825305,,,
False,instagram,openedApp,America/Toronto,1.5,1749054763.0682878,600.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749054813.3298879,,,
False,instagram,closedApp,America/Toronto,,1749055202.2699099,,,
False,instagram,openedApp,America/Toronto,1.5,1749057193.7869549,600.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749057542.169584,,,
True,instagram,openedApp,America/Toronto,1.5,1749058002.539033,240.0,Relax,breathingExercise
False,instagram,closedApp,America/Toronto,,1749057985.636719,,,
False,instagram,closedApp,America/Toronto,,1749058016.6251988,,,
False,instagram,closedApp,America/Toronto,,1749058173.170752,,,
False,instagram,closedApp,America/Toronto,,1749058188.995116,,,
False,instagram,closedApp,America/Toronto,,1749058233.987498,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749059516.2057629,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749059527.179748,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1749059621.6399531,480.0,Search Info,breathingExercise
False,instagram,closedApp,America/Toronto,,1749059609.774251,,,
False,instagram,closedApp,America/Toronto,,1749059651.3816419,,,
False,instagram,openedApp,America/Toronto,1.5,1749062521.672351,420.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749062593.198419,,,
False,instagram,closedApp,America/Toronto,,1749062738.155054,,,
False,instagram,closedApp,America/Toronto,,1749063027.1127338,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749063030.2602181,,,breathingExercise
False,instagram,openedApp,America/Toronto,1.5,1749063481.1145592,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1749063567.94631,540.0,Entertainment,breathingExercise
False,instagram,closedApp,America/Toronto,,1749063556.7028341,,,
False,instagram,closedApp,America/Toronto,,1749064118.633573,,,
False,instagram,closedApp,America/Toronto,,1749064119.319423,,,
False,instagram,openedApp,America/Toronto,1.5,1749064134.665834,540.0,Toilet,breathingExercise
False,instagram,closedApp,America/Toronto,,1749064452.0772572,,,
True,instagram,openedApp,America/Toronto,1.5,1749064945.556302,720.0,Bored,breathingExercise
False,instagram,closedApp,America/Toronto,,1749064936.176614,,,
False,instagram,closedApp,America/Toronto,,1749065063.940082,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749066602.355202,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749066604.968194,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749070017.323446,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749070542.5761452,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1749070630.320174,300.0,Message,breathingExercise
False,instagram,closedApp,America/Toronto,,1749070612.348158,,,
False,instagram,closedApp,America/Toronto,,1749070653.177751,,,
False,instagram,closedApp,America/Toronto,,1749070717.567274,,,
False,instagram,closedApp,America/Toronto,,1749071053.111021,,,
False,instagram,closedApp,America/Toronto,,1749071213.379189,,,
False,instagram,openedApp,America/Toronto,1.5,1749072315.400432,60.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749072389.576715,,,
False,instagram,openedApp,America/Toronto,1.5,1749072840.307668,60.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749072855.607686,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749074101.399417,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749074351.10625,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1749074426.120432,420.0,Toilet,breathingExercise
False,instagram,closedApp,America/Toronto,,1749074419.2312589,,,
False,instagram,closedApp,America/Toronto,,1749074653.094161,,,
False,instagram,closedApp,America/Toronto,,1749074797.8696609,,,
False,instagram,closedApp,America/Toronto,,1749078491.896377,,,
False,instagram,openedApp,America/Toronto,1.5,1749080819.016561,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1749080907.0817819,900.0,Stay In the Loop,breathingExercise
False,instagram,closedApp,America/Toronto,,1749080891.2362819,,,
False,instagram,closedApp,America/Toronto,,1749081024.319416,,,
False,instagram,closedApp,America/Toronto,,1749081061.633184,,,
False,instagram,closedApp,America/Toronto,,1749081315.219367,,,
False,instagram,closedApp,America/Toronto,,1749081360.3543491,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749083195.477633,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749083802.038204,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1749083881.418706,900.0,Post something,breathingExercise
False,instagram,closedApp,America/Toronto,,1749083872.7511249,,,
False,instagram,closedApp,America/Toronto,,1749084456.5573568,,,
False,instagram,closedApp,America/Toronto,,1749084499.383681,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749085261.610968,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749085265.527183,600.0,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749086194.608448,720.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749086357.091848,,,
False,instagram,closedApp,America/Toronto,,1749086369.042512,,,
False,instagram,openedApp,America/Toronto,1.5,1749087249.518969,1140.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749087291.5447679,,,
False,instagram,openedApp,America/Toronto,1.5,1749087838.327421,720.0,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749090964.055314,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749090972.298346,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749093145.395937,360.0,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749121467.943816,1320.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749122801.456689,,,
False,instagram,openedApp,America/Toronto,1.5,1749124381.597234,1440.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749124995.8963819,,,
False,instagram,closedApp,America/Toronto,,1749127222.322787,,,
False,instagram,closedApp,America/Toronto,,1749127488.904233,,,
False,instagram,closedApp,America/Toronto,,1749127841.6737251,,,
False,instagram,closedApp,America/Toronto,,1749128131.078758,,,
False,instagram,closedApp,America/Toronto,,1749130097.50883,,,
False,instagram,openedApp,America/Toronto,1.5,1749131126.3362808,960.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749131182.951086,,,
False,instagram,closedApp,America/Toronto,,1749131628.646349,,,
False,instagram,closedApp,America/Toronto,,1749131787.0821981,,,
False,instagram,openedApp,America/Toronto,1.5,1749138747.9498649,60.0,,askForTimeLimit
True,instagram,openedApp,America/Toronto,1.5,1749138845.538787,1260.0,Post something,breathingExercise
False,instagram,closedApp,America/Toronto,,1749138822.0669332,,,
False,instagram,openedApp,America/Toronto,1.5,1749140458.066102,60.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749140560.464227,,,
True,instagram,openedApp,America/Toronto,1.5,1749140568.426058,960.0,Message,breathingExercise
False,instagram,closedApp,America/Toronto,,1749140743.819457,,,
False,instagram,closedApp,America/Toronto,,1749140798.1201072,,,
False,instagram,openedApp,America/Toronto,1.5,1749141468.332031,60.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749141541.6847801,,,
True,instagram,openedApp,America/Toronto,1.5,1749141550.097353,840.0,Message,breathingExercise
False,instagram,closedApp,America/Toronto,,1749141950.839855,,,
False,instagram,openedApp,America/Toronto,1.5,1749145577.7548242,1440.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749145735.4465652,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749146433.9880838,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749146436.228953,60.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749146462.467797,,,
True,instagram,openedApp,America/Toronto,1.5,1749146658.46527,60.0,Post something,breathingExercise
False,instagram,closedApp,America/Toronto,,1749146649.809915,,,
True,instagram,openedApp,America/Toronto,1.5,1749146734.047327,1500.0,Post something,breathingExercise
False,instagram,closedApp,America/Toronto,,1749146726.171832,,,
False,instagram,closedApp,America/Toronto,,1749146813.550568,,,
False,instagram,closedApp,America/Toronto,,1749146835.268094,,,
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749148473.842659,,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749148479.4508939,1140.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749148604.83469,,,
True,instagram,dismissedAppOpening,America/Toronto,1.5,1749150661.503367,,,breathingExercise
False,instagram,closedApp,America/Toronto,,1749150656.93039,,,
False,instagram,openedApp,America/Toronto,1.5,1749152097.455676,1500.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749152359.694427,,,
False,instagram,openedApp,America/Toronto,1.5,1749153300.0019178,1560.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749153329.770299,,,
False,instagram,closedApp,America/Toronto,,1749153415.273734,,,
False,instagram,closedApp,America/Toronto,,1749153455.90732,,,
False,instagram,closedApp,America/Toronto,,1749153463.7265239,,,
False,instagram,closedApp,America/Toronto,,1749153654.649759,,,
False,instagram,closedApp,America/Toronto,,1749153942.181257,,,
False,instagram,openedApp,America/Toronto,1.5,1749156099.87381,900.0,,askForTimeLimit
False,instagram,openedApp,America/Toronto,1.5,1749158645.933646,660.0,,askForTimeLimit
False,instagram,closedApp,America/Toronto,,1749158821.8737202,,,
False,instagram,closedApp,America/Toronto,,1749159230.2528071,,,
False,instagram,openedApp,America/Toronto,1.5,1749160918.528333,1020.0,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749165373.3615398,,,askForTimeLimit
False,instagram,dismissedAppOpening,America/Toronto,1.5,1749165377.2273378,,,askForTimeLimit
